"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"C43","Malignant melanoma of skin","C43",NA,"ICD10"
"B21","Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms","B21",NA,"ICD10"
"B210","HIV disease resulting in Kaposi sarcoma","B21.0",NA,"ICD10"
"B217","HIV disease resulting in multiple malignant neoplasms","B21.7",NA,"ICD10"
"B218","HIV disease resulting in other malignant neoplasms","B21.8",NA,"ICD10"
"B219","HIV disease resulting in unspecified malignant neoplasm","B21.9",NA,"ICD10"
"C100","Malignant neoplasm: Vallecula","C10.0",NA,"ICD10"
"C00","Malignant neoplasm of lip","C00",NA,"ICD10"
"C000","Malignant neoplasm: External upper lip","C00.0",NA,"ICD10"
"C001","Malignant neoplasm: External lower lip","C00.1",NA,"ICD10"
