"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"F803","Acquired aphasia with epilepsy [Landau-Kleffner]","F80.3",NA,"ICD10"
"G41","Status epilepticus","G41",NA,"ICD10"
"G40","Epilepsy","G40",NA,"ICD10"
"G400","Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset","G40.0",NA,"ICD10"
"G401","Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures","G40.1",NA,"ICD10"
"G402","Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","G40.2",NA,"ICD10"
"G403","Generalized idiopathic epilepsy and epileptic syndromes","G40.3",NA,"ICD10"
"G404","Other generalized epilepsy and epileptic syndromes","G40.4",NA,"ICD10"
"G405","Special epileptic syndromes","G40.5",NA,"ICD10"
"G408","Other epilepsy","G40.8",NA,"ICD10"
