"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"M797","Fibromyalgia","M79.7",NA,"ICD10"
"M7970","Fibromyalgia","M79.70",NA,"ICD10"
"M7971","Fibromyalgia","M79.71",NA,"ICD10"
"M7972","Fibromyalgia","M79.72",NA,"ICD10"
"M7973","Fibromyalgia","M79.73",NA,"ICD10"
"M7974","Fibromyalgia","M79.74",NA,"ICD10"
"M7975","Fibromyalgia","M79.75",NA,"ICD10"
"M7976","Fibromyalgia","M79.76",NA,"ICD10"
"M7977","Fibromyalgia","M79.77",NA,"ICD10"
"M7978","Fibromyalgia","M79.78",NA,"ICD10"
"M7979","Fibromyalgia","M79.79",NA,"ICD10"
