"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"M10","Gout","M10",NA,"ICD10"
"M100","Idiopathic gout","M10.0",NA,"ICD10"
"M1000","Idiopathic gout","M10.00",NA,"ICD10"
"M1001","Idiopathic gout","M10.01",NA,"ICD10"
"M1002","Idiopathic gout","M10.02",NA,"ICD10"
"M1003","Idiopathic gout","M10.03",NA,"ICD10"
"M1004","Idiopathic gout","M10.04",NA,"ICD10"
"M1005","Idiopathic gout","M10.05",NA,"ICD10"
"M1006","Idiopathic gout","M10.06",NA,"ICD10"
"M1007","Idiopathic gout","M10.07",NA,"ICD10"
"M1008","Idiopathic gout","M10.08",NA,"ICD10"
"M1009","Idiopathic gout","M10.09",NA,"ICD10"
"M101","Lead-induced gout","M10.1",NA,"ICD10"
"M1010","Lead-induced gout","M10.10",NA,"ICD10"
"M1011","Lead-induced gout","M10.11",NA,"ICD10"
"M1012","Lead-induced gout","M10.12",NA,"ICD10"
"M1013","Lead-induced gout","M10.13",NA,"ICD10"
"M1014","Lead-induced gout","M10.14",NA,"ICD10"
"M1015","Lead-induced gout","M10.15",NA,"ICD10"
"M1016","Lead-induced gout","M10.16",NA,"ICD10"
"M1017","Lead-induced gout","M10.17",NA,"ICD10"
"M1018","Lead-induced gout","M10.18",NA,"ICD10"
"M1019","Lead-induced gout","M10.19",NA,"ICD10"
"M102","Drug-induced gout","M10.2",NA,"ICD10"
"M1020","Drug-induced gout","M10.20",NA,"ICD10"
"M1021","Drug-induced gout","M10.21",NA,"ICD10"
"M1022","Drug-induced gout","M10.22",NA,"ICD10"
"M1023","Drug-induced gout","M10.23",NA,"ICD10"
"M1024","Drug-induced gout","M10.24",NA,"ICD10"
"M1025","Drug-induced gout","M10.25",NA,"ICD10"
"M1026","Drug-induced gout","M10.26",NA,"ICD10"
"M1027","Drug-induced gout","M10.27",NA,"ICD10"
"M1028","Drug-induced gout","M10.28",NA,"ICD10"
"M1029","Drug-induced gout","M10.29",NA,"ICD10"
"M103","Gout due to impairment of renal function","M10.3",NA,"ICD10"
"M1030","Gout due to impairment of renal function","M10.30",NA,"ICD10"
"M1031","Gout due to impairment of renal function","M10.31",NA,"ICD10"
"M1032","Gout due to impairment of renal function","M10.32",NA,"ICD10"
"M1033","Gout due to impairment of renal function","M10.33",NA,"ICD10"
"M1034","Gout due to impairment of renal function","M10.34",NA,"ICD10"
"M1035","Gout due to impairment of renal function","M10.35",NA,"ICD10"
"M1036","Gout due to impairment of renal function","M10.36",NA,"ICD10"
"M1037","Gout due to impairment of renal function","M10.37",NA,"ICD10"
"M1038","Gout due to impairment of renal function","M10.38",NA,"ICD10"
"M1039","Gout due to impairment of renal function","M10.39",NA,"ICD10"
"M104","Other secondary gout","M10.4",NA,"ICD10"
"M1040","Other secondary gout","M10.40",NA,"ICD10"
"M1041","Other secondary gout","M10.41",NA,"ICD10"
"M1042","Other secondary gout","M10.42",NA,"ICD10"
"M1043","Other secondary gout","M10.43",NA,"ICD10"
"M1044","Other secondary gout","M10.44",NA,"ICD10"
"M1045","Other secondary gout","M10.45",NA,"ICD10"
"M1046","Other secondary gout","M10.46",NA,"ICD10"
"M1047","Other secondary gout","M10.47",NA,"ICD10"
"M1048","Other secondary gout","M10.48",NA,"ICD10"
"M1049","Other secondary gout","M10.49",NA,"ICD10"
