"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"G452","Multiple and bilateral precerebral artery syndromes","G45.2",NA,"ICD10"
"G46","Vascular syndromes of brain in cerebrovascular diseases","G46",NA,"ICD10"
"G460","Middle cerebral artery syndrome","G46.0",NA,"ICD10"
"G461","Anterior cerebral artery syndrome","G46.1",NA,"ICD10"
"G462","Posterior cerebral artery syndrome","G46.2",NA,"ICD10"
"G463","Brain stem stroke syndrome","G46.3",NA,"ICD10"
"G464","Cerebellar stroke syndrome","G46.4",NA,"ICD10"
"G465","Pure motor lacunar syndrome","G46.5",NA,"ICD10"
"G466","Pure sensory lacunar syndrome","G46.6",NA,"ICD10"
"G467","Other lacunar syndromes","G46.7",NA,"ICD10"
"G468","Other vascular syndromes of brain in cerebrovascular diseases","G46.8",NA,"ICD10"
"I630","Cerebral infarction due to thrombosis of precerebral arteries","I63.0",NA,"ICD10"
"I631","Cerebral infarction due to embolism of precerebral arteries","I63.1",NA,"ICD10"
"I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","I63.2",NA,"ICD10"
"I633","Cerebral infarction due to thrombosis of cerebral arteries","I63.3",NA,"ICD10"
"I634","Cerebral infarction due to embolism of cerebral arteries","I63.4",NA,"ICD10"
"I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","I63.5",NA,"ICD10"
