"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"E135","Other specified diabetes mellitus","E13.5",NA,"ICD10"
"I70","Atherosclerosis","I70",NA,"ICD10"
"I700","Atherosclerosis of aorta","I70.0",NA,"ICD10"
"I7000","Atherosclerosis of aorta","I70.00",NA,"ICD10"
"I7001","Atherosclerosis of aorta","I70.01",NA,"ICD10"
"I701","Atherosclerosis of renal artery","I70.1",NA,"ICD10"
"I7010","Atherosclerosis of renal artery","I70.10",NA,"ICD10"
"I7011","Atherosclerosis of renal artery","I70.11",NA,"ICD10"
"I702","Atherosclerosis of arteries of extremities","I70.2",NA,"ICD10"
"I7020","Atherosclerosis of arteries of extremities","I70.20",NA,"ICD10"
"I7021","Atherosclerosis of arteries of extremities","I70.21",NA,"ICD10"
"I708","Atherosclerosis of other arteries","I70.8",NA,"ICD10"
"I7080","Atherosclerosis of other arteries","I70.80",NA,"ICD10"
"I7081","Atherosclerosis of other arteries","I70.81",NA,"ICD10"
"I709","Generalized and unspecified atherosclerosis","I70.9",NA,"ICD10"
"I7090","Generalized and unspecified atherosclerosis","I70.90",NA,"ICD10"
"I7091","Generalized and unspecified atherosclerosis","I70.91",NA,"ICD10"
"I73","Other peripheral vascular diseases","I73",NA,"ICD10"
"I731","Thromboangiitis obliterans [Buerger]","I73.1",NA,"ICD10"
"I738","Other specified peripheral vascular diseases","I73.8",NA,"ICD10"
