"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"K221","Ulcer of oesophagus","K22.1",NA,"ICD10"
"K25","Gastric ulcer","K25",NA,"ICD10"
"K250","Gastric ulcer","K25.0",NA,"ICD10"
"K251","Gastric ulcer","K25.1",NA,"ICD10"
"K252","Gastric ulcer","K25.2",NA,"ICD10"
"K253","Gastric ulcer","K25.3",NA,"ICD10"
"K254","Gastric ulcer","K25.4",NA,"ICD10"
"K255","Gastric ulcer","K25.5",NA,"ICD10"
"K256","Gastric ulcer","K25.6",NA,"ICD10"
"K257","Gastric ulcer","K25.7",NA,"ICD10"
"K259","Gastric ulcer","K25.9",NA,"ICD10"
