"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"J990","Rheumatoid lung disease","J99.0",NA,"ICD10"
"M0607","Seronegative rheumatoid arthritis","M06.07",NA,"ICD10"
"M05","Seropositive rheumatoid arthritis","M05",NA,"ICD10"
"M0500","Felty syndrome","M05.00",NA,"ICD10"
"M0501","Felty syndrome","M05.01",NA,"ICD10"
"M0502","Felty syndrome","M05.02",NA,"ICD10"
"M0503","Felty syndrome","M05.03",NA,"ICD10"
"M0504","Felty syndrome","M05.04",NA,"ICD10"
"M0505","Felty syndrome","M05.05",NA,"ICD10"
"M0506","Felty syndrome","M05.06",NA,"ICD10"
"M0507","Felty syndrome","M05.07",NA,"ICD10"
"M0508","Felty syndrome","M05.08",NA,"ICD10"
"M0509","Felty syndrome","M05.09",NA,"ICD10"
"M051","Rheumatoid lung disease","M05.1",NA,"ICD10"
"M0510","Rheumatoid lung disease","M05.10",NA,"ICD10"
"M0511","Rheumatoid lung disease","M05.11",NA,"ICD10"
"M0512","Rheumatoid lung disease","M05.12",NA,"ICD10"
"M0513","Rheumatoid lung disease","M05.13",NA,"ICD10"
"M0514","Rheumatoid lung disease","M05.14",NA,"ICD10"
"M0515","Rheumatoid lung disease","M05.15",NA,"ICD10"
"M0516","Rheumatoid lung disease","M05.16",NA,"ICD10"
"M0517","Rheumatoid lung disease","M05.17",NA,"ICD10"
"M0518","Rheumatoid lung disease","M05.18",NA,"ICD10"
"M0519","Rheumatoid lung disease","M05.19",NA,"ICD10"
"M052","Rheumatoid vasculitis","M05.2",NA,"ICD10"
"M0520","Rheumatoid vasculitis","M05.20",NA,"ICD10"
"M0521","Rheumatoid vasculitis","M05.21",NA,"ICD10"
"M0522","Rheumatoid vasculitis","M05.22",NA,"ICD10"
"M0523","Rheumatoid vasculitis","M05.23",NA,"ICD10"
"M0524","Rheumatoid vasculitis","M05.24",NA,"ICD10"
"M0525","Rheumatoid vasculitis","M05.25",NA,"ICD10"
"M0526","Rheumatoid vasculitis","M05.26",NA,"ICD10"
"M0527","Rheumatoid vasculitis","M05.27",NA,"ICD10"
"M0528","Rheumatoid vasculitis","M05.28",NA,"ICD10"
"M0529","Rheumatoid vasculitis","M05.29",NA,"ICD10"
"M053","Rheumatoid arthritis with involvement of other organs and systems","M05.3",NA,"ICD10"
"M0530","Rheumatoid arthritis with involvement of other organs and systems","M05.30",NA,"ICD10"
"M0531","Rheumatoid arthritis with involvement of other organs and systems","M05.31",NA,"ICD10"
"M0532","Rheumatoid arthritis with involvement of other organs and systems","M05.32",NA,"ICD10"
"M0533","Rheumatoid arthritis with involvement of other organs and systems","M05.33",NA,"ICD10"
"M0534","Rheumatoid arthritis with involvement of other organs and systems","M05.34",NA,"ICD10"
"M0535","Rheumatoid arthritis with involvement of other organs and systems","M05.35",NA,"ICD10"
"M0536","Rheumatoid arthritis with involvement of other organs and systems","M05.36",NA,"ICD10"
"M0537","Rheumatoid arthritis with involvement of other organs and systems","M05.37",NA,"ICD10"
"M0538","Rheumatoid arthritis with involvement of other organs and systems","M05.38",NA,"ICD10"
"M0539","Rheumatoid arthritis with involvement of other organs and systems","M05.39",NA,"ICD10"
"M058","Other seropositive rheumatoid arthritis","M05.8",NA,"ICD10"
"M0580","Other seropositive rheumatoid arthritis","M05.80",NA,"ICD10"
"M0581","Other seropositive rheumatoid arthritis","M05.81",NA,"ICD10"
"M0582","Other seropositive rheumatoid arthritis","M05.82",NA,"ICD10"
"M0583","Other seropositive rheumatoid arthritis","M05.83",NA,"ICD10"
"M0584","Other seropositive rheumatoid arthritis","M05.84",NA,"ICD10"
"M0585","Other seropositive rheumatoid arthritis","M05.85",NA,"ICD10"
"M0586","Other seropositive rheumatoid arthritis","M05.86",NA,"ICD10"
"M0587","Other seropositive rheumatoid arthritis","M05.87",NA,"ICD10"
"M0588","Other seropositive rheumatoid arthritis","M05.88",NA,"ICD10"
"M0589","Other seropositive rheumatoid arthritis","M05.89",NA,"ICD10"
