Code,Description
31523017,"Drusen"
56136018,"Drusen of optic disc"
369092019,"Retinal drusen"
399676018,"Senile macular degeneration"
2537365016,"Dry senile macular degeneration"
2538088014,"Wet senile macular degeneration"
2620873012,"Senile reticular degeneration"
6866131000006118,"Atrophic senile macular retinal degeneration"
6866181000006117,"Nonexudative senile macular retinal degeneration"
5501811000006111,"AMD - Age-related macular degeneration"
6866151000006113,"Dry senile macular retinal degeneration"
5501781000006114,"ARMD - Age-related macular degeneration"
6853491000006112,"Kuhnt Junius degeneration"
3041041000006116,"Optic disc drusen"
6853441000006115,"Exudative age-related macular degeneration"
5501801000006113,"SMD - Senile macular degeneration"
78571000006118,"Unspecified senile macular degeneration"
6853501000006116,"Neovascular age-related macular degeneration"
6866191000006119,"Nonneovascular age-related macular degeneration"
6866171000006115,"Nonexudative senile macular degeneration"
6853461000006116,"Disciform senile macular retinal degeneration"
6866121000006116,"Atrophic age-related macular degeneration"
3378951000006113,"Senile reticular retinal degeneration"
6853541000006119,"EMD - Exudative macular degeneration"
6853481000006114,"Junius-Kuhnt degeneration"
5501791000006112,"Senile macular retinal degeneration"
6853471000006111,"Exudative senile macular retinal degeneration"
6866111000006112,"Nonexudative age-related macular degeneration"
3041031000006114,"Optic nerve head drusen"
6866161000006110,"Geographic atrophy of the macula"
5501771000006111,"Age-related macular degeneration"
5501831000006117,"AAMD - Age related macular degeneration"
753461000006116,"Kuhnt - Junius degeneration"
