Code,Description
4525015,"Alcoholic gastritis"
12878014,"Alcoholism"
14103017,"Alcoholic polyneuropathy"
15243013,"Alcohol withdrawal delirium"
17390014,"Acute alcoholic hepatitis"
83834016,"Alcoholic fatty liver"
110629012,"Chronic alcoholism"
138527014,"Alcoholic cardiomyopathy"
251626014,"H/O: alcoholism"
283451018,"Aversion therapy - alcoholism"
294662017,"Korsakov's alcoholic psychosis with peripheral neuritis"
294664016,"Alcohol amnestic syndrome NOS"
294668018,"Chronic alcoholic brain syndrome"
294669014,"Alcohol withdrawal hallucinosis"
294671014,"Pathological alcohol intoxication"
294672019,"Alcoholic paranoia"
294673012,"Other alcoholic psychosis"
294674018,"Alcohol withdrawal syndrome"
294675017,"Other alcoholic psychosis NOS"
294676016,"Alcoholic psychosis NOS"
295126010,"Alcohol dependence with acute alcoholic intoxication"
295127018,"Acute alcoholic intoxication in alcoholism"
295128011,"Acute alcoholic intoxication, unspecified, in alcoholism"
295129015,"Continuous acute alcoholic intoxication in alcoholism"
295130013,"Episodic acute alcoholic intoxication in alcoholism"
295131012,"Acute alcoholic intoxication in remission, in alcoholism"
295132017,"Acute alcoholic intoxication in alcoholism NOS"
295136019,"Unspecified chronic alcoholism"
295139014,"Continuous chronic alcoholism"
295141010,"Episodic chronic alcoholism"
295142015,"Chronic alcoholism in remission"
295143013,"Chronic alcoholism NOS"
295144019,"Alcohol dependence syndrome NOS"
295251015,"Nondependent alcohol abuse, unspecified"
295252010,"Nondependent alcohol abuse, continuous"
295253017,"Nondependent alcohol abuse, episodic"
295254011,"Nondependent alcohol abuse in remission"
295255012,"Nondependent alcohol abuse NOS"
295765017,"[X]Mental and behavioural disorders due to use of alcohol"
297011014,"Alcoholic encephalopathy"
303399018,"Alcoholic liver damage unspecified"
346929012,"Alcoholic dementia NOS"
353587018,"Alcoholic hepatitis"
353594015,"Alcoholic fibrosis and sclerosis of liver"
353595019,"Alcoholic hepatic failure"
353687012,"Alcohol-induced acute pancreatitis"
353698013,"Alcohol-induced chronic pancreatitis"
356292013,"Alcohol-induced pseudo-Cushing's syndrome"
401760017,"Other alcoholic dementia"
401797010,"Nondependent alcohol abuse"
451124014,"Chronic alcoholic hepatitis"
453265010,"Oesophageal varices in alcoholic cirrhosis of the liver"
460276013,"[V]Personal history of alcoholism"
478024019,"Alcohol-induced epilepsy"
478046010,"Cerebellar ataxia due to alcoholism"
500478011,"Alcohol dependence syndrome"
501294012,"Wernicke-Korsakov syndrome"
502016018,"Dipsomania"
502017010,"Alcohol problem drinking"
2549849017,"Alcohol induced hallucinations"
3859091000006114,"Dilated cardiomyopathy secondary to alcohol"
1974191000006110,"Mental and behav dis due to use alcohol: withdrawal state, uncomplicated"
1972271000006112,"Mental & behav dis due to use alcohol: acute intoxication, with other medical complications"
4831761000006115,"FAS - Foetal alcohol syndrome"
362961000006112,"[X]Alcoholic jealousy"
476741000006111,"Alcoholic psychoses"
4768901000006117,"Alcohol induced encephalopathy"
3182581000006111,"Alcoholic psychosis"
4763141000006111,"Korsakov alcoholic psychosis with peripheral neuritis"
4533441000006111,"XS - Excessive alcohol consumption"
542611000006114,"Cerebral degeneration due to alcoholism"
3165691000006115,"ALD - Alcoholic liver disease"
476361000006114,"Alcohol amnestic syndrome"
397611000006115,"[X]Mental & behav dis due to use alcohol: acute intoxication"
5111831000006111,"Pseudo-Cushing syndrome due to alcohol"
1976111000006110,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, late-onset psychotic disorder"
1975181000006111,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly delusional"
1975411000006111,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly manic symptoms"
2740361000006119,"AA - Alcohol abuse"
4533451000006113,"Excessive alcohol consumption"
1975661000006111,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, residual affective disorder"
394681000006119,"[X]Korsakov's psychosis, alcohol induced"
1973411000006110,"Mental & behav dis due to use alcohol: acute intoxication, with coma"
4539891000006115,"History of alcoholism"
5086741000006114,"AH - Alcoholic hepatitis"
2626141000006112,"Alcoholic polyneuropathy"
1975341000006119,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly polymorphic"
3630151000006118,"Korsakov psychosis"
1973441000006114,"Mental & behav dis due to use alcohol: acute intoxication, with convulsions"
2806381000006118,"Alcoholic myositis"
2502981000006117,"Alcohol-induced persisting dementia"
362971000006117,"[X]Alcoholic paranoia"
753331000006118,"Korsakov's alcoholic psychosis"
2626161000006111,"Alcoholic peripheral neuropathy"
2658601000006116,"Acute alcoholic liver disease"
397881000006114,"[X]Mental and behav dis due to use of alcohol: harmful use"
940781000006116,"Evidence of alcohol withdrawal"
362941000006113,"[X]Alcoholic dementia NOS"
1974141000006118,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]"
1975141000006117,"Mental & behav dis due to use alcohol: psychotic disorder, schizophrenia-like"
2806371000006116,"Alcoholic myopathic syndrome"
397241000006119,"[X]Men & behav dis due to use alcohol: oth men & behav dis"
397621000006111,"[X]Mental & behav dis due to use alcohol: psychotic disorder"
1745961000006111,"Extended intervention for excessive alcohol consumption declined"
1974521000006117,"Mental & behav dis due to use alcohol: withdrawl state with delirium, with convulsions"
6769921000006111,"Alcohol abuse prevention education"
2502971000006115,"Dementia associated with alcoholism"
480271000000113,"Disqualified from driving due to excess alcohol"
1973481000006115,"Mental & behav dis due to use alcohol: acute intoxication, pathological intoxication"
1974111000006117,"Mental and behav dis due to use alcohol: dependence syndr, continuous use"
1704281000006117,"Brief intervention for excessive alcohol consumptn declined"
1662551000006113,"Dental recall - excessive alcohol use"
5111821000006113,"Alcohol-induced pseudo-Cushing syndrome"
5992721000006114,"Esophageal varices in alcoholic cirrhosis of the liver"
1973321000006113,"Mental & behav dis due to use alcohol: acute intoxication, with perceptual distortions"
1754191000006119,"Extended interven for excessive alcohol consumption declined"
3545831000006115,"Detoxication psychiatric therapy for alcoholism"
1973701000006119,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent"
12721711000006110,"Alcoholic liver damage unspecified"
1974071000006113,"Mental and behav dis due to use alcohol: dependence syndr, currently using the substance [active dependence]"
221111000000114,"Cirrhosis - non alcoholic"
3630161000006116,"Amnesic syndrome due to alcohol"
1808491000006113,"Alcohol-related legal or disciplinary problem"
3859111000006117,"Dilated cardiomyopathy caused by alcohol"
3688931000006118,"Alcohol-induced persisting amnestic disorder"
3182591000006114,"Alcohol induced psychosis"
299081000000114,"Harmful alcohol use"
397211000006118,"[X]Men & behav dis due alcohl: withdrawl state with delirium"
346501000006111,"[V]Problems related to lifestyle alcohol use"
6947471000006110,"Alcoholic liver cirrhosis"
362251000006117,"[X]Acute alcoholic drunkenness"
1976071000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, other persisting cognitive impairment"
1975461000006114,"Mental & behav dis due to use alcohol: psychotic disorder, mixed"
315091000000117,"[X]Alcohol withdrawal-induced seizure"
1972161000006112,"Mental & behav dis due to use alcohol: acute intoxication, with trauma or other bodily injury"
3315061000006110,"Alcoholic fatty liver disease"
376451000006113,"[X]Delirium tremens, alcohol induced"
1680121000006110,"Brief intervention for excessive alcohol consumptn completed"
2358251000000115,"Alcohol dependence resolved"
1894171000006111,"Alcohol dependence resolved"
1973241000006113,"Mental & behav dis due to use alcohol: acute intoxication, with delirium"
961571000006111,"Excessive use of alcohol"
397801000006117,"[X]Mental and behav dis due to use alcohol: dependence syndr"
1975371000006110,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly depressive symptoms"
371501000000110,"Delivery of rehabilitation for alcohol addiction"
1972151000006110,"Mental & behav dis due to use alcohol: acute intoxication, uncomplicated"
1975541000006111,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, personality or behaviour disorder"
370971000006114,"[X]Chronic alcoholism"
2614651000006115,"Alcoholism"
397201000006116,"[X]Men & behav dis due alcoh: resid & late-onset psychot dis"
1974021000006112,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs"
476701000006114,"Alcoholic myopathy"
299061000000117,"Hazardous alcohol use"
1975591000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, dementia"
397811000006119,"[X]Mental and behav dis due to use alcohol: withdrawal state"
3165681000006118,"Alcoholic liver disease"
4533461000006110,"Excessive alcohol use"
362981000006119,"[X]Alcoholic psychosis NOS"
3630171000006111,"Alcoholic amnestic syndrome"
2911271000006113,"Acute alcoholism"
476611000006116,"Alcoholic cirrhosis of liver"
882221000006114,"Other alcoholic psychoses"
12730491000006117,"Other alcoholic psychosis"
3315041000006111,"Alcoholic steatosis"
370961000006119,"[X]Chronic alcoholic brain syndrome"
376461000006110,"[X]Delirium, not induced by alcohol+other psychoactive subs"
3890681000006118,"Uncomplicated alcohol withdrawal"
2612491000006118,"Alcohol-induced psychotic disorder with hallucinations"
4831751000006117,"Foetal alcohol syndrome"
1975291000006117,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly hallucinatory"
6947461000006115,"Alcoholic cirrhosis"
882531000006110,"Non-dependent abuse of alcohol"
1975511000006112,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, flashbacks"
397431000006111,"[X]Ment & behav dis due use alcohol: unsp ment & behav dis"
3630141000006115,"Korsakov syndrome - alcoholic"
1974301000006117,"Mental & behav dis due to use alcohol: withdrawl state with delirium, without convulsions"
377081000006114,"[X]Dipsomania"
2969641000006116,"Alcohol-related disorder"
5981291000006110,"Alcohol withdrawal-induced convulsion"
362951000006110,"[X]Alcoholic hallucinosis"
1973811000006113,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but in a protected environment"
1973871000006116,"Mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]"
886501000006115,"Alcoholic liver damage NOS"
362921000006118,"[X]Alcohol addiction"
11922951000006112,"Alcoholic psychoses"
397791000006118,"[X]Mental and behav dis due to use alcohol: amnesic syndrome"
2612511000006112,"Alcohol induced hallucinosis"
3545841000006113,"Detoxication therapy for alcoholism"
1680131000006113,"Extended intervention for excessive alcohol consumptn complt"
1974231000006117,"Mental and behav dis due to use alcohol: withdrawal state, with convulsions"
