Code,Description
3704012,"Clark melanoma level 4"
27148012,"Clark melanoma level 5"
35572018,"Clark melanoma level 3"
59846018,"Carcinoid syndrome"
84190018,"Clark melanoma level 2"
103180017,"Mesothelioma"
118291012,"Cystosarcoma phyllodes"
138122012,"Clark melanoma level 1"
144849016,"Neuroblastoma"
154231019,"Malignant melanoma of perianal skin"
155060012,"Malignant melanoma of skin"
155068017,"Malignant neoplasm of acromion"
155072018,"Malignant neoplasm of adrenal gland"
155076015,"Malignant neoplasm of anal canal"
155078019,"Malignant neoplasm of anterior mediastinum"
155085015,"Malignant neoplasm of aortic body"
155089014,"Malignant neoplasm of areola of female breast"
155090017,"Malignant neoplasm of areola of male breast"
155155010,"Malignant neoplasm of broad ligament"
155168019,"Malignant neoplasm of carotid body"
155175018,"Malignant neoplasm of cerebellum"
155191015,"Malignant neoplasm of clavicle"
155193017,"Malignant neoplasm of coccygeal body"
155206014,"Malignant neoplasm of cuboid"
155207017,"Malignant neoplasm of cystic duct"
155209019,"Malignant neoplasm of diaphragm"
155211011,"Malignant neoplasm of dorsal surface of tongue"
155218017,"Malignant neoplasm of endocervix"
155222010,"Malignant neoplasm of epicardium"
155228014,"Malignant neoplasm of ethmoid bone"
155231010,"Malignant neoplasm of exocervix"
155246015,"Malignant neoplasm of femur"
155247012,"Malignant neoplasm of fibula"
155259011,"Malignant neoplasm of frontal bone"
155269017,"Malignant neoplasm of glomus jugulare"
155272012,"Malignant neoplasm of great vessels"
155287019,"Malignant neoplasm of hilus of lung"
155294016,"Malignant neoplasm of ilium"
155305011,"Malignant neoplasm of intrahepatic bile ducts"
155308013,"Malignant neoplasm of ischium"
155332018,"Malignant neoplasm of lateral wall of oropharynx"
155361017,"Malignant neoplasm of main bronchus"
155364013,"Malignant neoplasm of male breast"
155368011,"Malignant neoplasm of mandible"
155370019,"Malignant neoplasm of maxilla"
155402013,"Malignant neoplasm of nasal bone"
155417012,"Malignant neoplasm of nipple of female breast"
155418019,"Malignant neoplasm of nipple of male breast"
155421017,"Malignant neoplasm of occipital bone"
155425014,"Malignant neoplasm of optic nerve"
155441010,"Malignant neoplasm of parametrium"
155444019,"Malignant neoplasm of parietal bone"
155446017,"Malignant neoplasm of parietal peritoneum"
155447014,"Malignant neoplasm of parietal pleura"
155449012,"Malignant neoplasm of patella"
155452016,"Malignant neoplasm of pelvic peritoneum"
155457010,"Malignant neoplasm of periadrenal tissue"
155458017,"Malignant neoplasm of perianal skin"
155459013,"Malignant neoplasm of pericardium"
155468010,"Malignant neoplasm of placenta"
155473016,"Malignant neoplasm of posterior mediastinum"
155477015,"Malignant neoplasm of presacral region"
155479017,"Malignant neoplasm of pubis"
155483017,"Malignant neoplasm of radius"
155488014,"Malignant neoplasm of rectum"
155495017,"Malignant neoplasm of rib"
155501015,"Malignant neoplasm of sacrococcygeal region"
155503017,"Malignant neoplasm of scapula"
155517014,"Malignant neoplasm of skin of ankle"
155520018,"Malignant neoplasm of skin of back"
155521019,"Malignant neoplasm of skin of breast"
155522014,"Malignant neoplasm of skin of buttock"
155525011,"Malignant neoplasm of skin of chin"
155529017,"Malignant neoplasm of skin of eyebrow"
155533012,"Malignant neoplasm of skin of finger"
155534018,"Malignant neoplasm of skin of foot"
155536016,"Malignant neoplasm of skin of forehead"
155537013,"Malignant neoplasm of skin of groin"
155538015,"Malignant neoplasm of skin of hand"
155539011,"Malignant neoplasm of skin of hip"
155540013,"Malignant neoplasm of skin of knee"
155542017,"Malignant neoplasm of skin of lip"
155545015,"Malignant neoplasm of skin of neck"
155547011,"Malignant neoplasm of skin of perineum"
155550014,"Malignant neoplasm of skin of shoulder"
155552018,"Malignant neoplasm of skin of thigh"
155553011,"Malignant neoplasm of skin of toe"
155556015,"Malignant neoplasm of skin of umbilicus"
155582012,"Malignant neoplasm of sphenoid bone"
155592016,"Malignant neoplasm of sternum"
155604019,"Malignant neoplasm of talus"
155607014,"Malignant neoplasm of temporal bone"
155624015,"Malignant neoplasm of tibia"
155641018,"Malignant neoplasm of ulna"
155669014,"Malignant neoplasm of ventral surface of tongue"
155675017,"Malignant neoplasm of visceral pleura"
155677013,"Malignant neoplasm of vomer"
155681013,"Malignant neoplasm of zygomatic bone"
155711012,"Secondary malignant neoplasm of adrenal gland"
155773015,"Secondary malignant neoplasm of bladder"
155879014,"Secondary malignant neoplasm of brain"
155967013,"Secondary malignant neoplasm of colon"
156007019,"Secondary malignant neoplasm of duodenum"
156169017,"Secondary malignant neoplasm of ileum"
156231017,"Secondary malignant neoplasm of jejunum"
156237018,"Secondary malignant neoplasm of kidney"
156291015,"Secondary malignant neoplasm of liver"
156319016,"Secondary malignant neoplasm of lung"
156375015,"Secondary malignant neoplasm of mediastinum"
156493015,"Secondary malignant neoplasm of ovary"
156557015,"Secondary malignant neoplasm of penis"
156585018,"Secondary malignant neoplasm of pleura"
156607018,"Secondary malignant neoplasm of prostate"
156627017,"Secondary malignant neoplasm of rectum"
156699010,"Secondary malignant neoplasm of skin of breast"
156719018,"Secondary malignant neoplasm of skin of face"
156747019,"Secondary malignant neoplasm of skin of neck"
156765015,"Secondary malignant neoplasm of skin of trunk"
156777013,"Secondary malignant neoplasm of skin"
156825010,"Secondary malignant neoplasm of spinal cord"
156883018,"Secondary malignant neoplasm of testis"
156919012,"Secondary malignant neoplasm of tongue"
156973018,"Secondary malignant neoplasm of ureter"
156977017,"Secondary malignant neoplasm of urethra"
156989015,"Secondary malignant neoplasm of uterus"
156997010,"Secondary malignant neoplasm of vagina"
157025019,"Secondary malignant neoplasm of vulva"
157732017,"Primary malignant neoplasm of liver"
170673014,"Breslow depth staging for melanoma"
173816012,"Overlapping malignant melanoma of skin"
173941016,"Mesothelioma of pericardium"
173944012,"Kaposi's sarcoma of skin"
173946014,"Kaposi's sarcoma of palate"
173950019,"Kaposi's sarcoma of lymph nodes"
174518012,"Malignant neoplasm of cloacogenic zone"
174532014,"Mesothelioma of peritoneum"
174562015,"Malignant neoplasm of descended testis"
215889013,"[M]Dermatofibrosarcoma NOS"
215896010,"[M]Rhabdomyosarcoma NOS"
216227011,"Pathological fracture due to metastatic bone disease"
251569011,"H/O Malignant melanoma"
261676014,"X-ray metastasis control"
274480013,"Excision of melanoma"
287014015,"Human immunodeficiency virus with secondary cancers"
287031010,"HIV disease resulting in multiple malignant neoplasms"
288185010,"[X]HIV disease resulting in other malignant neoplasms"
288186011,"[X]HIV disease resulting in unspecified malignant neoplasm"
288350019,"Malignant neoplasm of upper lip, lipstick area"
288351015,"Malignant neoplasm of upper lip, vermilion border NOS"
288354011,"Malignant neoplasm of lower lip, external"
288355012,"Malignant neoplasm of lower lip, vermilion border NOS"
288362015,"Malignant neoplasm of upper lip, oral aspect"
288363013,"Malignant neoplasm of upper lip, inner aspect"
288364019,"Malignant neoplasm of upper lip, mucosa"
288372017,"Malignant neoplasm of upper lip, frenulum"
