Code,Description
4972010,"Fat necrosis of pancreas"
18532015,"Mumps pancreatitis"
43471011,"Fibrosis of pancreas"
64661016,"Aseptic necrosis of pancreas"
98289011,"Subacute pancreatitis"
125722013,"Pancreatitis"
146354015,"Atrophy of pancreas"
287781011,"Echinococcosis pancreas"
303630010,"Acute pancreatitis"
303632019,"Acute pancreatitis unspecified"
303633012,"Acute recurrent pancreatitis"
303636016,"Acute suppurative pancreatitis"
303793019,"[X]Other chronic pancreatitis"
351123016,"Pancytopenia with pancreatitis"
352985010,"Chronic pancreatitis"
353686015,"Gallstone acute pancreatitis"
353687012,"Alcohol-induced acute pancreatitis"
353688019,"Idiopathic acute pancreatitis"
353689010,"Drug-induced acute pancreatitis"
353692014,"Cytomegaloviral pancreatitis"
353697015,"Gallstone chronic pancreatitis"
353698013,"Alcohol-induced chronic pancreatitis"
396402014,"Acute pancreatitis NOS"
493743018,"Acute haemorrhagic pancreatitis"
5080721000006117,"Debridement of pancreatic and peripancreatic necrosis"
2116751000000111,"Biliary acute pancreatitis"
5087751000006113,"Chronic pancreatitis due to acute alcohol intoxication"
2535701000006113,"Peripancreatic necrosis"
2568881000006110,"Hemorrhagic pancreatitis"
3934581000006110,"Pancreatic atrophy"
2568891000006113,"Haemorrhagic pancreatitis"
3730761000006113,"Inflammation of pancreas"
4787911000006115,"AP - Acute pancreatitis"
905991000006118,"[RFC] Pancreatitis"
1816471000006113,"Other acute pancreatitis"
404881000000118,"History of chronic pancreatitis"
2535691000006113,"Peripancreatic fat necrosis"
5081061000006116,"CP - Chronic pancreatitis"
4744641000006110,"Pancreatic echinococcosis"
3113051000006119,"Sterile pancreatic necrosis"
2568871000006112,"Acute hemorrhagic pancreatitis"
404861000000110,"History of acute pancreatitis"
2915211000006119,"Cirrhosis of pancreas"
