Code,Description
33475016,"Claustrophobia"
65032014,"Dental phobia"
90724016,"Simple phobia"
97986013,"Acrophobia"
251630012,"H/O: anxiety state"
253620013,"O/E - anxious"
294953016,"Anxiety state unspecified"
294960010,"Chronic anxiety"
294961014,"Recurrent anxiety"
294963012,"Anxiety state NOS"
294991016,"Phobia unspecified"
294992011,"Agoraphobia with panic attacks"
294993018,"Agoraphobia without mention of panic attacks"
294994012,"Social phobia, fear of eating in public"
294995013,"Social phobia, fear of public speaking"
294996014,"Social phobia, fear of public washing"
296224013,"[X]Phobic anxiety disorders"
296236019,"[X]Other phobic anxiety disorders"
296237011,"[X]Phobic anxiety disorder, unspecified"
296238018,"[X]Other anxiety disorders"
296239014,"[X]Panic disorder [episodic paroxysmal anxiety]"
296245018,"[X]Other mixed anxiety disorders"
296249012,"[X]Anxiety disorder, unspecified"
296722013,"[X]Separation anxiety disorder of childhood"
304838011,"Anxiety state"
342665019,"Anxiety management training"
370049015,"Flying phobia"
401881014,"[X]Other specified anxiety disorders"
441512015,"Separation anxiety disorder"
481154010,"Generalised anxiety disorder"
485870016,"Cancer phobia"
1210253015,"Panic disorder"
1231321013,"Animal phobia"
2533632018,"H/O: agoraphobia"
3381271000006114,"Zoophobia"
363281000006117,"[X]Animal phobias"
362881000006114,"[X]Agoraphobia without history of panic disorder"
1808521000006110,"Panic disorder without agoraphobia"
427231000006111,"[X]Specific (isolated) phobias"
882391000006117,"Other phobias"
363661000006113,"[X]Anxiety NOS"
851141000006112,"Phonophobia"
400201000006111,"[X]Nosophobia"
427071000006115,"[X]Social phobias"
980191000006111,"[X]Needle phobia"
2391581000000111,"Referral for guided self-help for anxiety declined"
3287761000006110,"Feeling anxious"
6857231000006117,"History of agoraphobia"
2848311000006117,"GAD - Generalised anxiety disorder"
932131000006118,"Needle phobia"
362871000006111,"[X]Agoraphobia"
6025521000006113,"Anxiety counselling"
3265811000006112,"Adjustment disorder with anxious mood"
363651000006111,"[X]Anxiety neurosis"
363361000006117,"[X]Anthropophobia"
388071000006116,"[X]Generalized anxiety disorder"
2618241000000117,"Anxiety resolved"
4764811000006117,"Cyesiophobia"
12716981000006115,"Agoraphobia without mention of panic attacks"
420631000006114,"[X]Phobia NOS"
4539991000006111,"History of anxiety state"
1818111000006112,"Feeling anxious"
3287741000006111,"Anxiety"
7663271000006111,"Management of anxiety"
851351000006112,"School phobia"
362181000006117,"[X]Acrophobia"
988881000006118,"Agoraphobia"
427051000006113,"[X]Social anxiety disorder of childhood"
4981541000006112,"AMT - Anxiety management training"
488201000006114,"Anxiety states"
11920891000006113,"[X]Phobia NOS"
1861181000006114,"Breathlessness causing anxiety"
300681000000118,"Referral for guided self-help for anxiety"
398561000006117,"[X]Mixed anxiety and depressive disorder"
426871000006113,"[X]Simple phobia"
5024071000006118,"Anxiety depression"
418061000006116,"[X]Panic state"
378291000006117,"[X]Dream anxiety disorder"
2777721000006112,"Organic anxiety disorder"
3649691000006114,"Phobia of going out"
972931000006117,"** The treatment of anxiety disorders"
363691000006117,"[X]Anxious [avoidant] personality disorder"
626101000006114,"Disturbance anxiety and fearfulness childhood/adolescent NOS"
371071000006117,"[X]Claustrophobia"
4550971000006119,"On examination - anxious"
2907991000006110,"Social anxiety disorder"
516601000000113,"Anxious"
6025541000006118,"Counseling for anxiety"
12703831000006115,"[X]Organic anxiety disorder"
420641000006116,"[X]Phobic anxiety disorder of childhood"
418051000006118,"[X]Panic disorder with agoraphobia"
223641000000116,"Phobic anxiety"
2618401000000116,"Referral for psychological management of anxiety declined"
2848291000006116,"Generalized anxiety disorder"
909691000006113,"[RFC] Anxiety management"
3785111000006110,"Anxious cognitions"
363681000006115,"[X]Anxiety state"
6025551000006116,"Counselling for anxiety"
2848301000006115,"GAD - Generalized anxiety disorder"
853241000006119,"Phobic anxiety"
3385931000006117,"Isolated phobia"
398351000006110,"[X]Mild anxiety depression"
488211000006112,"Anxiety with depression"
6025531000006111,"Anxiety counseling"
626121000006116,"Disturbance of anxiety and fearfulness childhood/adolescent"
4767501000006113,"Childhood phobic anxiety disorder"
6358151000006115,"Episodic paroxysmal anxiety disorder"
363641000006114,"[X]Anxiety hysteria"
403931000006116,"[X]Organic anxiety disorder"
882381000006115,"Agoraphobia"
991621000006112,"Needle phobia"
2712981000006115,"Overanxious disorder of childhood"
3265831000006118,"Adjustment disorder with anxiety"
370861000006110,"[X]Childhood overanxious disorder"
419841000006116,"[X]Persistant anxiety depression"
2618361000000113,"Referral for psychological management of anxiety"
