Code,Description
21390015,"Intrinsic asthma without status asthmaticus"
69311016,"Detergent asthma"
94731013,"Wood asthma"
95786019,"Occupational asthma"
98546013,"Intrinsic asthma with status asthmaticus"
104872017,"Extrinsic asthma without status asthmaticus"
151338014,"Extrinsic asthma with status asthmaticus"
216186011,"Asthma accident and emergency attendance since last visit"
251191012,"Asthma society member"
251716013,"H/O: asthma"
253533013,"Asthma resolved"
264515013,"Inhaler technique shown"
264535014,"Inhaler technique - poor"
264540018,"Asthma disturbing sleep"
264541019,"Asthma causing night waking"
264542014,"Asthma disturbs sleep weekly"
264543016,"Asthma disturbs sleep frequently"
264544010,"Asthma not disturbing sleep"
264545011,"Asthma never disturbs sleep"
264546012,"Asthma limiting activities"
264547015,"Asthma not limiting activities"
264550017,"Asthma management plan given"
264551018,"Asthma severity"
264556011,"Asthma prophylactic medication used"
264565016,"Emergency asthma admission since last appointment"
264566015,"Asthma restricts exercise"
264567012,"Asthma sometimes restricts exercise"
264568019,"Asthma severely restricts exercise"
264569010,"Asthma never restricts exercise"
265329018,"Asthma screening"
282488010,"Asthma control step 0"
282489019,"Asthma control step 1"
282490011,"Asthma control step 2"
282491010,"Asthma control step 3"
282492015,"Asthma control step 4"
282493013,"Asthma control step 5"
283550015,"Emergency admission, asthma"
285727014,"Attends asthma monitoring"
285728016,"Refuses asthma monitoring"
285729012,"Asthma monitor offer default"
301450011,"Chronic asthmatic bronchitis"
301480018,"Bronchial asthma"
301485011,"Asthma"
301499010,"Extrinsic asthma NOS"
301508013,"Intrinsic asthma NOS"
301509017,"Mixed asthma"
301511014,"Asthma unspecified"
324412011,"Antiasthmatic poisoning NOS"
331445016,"Adverse reaction to antiasthmatic NOS"
338238011,"Brittle asthma"
350147016,"Childhood asthma"
350148014,"Late onset asthma"
350149018,"Late-onset asthma"
350151019,"Extrinsic asthma with asthma attack"
350152014,"Allergic asthma NEC"
350153016,"Hay fever with asthma"
350154010,"Pollen asthma"
350156012,"Intrinsic asthma with asthma attack"
396114013,"Intrinsic asthma"
396118011,"Status asthmaticus NOS"
396119015,"Asthma attack"
396120014,"Asthma NOS"
405054019,"Asthma monitored"
405055018,"Asthma monitoring check done"
409865018,"Asthma attack NOS"
411877015,"Asthma monitoring"
419211018,"Acute exacerbation of asthma"
456163018,"Asthma - currently active"
456164012,"Asthma - currently dormant"
1208954011,"Asthma causes daytime symptoms 1 to 2 times per month"
1208955012,"Asthma causes daytime symptoms 1 to 2 times per week"
1208956013,"Asthma causes daytime symptoms most days"
1208957016,"Asthma causes night symptoms 1 to 2 times per month"
1208958014,"Asthma limits walking on the flat"
1208959018,"Asthma limits walking up hills or stairs"
1208960011,"Asthma never causes daytime symptoms"
1208962015,"Number of asthma exacerbations in past year"
1208969012,"Mild asthma"
1208970013,"Moderate asthma"
1208971012,"Occasional asthma"
1208972017,"Severe asthma"
1208976019,"Asthma treatment compliance unsatisfactory"
1208977011,"Asthma treatment compliance satisfactory"
1212342016,"Asthma daytime symptoms"
1226348019,"Antiasthmatic poisoning"
1483199016,"Allergic asthma"
1484905010,"Change in asthma management plan"
1484910014,"Step up change in asthma management plan"
1484911013,"Step down change in asthma management plan"
1484953014,"Absent from work or school due to asthma"
1484970018,"Asthma monitoring due"
1488421017,"Asthma annual review"
1488422012,"Asthma follow-up"
1488436019,"Asthma medication review"
1488668018,"Suspected asthma"
1488722011,"Asthma night-time symptoms"
1495417010,"Asthma - cardiac"
1780194017,"Asthma trigger"
1780336013,"Health education - asthma"
1780378019,"Asthma monitoring by nurse"
1780379010,"Asthma monitoring by doctor"
1780388018,"Asthma confirmed"
2474332015,"Asthma clinical management plan"
2533422017,"Hypothyroidism monitoring first letter"
1176541000000112,"Health education - structured asthma discussion"
8061031000006119,"Asthma trigger - damp"
8465371000006113,"Life threatening acute exacerbation of allergic asthma"
817361000006114,"Hay fever with asthma"
3425341000006113,"Wood asthma"
12626261000006115,"QOF (Quality and Outcomes Framework) asthma quality indicator-related care invitation"
8465381000006111,"Life threatening acute exacerbation of extrinsic asthma"
1807911000006113,"Asthma causes daytime asthma symptoms daily"
2009981000006110,"Difficult asthma"
7628191000006118,"Acute severe exacerbation of asthma"
