Code,Description
94953018,"Flexural eczema"
192189011,"Pustular eczema"
251783011,"H/O: eczema"
308485016,"Atopic dermatitis and related conditions"
308489010,"Besnier's prurigo"
308497015,"Atopic dermatitis NOS"
309315018,"[X]Dermatitis and eczema"
399917015,"Eczema NOS"
1779279014,"Erythrodermic eczema"
1779345010,"Infected eczema"
477121000006119,"Allergic (intrinsic) eczema"
10111000033114,"Psoriasis And Eczema"
889161000006118,"Atopic eczema/dermatitis"
950591000006112,"Dermatitis/eczema"
2884341000006119,"AD - Atopic dermatitis"
676461000006118,"Neurodermatitis - atopic"
2884301000006116,"Atopic eczema"
1008901000006113,"Eczema/Dermatitis"
1577061000006119,"Eczema/Dermatitis"
2884311000006118,"Allergic eczema"
889191000006114,"Atopic eczema/dermatitis NOS"
889171000006113,"Dermatitis/eczemas"
889251000006111,"Chronic Eczema"
12727631000006116,"Eczema NOS"
939541000006111,"[RFC] Eczema"
980491000006115,"[X]Exacerbation of eczema"
497341000006116,"Atopic dermatitis/eczema"
889151000006115,"Dermatitis/eczemas NOS"
4804211000006119,"Besnier prurigo"
6634251000006113,"Infective eczema"
4541271000006119,"History of eczema"
905661000006119,"[RFC] Eczema"
195021000006118,"Pustular eczema"
12733251000006118,"Atopic dermatitis NOS"
