Code,Description
19794011,"Prostatism"
251774018,"H/O: prostatism"
304382014,"Prostatic hyperplasia unspecified"
304383016,"Prostatic hyperplasia of the lateral lobe"
304384010,"Prostatic hyperplasia of the medial lobe"
304385011,"Prostatic hyperplasia NOS"
396738018,"Benign prostatic hypertrophy"
396742015,"BPH - Benign prostatic hypertrophy"
458521015,"TURP using an electrotome"
5493301000006114,"Benign enlargement of prostate"
645331000006112,"Enlarged prostate - benign"
11851221000006114,"BPH - benign prostatic hyperplasia"
906331000006111,"[RFC] TURP & other prostectomies"
5493341000006111,"BEP - Benign enlargement of prostate"
203421000006110,"Prostatism"
3966201000006116,"Transurethral resection of prostate"
1936171000006116,"H/O: benign prostatic hypertrophy"
5493361000006110,"Nodular hyperplasia of prostate gland"
3966211000006118,"TURP - Transurethral resection of prostate"
5493351000006113,"BPH - Benign prostatic hypertrophy"
1936251000006118,"History of transurethral resection of prostate"
4541171000006114,"History of prostatism"
5493281000006110,"Prostatic hypertrophy"
