Code,Description
155089014,"Malignant neoplasm of areola of female breast"
155090017,"Malignant neoplasm of areola of male breast"
155364013,"Malignant neoplasm of male breast"
155417012,"Malignant neoplasm of nipple of female breast"
155418019,"Malignant neoplasm of nipple of male breast"
174576019,"Lobular carcinoma in situ of breast"
174577011,"Intraductal carcinoma in situ of breast"
289137018,"Malignant neoplasm of nipple and areola of female breast"
289140018,"Malignant neoplasm of nipple or areola of female breast NOS"
289141019,"Malignant neoplasm of central part of female breast"
289142014,"Malignant neoplasm of upper-inner quadrant of female breast"
289143016,"Malignant neoplasm of lower-inner quadrant of female breast"
289144010,"Malignant neoplasm of upper-outer quadrant of female breast"
289145011,"Malignant neoplasm of lower-outer quadrant of female breast"
289146012,"Malignant neoplasm of axillary tail of female breast"
289147015,"Malignant neoplasm, overlapping lesion of breast"
289148013,"Malignant neoplasm of other site of female breast"
289150017,"Malignant neoplasm of other site of female breast NOS"
289151018,"Malignant neoplasm of female breast NOS"
289153015,"Malignant neoplasm of nipple and areola of male breast"
289156011,"Malignant neoplasm of nipple or areola of male breast NOS"
289157019,"Malignant neoplasm of other site of male breast"
289159016,"Malignant neoplasm of male breast NOS"
290867017,"Carcinoma in situ of breast and genitourinary system"
290868010,"Carcinoma in situ of breast"
292137017,"[X]Malignant neoplasm of breast"
292214019,"[X]Other carcinoma in situ of breast"
459378019,"Local recurrence of malignant tumour of breast"
460263019,"[V]Personal history of malignant neoplasm of breast"
1210642019,"Malignant neoplasm of female breast"
1231363012,"[M]Paget's disease and intraductal carcinoma of breast"
2546721000006114,"Paget's disease, mammary"
531851000006119,"Ca female breast"
880321000006118,"Ca breast - axillary tail"
12459681000006115,"[V]Personal history of malignant neoplasm of breast"
4024691000006118,"Primary malignant neoplasm of areola of male breast"
6363641000006111,"Cancer of female breast"
880281000006112,"Ca breast-upper,inner quadrant"
3387081000006112,"Paget disease and intraductal carcinoma of breast"
2546761000006115,"Paget disease, mammary"
314711000006117,"[M]Paget's disease, mammary"
5351521000006110,"CA - Breast cancer"
314671000006116,"[M]Paget's disease and infiltrating breast duct carcinoma"
6364031000006110,"Ca breast - male"
6830921000006114,"Breast cancer 2, early onset gene mutation negative"
6830821000006117,"Breast cancer 1, early onset gene mutation positive"
880271000006114,"Ca breast - nipple/central"
4027021000006119,"Primary malignant neoplasm of nipple of female breast"
4026641000006116,"Primary malignant neoplasm of male breast"
5351501000006117,"Malignant tumor of breast"
6363631000006118,"Female breast cancer"
3387071000006114,"Paget's disease and intraductal carcinoma of breast"
2611381000000114,"Discharge from secondary care breast cancer service"
310741000006110,"[M]Juvenile breast carcinoma"
3843581000006117,"Paget disease and infiltrating duct carcinoma of breast"
7098081000006116,"History of malignant neoplasm of breast"
5351531000006113,"Malignant neoplasm of breast"
880331000006115,"Ca breast - NOS"
907341000006116,"[RFC] Breast cancer"
4024671000006119,"Primary malignant neoplasm of areola of female breast"
12723471000006112,"Malignant neoplasm of female breast NOS"
880301000006111,"Ca breast-upper,outer quadrant"
6051931000006117,"Local recurrence of malignant tumor of breast"
880261000006119,"Carcinoma breast"
3175581000006112,"Secretory carcinoma of the breast"
314691000006115,"[M]Paget's disease, breast"
3845591000006115,"Invasive breast carcinoma of no special type"
6830901000006116,"Breast cancer 2, early onset gene mutation positive"
316311000006112,"[M]Secretory breast carcinoma"
880341000006113,"Ca breast - male"
990571000006118,"Ca breast - NOS"
1842171000006113,"Breast cancer follow up - enhanced services administration"
4756261000006118,"Non-invasive carcinoma of breast"
6830861000006111,"Breast cancer 1, early onset gene mutation negative"
881181000006112,"Carcinoma in situ breast"
11918121000006112,"[X]Malignant neoplasm of breast"
880311000006114,"Ca breast-lower,outer quadrant"
5351491000006113,"Malignant tumour of breast"
4027041000006114,"Primary malignant neoplasm of nipple of male breast"
880291000006110,"Ca breast-lower,inner quadrant"
5351511000006119,"Breast cancer"
1803781000006110,"Local recurrence of malignant tumour of breast"
