Code,Description
21163015,"Bronchiectasis"
38677017,"Tuberculous bronchiectasis"
128792019,"Congenital bronchiectasis"
301524014,"Recurrent bronchiectasis"
301525010,"Post-infective bronchiectasis"
301526011,"Bronchiectasis NOS"
2404941000000118,"H/O: bronchiectasis"
4781641000006119,"Postinfectious bronchiectasis"
1854831000006111,"Cystic fibrosis manifested by bronchiectasis"
3183591000006116,"Bronchiectasis, chronic sinusitis AND dextrocardia syndrome"
3901501000006113,"Polynesian bronchiectasis"
2867041000006113,"Post-tuberculous bronchiectasis"
3762481000006115,"Developmental bronchiectasis"
