Code,Description
2767154014,"Chronic kidney disease stage 5"
2767385013,"Chronic kidney disease stage 4"
2773184015,"Chronic kidney disease stage 3"
304111000000114,"Chronic kidney disease stage 5"
994441000006116,"Chronic kidney disease stage 5"
8346041000006112,"Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3"
1940631000006114,"CKD with GFR category G3a & albuminuria category A2"
557831000000110,"Chronic kidney disease stage 3B"
8104511000006111,"CKD (chronic kidney disease) stage 5 with proteinuria"
304071000000115,"Chronic kidney disease stage 3"
8346151000006113,"Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3"
1940671000006112,"CKD with GFR category G3b & albuminuria category A3"
3245841000006115,"End stage kidney disease"
618481000000113,"CKD stage 3B without proteinuria"
7174851000006111,"CKD stage 5"
7147781000006115,"CKD stage 4"
595871000000110,"Chronic kidney disease stage 3 without proteinuria"
618451000000119,"CKD stage 3A with proteinuria"
3245871000006111,"ESRD - End stage renal disease"
596261000000111,"Chronic kidney disease stage 4 without proteinuria"
8346001000006110,"Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1"
8104351000006116,"CKD (chronic kidney disease) stage 3A without proteinuria"
1940641000006116,"CKD with GFR category G3a & albuminuria category A3"
1940511000006116,"CKD with GFR category G4 & albuminuria category A2"
8346221000006114,"Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3"
3245851000006118,"ESRF - End stage renal failure"
618471000000111,"CKD stage 3B with proteinuria"
1940661000006117,"CKD with GFR category G3b & albuminuria category A2"
595811000000117,"Chronic kidney disease stage 3 with proteinuria"
8104551000006112,"CKD (chronic kidney disease) stage 5 without proteinuria"
8104231000006115,"CKD (chronic kidney disease) stage 3 with proteinuria"
641471000006117,"End stage renal failure"
3245881000006114,"End stage chronic renal failure"
618441000000117,"CKD stage 3 without proteinuria"
8346121000006116,"Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2"
1940501000006119,"CKD with GFR category G4 & albuminuria category A1"
3245861000006116,"ESCRF - End stage chronic renal failure"
8104261000006112,"CKD (chronic kidney disease) stage 3 without proteinuria"
618501000000116,"CKD stage 4 without proteinuria"
1940651000006119,"CKD with GFR category G3b & albuminuria category A1"
595931000000116,"Chronic kidney disease stage 3A with proteinuria"
618461000000116,"CKD stage 3A without proteinuria"
8346101000006114,"Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1"
8346021000006117,"Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2"
304091000000116,"Chronic kidney disease stage 4"
994421000006111,"Chronic kidney disease stage 3"
1940541000006117,"CKD with GFR category G5 & albuminuria category A2"
7174791000006111,"CKD stage 3"
8104451000006111,"CKD (chronic kidney disease) stage 4 with proteinuria"
1940531000006110,"CKD with GFR category G5 & albuminuria category A1"
557811000000119,"Chronic kidney disease stage 3A"
8104301000006115,"CKD (chronic kidney disease) stage 3A with proteinuria"
8104411000006110,"CKD (chronic kidney disease) stage 3B without proteinuria"
8345931000006110,"Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3"
596131000000114,"Chronic kidney disease stage 3B without proteinuria"
596321000000110,"Chronic kidney disease stage 5 with proteinuria"
8104481000006115,"CKD (chronic kidney disease) stage 4 without proteinuria"
618511000000119,"CKD stage 5 with proteinuria"
596401000000111,"Chronic kidney disease stage 5 without proteinuria"
596051000000115,"Chronic kidney disease stage 3B with proteinuria"
595991000000115,"Chronic kidney disease stage 3A without proteinuria"
8345881000006116,"Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1"
618431000000114,"CKD stage 3 with proteinuria"
8346201000006116,"Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2"
8104381000006112,"CKD (chronic kidney disease) stage 3B with proteinuria"
1940621000006111,"CKD with GFR category G3a & albuminuria category A1"
596191000000110,"Chronic kidney disease stage 4 with proteinuria"
618491000000110,"CKD stage 4 with proteinuria"
1940551000006115,"CKD with GFR category G5 & albuminuria category A3"
215521000000116,"End stage renal failure"
994431000006114,"Chronic kidney disease stage 4"
8345901000006119,"Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2"
618521000000113,"CKD stage 5 without proteinuria"
8346171000006115,"Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1"
1940521000006112,"CKD with GFR category G4 & albuminuria category A3"
