Code,Description
65526011,"Diabetic amyotrophy"
82373015,"Diabetic polyneuropathy"
292512019,"Diabetes mellitus NOS with neurological manifestation"
297492014,"Diabetic mononeuritis multiplex"
297510017,"Diabetic mononeuritis NOS"
297550019,"Acute painful diabetic neuropathy"
297551015,"Chronic painful diabetic neuropathy"
297552010,"Asymptomatic diabetic neuropathy"
309179013,"Neuropathic diabetic ulcer - foot"
345486016,"Diabetic neuropathy"
345487013,"Diabetes mellitus with neuropathy"
345492010,"Diabetic mononeuropathy"
399419012,"Myasthenic syndrome due to diabetic amyotrophy"
459296014,"Type 1 diabetes mellitus with neuropathic arthropathy"
459312014,"Type II diabetes mellitus with neuropathic arthropathy"
459313016,"Type 2 diabetes mellitus with neuropathic arthropathy"
1230890017,"Autonomic neuropathy due to diabetes"
84561000006110,"Type 2 diabetes mellitus with neurological complications"
84941000006115,"Type II diabetes mellitus with neuropathic arthropathy"
84601000006110,"Type 2 diabetes mellitus with polyneuropathy"
280521000006117,"Non-insulin dependent diabetes mellitus with mononeuropathy"
84751000006116,"Type I diabetes mellitus with neurological complications"
913821000006111,"Type I diabetes mellitus with polyneuropathy"
913511000006117,"Type 1 diabetes mellitus with neurological complications"
13761000006115,"Other specified diabetes mellitus with neurological comps"
280591000006115,"Non-insulin-dependent diabetes mellitus with neuro comps"
771371000006118,"Insulin dependent diabetes mellitus with mononeuropathy"
84381000006113,"Type 1 diabetes mellitus with neurological complications"
84571000006115,"Type 2 diabetes mellitus with neuropathic arthropathy"
84761000006119,"Type I diabetes mellitus with neuropathic arthropathy"
914221000006113,"Type 2 diabetes mellitus with mononeuropathy"
84721000006113,"Type I diabetes mellitus with mononeuropathy"
281181000006116,"Non-insulin dependent d m with neuropathic arthropathy"
914251000006116,"Type II diabetes mellitus with polyneuropathy"
84391000006111,"Type 1 diabetes mellitus with neuropathic arthropathy"
913801000006118,"Insulin dependent diabetes mellitus with polyneuropathy"
616481000006119,"Diabetes mellitus, adult onset, + neurological manifestation"
771401000006115,"Insulin dependent diabetes mellitus with polyneuropathy"
913501000006115,"Insulin-dependent diabetes mellitus with neurological comps"
914081000006117,"Type II diabetes mellitus with neurological complications"
914231000006111,"Type II diabetes mellitus with mononeuropathy"
280541000006112,"Non-insulin dependent diabetes mellitus with polyneuropathy"
914241000006118,"Type 2 diabetes mellitus with polyneuropathy"
616391000006114,"Diabetes mellitus with neurological manifestation"
84971000006111,"Type II diabetes mellitus with polyneuropathy"
913811000006115,"Type 1 diabetes mellitus with polyneuropathy"
914071000006115,"Type 2 diabetes mellitus with neurological complications"
84901000006117,"Type II diabetes mellitus with mononeuropathy"
616451000006110,"Diabetes mellitus with polyneuropathy"
772131000006111,"Insulin dependent diab mell with neuropathic arthropathy"
616921000006113,"Diabetic amyotrophy"
771481000006112,"Insulin-dependent diabetes mellitus with neurological comps"
616671000006119,"Diabetes mellitus, juvenile, + neurological manifestation"
913781000006117,"Type 1 diabetes mellitus with mononeuropathy"
214921000006116,"Polyneuropathy in diabetes"
84931000006113,"Type II diabetes mellitus with neurological complications"
