Code,Description
2904011,"Candidiasis of vulva"
6880017,"Candidiasis of lung"
28246017,"Candidal otitis externa"
28247014,"Otomycosis in moniliasis"
75093015,"Candidal meningitis"
87611012,"Candidal balanitis"
105628012,"Candidal endocarditis"
120590012,"Candidal vulvovaginitis"
120591011,"Monilial vulvovaginitis"
121148017,"Candidiasis of vagina"
129525017,"Candidiasis"
129530018,"Moniliasis"
132305014,"Candidiasis of mouth"
132308011,"Oral candidiasis"
261555014,"Cervical smear - candida"
287025012,"HIV disease resulting in candidiasis"
287542013,"Candidiasis of mouth and oesophagus NOS"
287547019,"Other urogenital candidiasis"
287555014,"Other urogenital candida NOS"
287556010,"Candidiasis of skin and nails"
287564016,"Other skin candidiasis"
287565015,"Candidal paronychia"
287568018,"Candidiasis of skin and nails NOS"
287573012,"Other specified candidiasis"
287577013,"Candidal septicaemia"
287593016,"Candidiasis NOS"
288215013,"[X]Candidiasis of other sites"
288216014,"[X]Candidiasis, unspecified"
298967017,"Chronic otitis externa due to moniliasis"
299913017,"Endocarditis - monilial"
304198012,"Cystitis in moniliasis"
304276013,"Candidal urethritis"
304399010,"Prostatitis in moniliasis"
316455012,"Neonatal candidiasis of perineum"
316456013,"Neonatal candidiasis of other skin"
316457016,"Neonatal candidiasis of intestine"
316458014,"Neonatal candidiasis of lung"
316461010,"Other specified neonatal candida infection"
316462015,"Neonatal candida infection NOS"
322664014,"Neonatal candida septicaemia"
354329011,"Candida pyelonephritis"
360534017,"Pharyngeal candidiasis"
360541011,"Anogenital candidosis"
360545019,"Anogenital candidiasis"
360556019,"Candidal nappy rash"
360557011,"Monilial nappy rash"
360573017,"Monilial granuloma"
395433018,"Thrush of mouth and oesophagus"
395434012,"Monilia of mouth and oesophagus"
395435013,"Candidiasis of mouth and oesophagus"
395436014,"Candidal vulvovaginitis NOS"
395438010,"Perianal candidiasis"
395444014,"Candidal intertrigo"
395445010,"Other specified candidiasis NOS"
416549016,"Submammary monilia"
503749013,"Thrush"
504198015,"Oral thrush"
504199011,"Oral moniliasis"
1216106016,"Candidiasis of oesophagus"
1233568012,"Vaginal thrush"
2536906018,"Neonatal candida infection"
2901596018,"Sepsis due to Candida"
3566664011,"Neonatal oral candidiasis"
3566665012,"Neonatal oral thrush"
3060221000006117,"Rectal candidiasis"
5150991000006115,"Candida infection of genital region"
2874791000006119,"Candidosis of nail"
5151011000006116,"Anogenital thrush"
5074771000006117,"Chronic hyperplastic candidiasis"
11873901000006112,"Candida prostatitis"
3796821000006119,"Candida of mouth"
5151381000006114,"Chronic localized mucocutaneous candidiasis"
237911000006111,"Penile candidiasis (thrush)"
5074691000006111,"Acute oral atrophic candidiasis"
879551000006119,"Perianal candida"
5614241000006118,"Perleche with candidiasis"
680851000006113,"Neonatal candidiasis of mouth"
3358031000006119,"Anal candidosis"
2968601000006113,"Mucocutaneous candidiasis"
2554661000006117,"Candidosis of lung"
3796811000006110,"Moniliasis of mouth"
698401000006114,"Moniliasis rectum"
15129491000006116,"Candida albicans antibody in serum qualitative result"
4177251000006110,"Hyperplastic candidiasis"
6673291000006119,"Neonatal systemic candidosis"
3060201000006110,"Candidal proctitis"
5491801000006115,"Candidiasis of mouth and esophagus"
788321000033119,"*Candida Albicans"
5151031000006110,"Genital candidiasis"
5103161000006114,"Candidiasis of cervix"
2554651000006119,"Pulmonary candidosis"
5151371000006111,"Chronic localized mucocutaneous candidosis"
5151111000006117,"Perineal candidiasis"
879561000006117,"Other candidiasis"
5151201000006113,"Diaper candidiasis"
3647701000006118,"Disseminated candidiasis"
5074661000006115,"Acute oral pseudomembraneous candidiasis"
5151191000006110,"Napkin candidosis"
5074731000006115,"Oral erythematous candidiasis"
5151041000006117,"Anogenital candida infection"
5187151000006119,"Candida albicans var albicans"
7975231000006119,"Candidiasis of tongue"
5150961000006111,"Pharyngeal thrush"
5074801000006115,"CHC - Chronic hyperplastic candidosis"
3275461000006118,"Candida candida"
3353521000006116,"Candida balanitis"
7535391000006119,"Gingivitis due to Candida"
5151131000006111,"Perineal candidosis"
1080861000006119,"Adverse reaction to *Candida Albicans"
220051000006110,"Pneumonia with candidiasis"
797011000006112,"Fungal (candidal) paronychia"
5151331000006113,"Chronic localised mucocutaneous candidiasis"
5074791000006116,"Chronic hyperplastic candidosis"
3686491000006112,"Vaginal candidosis"
223021000000115,"Intestinal candidiasis"
2554641000006116,"Pulmonary candidiasis"
909431000006111,"[RFC] Thrush"
5491871000006114,"Candida infection of flexural skin"
6673281000006117,"Neonatal systemic candidiasis"
11812501000006116,"Candida cystitis"
3680711000006111,"Vulvovaginal thrush"
2828361000006117,"Oesophageal thrush"
679921000006113,"Neonatal thrush"
533491000006110,"Candidiasis cervix"
5151181000006112,"Diaper candidosis"
5151051000006115,"Genital candidosis"
3769651000006118,"Candida infection"
906871000006116,"[RFC] Oral thrush"
5491781000006119,"Monilia of mouth and esophagus"
2550891000006116,"Candida"
681481000006113,"Nappy rash - candidal"
3686511000006118,"Monilial infection of vagina"
267091000006113,"Oesophageal moniliasis"
679801000006114,"Neonatal monilia"
982501000006110,"Oral thrush"
3647731000006114,"Disseminated candida"
5151081000006111,"Monilial infection of penis"
6673151000006117,"Chronic pseudomembranous oral candidiasis"
11873891000006113,"Prostatitis caused by Candida"
6865441000006112,"Neonatal candidosis"
5096431000006114,"Candida ureteritis"
3769641000006115,"Monilia infection"
5491791000006116,"Thrush of mouth and esophagus"
679811000006112,"Neonatal monilial septicaemia"
769841000006112,"Intestinal moniliasis"
5066491000006111,"Chronic mucocutaneous candidiasis"
533411000006117,"Candidal onychia (of nails)"
3686501000006116,"Vaginal candida"
5491851000006116,"Perianal candidosis"
7063911000006115,"Candidiasis of nipple"
