Code,Description
87704019,"Chronic fatigue syndrome"
496410014,"ME - Myalgic encephalomyelitis"
496413011,"Myalgic encephalomyelitis"
496414017,"CFS - Chronic fatigue syndrome"
1791631000006116,"CFS"
742301000000113,"Severe chronic fatigue syndrome"
3354511000006114,"Myalgic encephalitis"
3354521000006118,"Myalgic encephalopathy"
854791000006116,"Myalgic encephalomyelitis"
3354471000006116,"Myalgic encephalomyelitis syndrome"
915641000006116,"[RFC] Myalgic encephalomyelitis (ME)"
3354461000006111,"Benign myalgic encephalomyelitis"
742321000000116,"Moderate chronic fatigue syndrome"
684221000006112,"Myalgic encephalomyelitis"
742341000000111,"Mild chronic fatigue syndrome"
