Code,Description
1408018,"Congenital syphilitic hepatomegaly"
1767014,"Congenital hepatomegaly"
3268012,"Congenital absence of bile duct"
3631015,"Congenital stricture of bile duct"
4044018,"Biliary cirrhosis"
11267010,"Indian childhood cirrhosis"
12996018,"Glucose-6-phosphatase deficiency"
21289010,"Secondary biliary cirrhosis"
30458014,"Transplantation of liver"
49567015,"Glycogen storage disease"
50437010,"Obstruction of bile duct"
50516016,"alpha-1-Antitrypsin deficiency"
52980015,"Primary biliary cirrhosis"
57989014,"Portal hypertension"
61321014,"Hepatosplenomegaly"
85041011,"Congenital obstruction of bile duct"
85441018,"Hepatorenal syndrome"
99549014,"Hepatic failure"
103853010,"Hepatic fibrosis"
113108015,"Congenital hypoplasia of bile duct"
120980011,"Hepatic coma"
123999018,"Congestive cirrhosis"
126721013,"Florid cirrhosis"
128627011,"Biliary atresia"
132070012,"Congenital hepatic fibrosis"
142629014,"Syphilis of liver"
146760018,"Wilson's disease"
152597015,"Benign neoplasm of intrahepatic bile ducts"
153200017,"Carcinoma in situ of intrahepatic bile ducts"
270232016,"Replacement of previous liver transplant"
270233014,"Other specified transplantation of liver"
270234015,"Transplantation of liver NOS"
270530011,"Endoscopic retrograde extraction of calculus from bile duct"
286329015,"Tuberculosis of liver"
293575019,"Other specified congenital hyperbilirubinaemia"
293576018,"Congenital hyperbilirubinaemia NOS"
303393017,"Cirrhosis and chronic liver disease"
303414013,"Unilobular portal cirrhosis"
303419015,"Diffuse nodular cirrhosis"
303420014,"Fatty portal cirrhosis"
303425016,"Capsular portal cirrhosis"
303433015,"Pigmentary portal cirrhosis"
303435010,"Toxic portal cirrhosis"
303437019,"Bacterial portal cirrhosis"
303439016,"Syphilitic portal cirrhosis"
303440019,"Zooparasitic portal cirrhosis"
303441015,"Infectious cirrhosis NOS"
303442010,"Portal cirrhosis unspecified"
303452014,"Biliary cirrhosis of children"
303453016,"Biliary cirrhosis NOS"
303456012,"Other non-alcoholic chronic liver disease"
303458013,"Portal fibrosis without cirrhosis"
303463012,"Steatosis of liver"
303464018,"Other non-alcoholic chronic liver disease NOS"
303465017,"Chronic liver disease NOS"
303466016,"Liver abscess and sequelae of chronic liver disease"
303489012,"Liver abscess and chronic liver disease causing sequelae NOS"
303510019,"Toxic liver disease"
303511015,"Toxic liver disease with cholestasis"
303512010,"Toxic liver disease with hepatic necrosis"
303518014,"Toxic liver disease with fibrosis and cirrhosis of liver"
303524015,"Hepatic granulomas in berylliosis"
303525019,"Hepatic granulomas in sarcoidosis"
303553019,"Bile duct calculus with acute cholecystitis"
303557018,"Bile duct calculus with other cholecystitis"
303568018,"Calculus of bile duct with cholangitis"
303614019,"Primary sclerosing cholangitis"
303616017,"Secondary sclerosing cholangitis"
303617014,"Sclerosing cholangitis unspecified"
303621019,"Obstruction of bile duct NOS"
303780012,"[X]Toxic liver disease with other disorders of liver"
303781011,"[X]Other and unspecified cirrhosis of liver"
303786018,"[X]Toxic liver disease, unspecified"
314032018,"Congenital absence of hepatic ducts"
314034017,"Atresia of hepatic ducts"
314035016,"Biliary atresia NOS"
314041011,"Congenital absence of liver and gallbladder"
314051012,"Congenital dilation of bile duct"
314052017,"Congenital diverticulum of bile duct"
315729018,"[X]Other congenital malformations of bile ducts"
317588011,"[D]Hepatomegaly"
317590012,"[D]Hepatomegaly NOS"
324976011,"Liver transplant failure and rejection"
325079010,"Liver failure as a complication of care"
325080013,"Hepatic failure as a complication of care"
325081012,"Hepatorenal syndrome as a complication of care"
352929018,"Exploration of liver transplant"
353596018,"Liver failure NOS"
353597010,"Hepatic failure NOS"
353613017,"Cirrhosis of liver NOS"
353621011,"Laennec's cirrhosis, non-alcoholic"
353625019,"Hepatic sclerosis"
353627010,"Hepatic fibrosis with hepatic sclerosis"
377070012,"Joubert syndrome"
394251013,"Roux-en-Y procedure for biliary atresia"
394253011,"Open removal of calculus from bile duct NEC"
396390012,"Multilobular portal cirrhosis"
396391011,"Cardiac portal cirrhosis"
396392016,"Juvenile portal cirrhosis"
396393014,"Non-alcoholic cirrhosis NOS"
396394015,"Other sequelae of chronic liver disease"
396401019,"Bile duct calculus without mention of cholecystitis"
400843010,"Other congenital anomaly of hepatic or bile ducts"
411259015,"O/E - hepatomegaly"
419017014,"Congenital stricture of common bile duct"
456802011,"Bile duct calculus NOS"
460651015,"[V]Liver transplanted"
461319017,"[V]Assessment for liver transplant"
477604016,"Mixed portal cirrhosis"
486468012,"Congenital absence of liver,total"
493707012,"Hypertrophic portal cirrhosis"
499268014,"Glucose-6-phosphate dehydrogenase deficiency anaemia"
500791011,"Phlebitis of portal vein"
500792016,"Portal pyaemia"
502288018,"Congenital hepatic cyst"
502291018,"Fibrocystic liver disease"
504762019,"Chronic yellow liver atrophy"
1220989019,"Congenital absence of liver lobe"
1235598015,"Extracorporeal lithotripsy of calculus in bile duct"
1786709019,"Pigmentary cirrhosis of liver"
2576980018,"Portal cirrhosis"
2579818016,"Laennec's cirrhosis"
2674058015,"Percutaneous transhepatic removal of calculus from bile duct"
2675247013,"Liver disease due to cystic fibrosis"
2675445019,"Endoscopic retrograde lithotripsy of calculus of bile duct"
2676200013,"Orthotopic transplantation of whole liver"
3527364013,"Transplanted liver present"
3532180010,"Liver transplant recipient"
255041000006117,"Open insert tubal prosthes in one hepatic+common bile ducts"
3345721000006111,"Mixed hepatocellular and bile duct carcinoma"
731231000006114,"Macronodular cirrhosis of liver"
851221000006110,"Alpha-2-antitrypsin deficiency"
6617781000006110,"Bronzed cirrhosis"
356581000000111,"Excision of extrahepatic bile ducts HFQ"
4787861000006113,"PSC - Primary sclerosing cholangitis"
3998511000006119,"Benign tumour of intrahepatic bile duct"
4787261000006114,"Zooparasitic portal cirrhosis"
1786201000006119,"Fatty change of liver"
4661791000006112,"Piggy-back liver transplant"
511661000006111,"Bile duct calculus + other cholecystitis - obstruction NOS"
555881000006114,"Chronic passive liver congestion"
6012911000006113,"Gallbladder and bile duct calculi"
5964751000006111,"Common bile duct calculus"
5087231000006113,"Congenital disorder of gallbladder and biliary tract"
511671000006116,"Bile duct calculus + other cholecystitis and no obstruction"
3998501000006117,"Benign neoplasm of intrahepatic bile duct"
5086841000006119,"Chronic hepatic failure"
5964771000006118,"Calculus of common bile duct"
8461891000006117,"Acute cholangitis due to bile duct calculus"
511731000006111,"Bile duct calculus without cholecystitis with obstruction"
2816671000006112,"Hepatic cirrhosis"
5538541000006110,"Entire transplanted liver"
3974111000006114,"ESWL - Extracorporeal shock wave lithotripsy of bile duct calculus"
820371000006114,"Hepatic familial steatosis"
11903661000006119,"Steatosis"
1736361000000112,"Cystic fibrosis related cirrhosis"
990461000006112,"Calculus of bile duct"
3807281000006119,"Neonatal hepatosplenomegaly"
500401000006116,"Auxillary liver transplant"
3408271000006112,"Glycogen storage disease type 5"
5493041000006114,"Cirrhosis, nonalcoholic"
221141000000110,"Bile duct calculus"
2615631000006111,"Glycogen storage disease, type 1"
2526441000006114,"Cholangitic cirrhosis"
12456711000006114,"[V]Assessment for liver transplant"
2677901000006113,"Glycogen storage disease, type IV"
5087201000006117,"Liver transplant disorder"
511721000006113,"Bile duct calculus without cholecystitis NOS"
5334681000006114,"Intrahepatic biliary atresia"
5571831000006111,"On examination - hepatomegaly"
5567091000006115,"Glycogen storage disease due to acid maltase deficiency"
4046341000006112,"Neoplasm of uncertain behavior of intrahepatic bile ducts"
5064251000006110,"Glucose phosphate isomerase deficiency"
4353641000006110,"Toxic cirrhosis"
511651000006114,"Bile duct calculus + acute cholecystitis and obstruction"
768541000006118,"Intrahepatic atresia of bile duct"
3847461000006115,"EHBA - Extrahepatic biliary atresia"
3713571000006114,"Congestive cirrhosis"
125801000006114,"Steatosis"
511681000006118,"Bile duct calculus + other cholecystitis and obstruction"
255031000006110,"Open insert tubal prosthes in both hepatic+common bile ducts"
4661761000006116,"Orthotopic transplantation of liver"
2677921000006115,"Brancher deficiency glycogen storage disease"
3514421000006113,"Glucose-6-phosphate dehydrogenase deficiency"
2976631000006113,"GSD - Glycogen storage disease"
906001000006117,"[RFC] Liver failure"
5517761000006110,"Visceral steatosis"
538121000000117,"Other specified compensation for liver failure"
5524681000006114,"Cirrhosis secondary to cholestasis"
12458801000006116,"[V]Liver transplanted"
254151000006117,"Open removal of calculus and drainage of bile duct"
2598561000006116,"Cirrhosis-familial with pulmonary hypertension"
821171000006117,"Hepatorenal glycogenosis"
3686311000006112,"Cystic disease of liver"
5493051000006111,"Cirrhosis of liver not due to alcohol"
739931000006118,"Liver transplant with complication, without blame"
803961000006119,"Glycogenosis with hepatic cirrhosis"
1928461000006119,"Glucose-6-phosphate dehydrogenase test abnormal"
1753501000000111,"Liver transplant planned"
2678011000006114,"Glycogen storage disease, type 4"
3840171000006117,"Budd Chiari syndrome"
5086931000006119,"Recurrent intrahepatic cholestasis of pregnancy"
3998481000006110,"Benign neoplasm of intrahepatic bile ducts"
3461281000006117,"Copper transport disease"
3206901000006111,"Multilobar cirrhosis"
3760671000006116,"Congenital biliary atresia"
1854791000006116,"Cystic fibrosis with liver manifestations"
2677981000006116,"Glycogen storage disease type IV"
161771000006119,"Sawaguchi roux-en-y procedure for biliary atresia"
4194241000006110,"Congenital dilatation of lobar intrahepatic bile duct"
886531000006111,"Calculus of bile duct"
3998491000006113,"Benign tumor of intrahepatic bile duct"
3010811000006111,"Primary biliary cholangitis"
4661751000006118,"Orthotopic liver transplant"
511611000006113,"Bile duct atresia"
851341000006110,"Fatty liver"
864281000006116,"Liver transplant"
511741000006118,"Bile duct calculus without cholecystitis, no obstruction"
550431000006116,"Childhood function cirrhosis"
4046331000006119,"Neoplasm of uncertain behaviour of intrahepatic bile ducts"
3011301000006112,"Arteriohepatic dysplasia"
