Code,Description
153102018,"Carcinoma in situ of ascending colon"
153133016,"Carcinoma in situ of colon"
153141016,"Carcinoma in situ of descending colon"
153187010,"Carcinoma in situ of hepatic flexure of colon"
153299011,"Carcinoma in situ of rectosigmoid junction"
153300015,"Carcinoma in situ of rectum"
153313014,"Carcinoma in situ of sigmoid colon"
153388012,"Carcinoma in situ of transverse colon"
155076015,"Malignant neoplasm of anal canal"
155488014,"Malignant neoplasm of rectum"
155967013,"Secondary malignant neoplasm of colon"
156627017,"Secondary malignant neoplasm of rectum"
174518012,"Malignant neoplasm of cloacogenic zone"
288546013,"Malignant neoplasm of pharyngeal recess"
288670017,"Malignant neoplasm, overlapping lesion of colon"
288671018,"Malignant neoplasm of other specified sites of colon"
288675010,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
288685011,"Malignant neoplasm of anus unspecified"
288751017,"Malignant neoplasm of mesorectum"
290749015,"Carcinoma in situ of splenic flexure of colon"
290750015,"Carcinoma in situ of colon NOS"
290751016,"Carcinoma in situ of rectum and rectosigmoid junction"
290752011,"Carcinoma in situ of rectum or rectosigmoid junction NOS"
291402014,"[M]Adenomatous or adenocarcinomatous polyps of the colon NOS"
379088010,"Carcinoma of rectum"
379089019,"Rectal carcinoma"
380129018,"Carcinoma of caecum"
380137014,"Anal carcinoma"
403682011,"Malignant neoplasm of colon NOS"
403752014,"[M]Adenomatous and adenocarcinomatous polyps of colon"
452243016,"Dysplasia of colon"
459527013,"Hereditary nonpolyposis colon cancer"
511501015,"Neoplasm of uncertain behaviour of colon"
511792018,"Neoplasm of uncertain behaviour of rectum"
1216464010,"Malignant neoplasm of caecum"
1227552010,"[V]Personal history of malignant neoplasm of intestine"
1227554011,"[V]Personal history of malignant neoplasm of rectum"
1227557016,"[V]Personal history of malignant neoplasm of large intestine"
1228537017,"Ca hepatic flexure - colon"
1228538010,"Ca transverse colon"
1228539019,"Ca descending colon"
1228540017,"Ca sigmoid colon"
1228541018,"Ca ascending colon"
1228542013,"Ca splenic flexure - colon"
1228543015,"Ca rectosigmoid junction"
5346461000006110,"Adenocarcinoma of rectum"
727321000006111,"Malignant neoplasm of ascending colon"
4049271000006115,"Neoplasm of uncertain behavior of rectum"
6245151000006115,"Malignant tumor of sigmoid colon"
344771000006118,"[V]Personal history of malig neop of gastrointestinal tract"
12762151000006112,"Malignant tumor of rectum"
6245161000006118,"Sigmoid colon cancer"
151321000006111,"Secondary malignant neoplasm of large intestine and rectum"
6242981000006116,"Malignant tumour of rectum"
1728161000006116,"Hereditary nonpolyposis colon cancer"
6244991000006113,"Malignant tumor of colon"
726331000006111,"Malignant neoplasm of colon"
517421000000115,"Bowel cancer detected by national screening programme"
4540961000006111,"History of upper gastrointestinal tract neoplasm"
6247891000006112,"Malignant neoplasm of intestine"
680091000006111,"Neop of uncertain behaviour stomach, intestine or rectum NOS"
4027671000006114,"Primary malignant neoplasm of rectum"
907341000006116,"[RFC] Breast cancer"
6245211000006110,"Ascending colon cancer"
12204961000006112,"Metastatic colorectal cancer"
6247931000006115,"CA - Cancer of bowel"
6869621000006116,"Personal history of primary malignant neoplasm of gastrointestinal tract"
725191000006116,"Malignant neoplasm of hepatic flexure of colon"
12725431000006113,"Malignant neoplasm of rectum, rectosigmoid junction and anus NOS"
6869611000006112,"H/O: malignant neoplasm of gastrointestinal tract"
11923481000006115,"Carcinoma of rectum"
151101000006116,"Secondary malig neop of large intestine or rectum NOS"
12762201000006115,"Malignant tumor of descending colon"
4032021000006118,"Metastatic malignant neoplasm to colon"
722441000006110,"Malignant neoplasm of rectosigmoid junction"
11904531000006110,"Rectal carcinoma"
2902551000006114,"Carcinoma - intestinal type"
4034561000006110,"Secondary malignant neoplasm of large intestine"
725951000006112,"Malignant neoplasm of descending colon"
304661000006114,"[M]Adenocarcinoma, intestinal type"
4045751000006116,"Neoplasm of uncertain behaviour of gastrointestinal tract"
344761000006113,"[V]Personal history of malig neop of gastrointestinal tract"
679351000006115,"Neop of uncertain behaviour stomach, intestines and rectum"
879911000006113,"Ca anus"
727281000006117,"Malignant neoplasm of appendix"
933251000006113,"Adenocarcinoma of rectum"
6247871000006111,"Malignant tumor of intestine"
729581000006111,"Malig neop other site rectum, rectosigmoid junction and anus"
907001000006115,"[RFC] Cancer of the rectum"
6053491000006111,"HNPCC - hereditary nonpolyposis colorectal cancer"
6245271000006118,"Malignant tumor of rectosigmoid junction"
2902541000006112,"Carcinoma, intestinal type"
721821000006114,"Malignant neoplasm of splenic flexure of colon"
13031521000006119,"Malignant tumor of descending colon"
879891000006111,"Ca rectum + Ca anus"
4045761000006119,"Neoplasm of uncertain behavior of gastrointestinal tract"
6245111000006116,"Malignant tumour of descending colon"
2902531000006119,"Adenocarcinoma, intestinal type"
2809061000006119,"Teratoma, malignant, no International Classification of Diseases for Oncology subtype"
6245281000006115,"Rectosigmoid colon cancer"
4033321000006112,"Metastatic malignant neoplasm to gastrointestinal tract"
6245251000006111,"Splenic flexure colon cancer"
6245101000006119,"Transverse colon cancer"
6245061000006117,"Hepatic flexure colon cancer"
6053471000006110,"HNPCC - hereditary nonpolyposis colon cancer"
879921000006117,"Ca rectum + Ca anus NOS"
1626141000006111,"Dysplasia of colon"
4038311000006113,"Metastatic malignant neoplasm to rectum"
4044631000006115,"Neoplasm of uncertain behavior of colon"
6245131000006110,"Descending colon cancer"
841331000006115,"Cancer of bowel"
4034571000006115,"Metastatic malignant neoplasm to large intestine"
720501000006110,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"
573611000006118,"Colonic cancer"
1626111000006112,"Bowel cancer screening declined"
721421000006112,"Malignant neoplasm of transverse colon"
11906061000006115,"[M]Adenomatous and adenocarcinomatous polyps of colon"
721991000006115,"Malignant neoplasm of sigmoid colon"
4388771000006110,"Neoplasm of large intestine"
907331000006114,"[RFC] Bowel cancer"
6245081000006110,"Malignant tumor of transverse colon"
4007101000006117,"Carcinoma in situ of intestine"
4540981000006118,"History of lower gastrointestinal tract neoplasm"
13031481000006119,"Malignant tumor of rectum"
6245201000006112,"Malignant tumor of ascending colon"
