Code,Description
56765016,"Crohn's disease"
302322010,"Orofacial Crohn's disease"
302939018,"Crohn's disease of the ileum unspecified"
302940016,"Crohn's disease of the ileum NOS"
302941017,"Crohn's disease of the small bowel NOS"
303761010,"[X]Other Crohn's disease"
309744019,"Arthropathy in Crohn's disease"
309833017,"Juvenile arthritis in Crohn's disease"
396357012,"Crohn's disease of the large bowel NOS"
1222351011,"Crohn's disease NOS"
2532950019,"Exacerbation of Crohn's disease of large intestine"
2532958014,"Exacerbation of Crohn's disease of small intestine"
4784111000006112,"Oral Crohn's disease"
6853111000006114,"Exacerbation of Crohn disease of large intestine"
179501000006113,"Regional enteritis - Crohn's disease"
601031000006119,"Crohn's colitis"
3047421000006110,"Crohns disease"
6853131000006115,"Exacerbation of Crohn disease of small intestine"
4808981000006112,"Arthropathy in Crohn disease"
4784091000006115,"Crohn's disease of oral soft tissues"
886291000006112,"Regional enteritis - Crohn"
3420881000006117,"Crohn disease of small intestine"
3414711000006118,"Crohn disease of duodenum"
2621151000006116,"Crohn disease of large bowel"
3414681000006119,"Crohn's disease of duodenum"
3420891000006119,"Crohns disease, small intestine"
3316811000006110,"Crohns disease, colon"
3113541000006111,"Crohn's ileitis"
601091000006115,"Crohn's disease of the terminal ileum"
4809351000006111,"Juvenile arthritis in Crohn disease"
2559781000006115,"Crohn's disease of rectum"
2559821000006114,"Crohn disease of rectum"
3047391000006119,"CD - Crohn's disease"
906051000006118,"[RFC] Crohns disease"
3316751000006117,"Crohn's disease of colon"
3047411000006119,"Crohn disease"
2559801000006116,"Crohn's proctitis"
3113551000006113,"Crohn disease of ileum"
3414701000006116,"Crohn's duodenitis"
4785581000006112,"Crohn disease of terminal ileum"
2621161000006119,"Crohns disease, large intestine"
3316801000006112,"Crohn disease of colon"
