Code,Description
138421012,"Agitated depression"
251629019,"H/O: depression"
294642013,"Presenile dementia with depression"
294644014,"Senile dementia with depressive or paranoid features"
294646011,"Senile dementia with depression"
294647019,"Senile dementia with depressive or paranoid features NOS"
294655014,"Arteriosclerotic dementia with depression"
294690018,"Drug-induced depressive state"
294824018,"Single major depressive episode, unspecified"
294825017,"Single major depressive episode, mild"
294826016,"Single major depressive episode, moderate"
294828015,"Single major depressive episode, severe, with psychosis"
294832014,"Single major depressive episode NOS"
294836012,"Recurrent major depressive episodes, unspecified"
294837015,"Recurrent major depressive episodes, mild"
294838013,"Recurrent major depressive episodes, moderate"
294840015,"Recurrent major depressive episodes, severe, with psychosis"
294844012,"Recurrent depression"
294845013,"Recurrent major depressive episode NOS"
294894013,"Atypical depressive disorder"
294917018,"Reactive depressive psychosis"
294918011,"Psychotic reactive depression"
295494011,"Brief depressive reaction NOS"
295535012,"Depressive disorder NEC"
295536013,"Postviral depression"
295537016,"Chronic depression"
296137015,"[X]Mild depressive episode"
296138013,"[X]Moderate depressive episode"
296180012,"[X]Recurrent depressive disorder, current episode mild"
296181011,"[X]Recurrent depressive disorder, current episode moderate"
296199015,"[X]Other recurrent depressive disorders"
346972018,"Endogenous depression first episode"
346973011,"Masked depression"
369982012,"Seasonal affective disorder"
401766011,"Single major depressive episode"
401866015,"[X]Severe depressive episode without psychotic symptoms"
401869010,"[X]Severe depressive episode with psychotic symptoms"
401871010,"[X]Other depressive episodes"
401872015,"[X]Depressive episode, unspecified"
401873013,"[X]Recurrent depressive disorder"
401876017,"[X]Recurrent depressive disorder, unspecified"
410861011,"Endogenous depression - recurrent"
441826016,"Endogenous depression"
1222477019,"[D]Postoperative depression"
1231868010,"Puerperal depression"
1488771018,"Postnatal depression counselling"
1773563015,"Depression management programme"
2474715017,"On depression register"
2533375017,"Patient given advice about management of depression"
2534091015,"Depression interim review"
2534092010,"Depression medication review"
2534096013,"Depression annual review"
423611000006111,"[X]Prolonged single episode of reactive depression"
1975191000006114,"Post-schizophrenic depression, continuous"
424531000006118,"[X]Recurr depress disorder cur epi severe without psyc sympt"
939961000006116,"Postnatal depression discussed"
1976271000006113,"Recurrent depressive disorder, current episode moderate, with somatic syndrome"
6000691000006114,"Mild depression"
12451461000006112,"Single major depressive episode, moderate"
426981000006116,"[X]Single episode of reactive depressive psychosis"
3700911000006115,"Psychotic depression"
432511000006119,"[X]Vital depression, recurrent without psychotic symptoms"
424541000006111,"[X]Recurr severe episodes/major depression+psychotic symptom"
376711000006118,"[X]Depressive disorder NOS"
426991000006118,"[X]Single episode vital depression w'out psychotic symptoms"
1976251000006115,"Recurrent depressive disorder, current episode moderate, without somatic syndrome"
366561000006119,"[X]Atypical depression"
12491591000006113,"Depression care management"
424631000006119,"[X]Recurrent episodes of depressive reaction"
12626331000006116,"QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation"
426891000006114,"[X]Single episode agitated depressn w'out psychotic symptoms"
8464961000006115,"Recurrent reactive depressive episodes, severe, with psychosis"
642461000006116,"Endogenous depression first episode"
675861000006113,"Neurotic depression reactive type"
1972451000006118,"Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive"
908731000006114,"[RFC] Postnatal depression"
425561000006114,"[X]Schizoaffective psychosis, depressive type"
408561000000116,"Depression monitoring third letter"
424561000006110,"[X]Recurrent brief depressive episodes"
376721000006114,"[X]Depressive episode"
226581000000119,"Depression - enhanced service completed"
4763361000006113,"Drug-induced depression"
1975321000006114,"Post-schizophrenic depression, course uncertain, period of observation too short"
408601000000116,"Depression monitoring telephone invite"
223651000000118,"Postnatal depression"
426971000006119,"[X]Single episode of reactive depression"
398561000006117,"[X]Mixed anxiety and depressive disorder"
5024071000006118,"Anxiety depression"
1972311000006112,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive"
882811000006119,"Mild depression"
3094951000006111,"Major depressive disorder, single episode"
2620391000000111,"Maternal postnatal depression"
3087971000006112,"Severe recurrent major depression without psychotic features"
1972911000006111,"Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive"
1975991000006112,"Mild depressive episode, with somatic syndrome"
11921301000006119,"[X]Severe depressive episode without psychotic symptoms"
426951000006112,"[X]Single episode of psychogenic depressive psychosis"
423041000006119,"[X]Post-schizophrenic depression"
474171000006112,"Agitated depression"
1972771000006116,"Subcortical vascular dementia, other symptoms, predominantly depressive"
613791000006115,"Depressive psychoses"
226411000000110,"Depression - enhanced services administration"
202561000006114,"Prolonged depressive reaction"
408581000000113,"Depression monitoring verbal invite"
1976921000006116,"Post-schizophrenic depression, other"
426961000006114,"[X]Single episode of psychotic depression"
1976021000006115,"Moderate depressive episode, without somatic syndrome"
408521000000112,"Depression monitoring first letter"
376741000006119,"[X]Depressive neurosis"
1973381000006112,"Other vascular dementia, other symptoms, predominantly depressive"
4539951000006117,"History of depressive disorder"
6649631000006118,"Depression management program"
853871000006111,"Post natal depression"
11918561000006110,"[X]Moderate depressive episode"
398351000006110,"[X]Mild anxiety depression"
1823881000006110,"Depression confirmed"
3878611000006116,"Schizophreniform psychosis, depressive type"
379431000006113,"[X]Dysthymia"
359121000006116,"[X] Reactive depression NOS"
182771000006112,"Recurrent major depressive episodes, severe, no psychosis"
1771531000006110,"Antenatal depression"
424551000006113,"[X]Recurr severe episodes/psychogenic depressive psychosis"
3071791000006111,"Depressive illness"
1975261000006113,"Post-schizophrenic depression, episodic remittent"
300711000000119,"Referral for guided self-help for depression"
3094941000006114,"Major depression, single episode"
1976491000006113,"Mixed anxiety and depressive reaction"
294621000000118,"Depression resolved"
1976231000006110,"Recurrent depressive disorder, current episode mild, with somatic syndrome"
1972201000006118,"Dementia in Alzheimer's disease with late onset, other symptoms, predominantly depressive"
2659601000000116,"Signposting to depression self-help group"
8245201000006115,"Depression care management"
426911000006111,"[X]Single episode of depressive reaction"
379781000006118,"[X]Endogenous depression without psychotic symptoms"
882401000006115,"Reactive (neurotic) depression"
424681000006118,"[X]Recurrent severe episodes/reactive depressive psychosis"
7965131000006117,"Severe major depression, single episode"
182721000006111,"Recurrent major depressive episode"
1972661000006119,"Multi-infarct dementia, other symptoms, predominantly depressive"
1976051000006112,"Moderate depressive episode, with somatic syndrome"
6000711000006112,"Moderate depression"
426921000006115,"[X]Single episode of major depression and psychotic symptoms"
396081000006116,"[X]Major depression, recurrent without psychotic symptoms"
882681000006110,"Depression NOS"
398841000006119,"[X]Monopolar depression NOS"
1976211000006116,"Recurrent depressive disorder, current episode mild, without somatic syndrome"
379771000006116,"[X]Endogenous depression with psychotic symptoms"
1715771000006112,"[X]Major depression, mild"
424671000006116,"[X]Recurrent severe episodes of psychotic depression"
2957311000006113,"Severe recurrent major depression with psychotic features"
6000721000006116,"Severe depression"
1973551000006112,"Vascular dementia, unspecified, other symptoms, predominantly depressive"
1975211000006110,"Post-schizophrenic depression, episodic with progressive deficit"
882671000006112,"Depression"
1715191000006112,"[X]Major depression, severe with psychotic symptoms"
213641000000111,"[X]Mild depression"
1972111000006114,"Organic depressive disorder"
525921000006119,"Brief depressive reaction"
1715781000006110,"[X]Major depression, severe without psychotic symptoms"
1972071000006118,"Unspecified dementia, other symptoms, predominantly depressive"
425691000006119,"[X]Schizophreniform psychosis, depressive type"
882821000006110,"Moderate depression"
3153071000006116,"Recurrent brief depressive disorder"
909681000006110,"[RFC] Depression"
426941000006110,"[X]Single episode of psychogenic depression"
424571000006115,"[X]Recurrent depress disorder cur epi severe with psyc symp"
2370061000000111,"Referral for depression self-help video"
