Code,Description
178798017,"Diabetic ketoacidosis without coma"
292478012,"Other specified diabetes mellitus with ketoacidosis"
292479016,"Diabetes mellitus NOS with ketoacidosis"
292489017,"Diabetes mellitus NOS with ketoacidotic coma"
292606016,"Malnutrition-related diabetes mellitus with ketoacidosis"
2622193012,"Diabetes mellitus with ketoacidosis"
6965571000006111,"Diabetes mellitus type 1 with ketoacidotic coma"
8244671000006110,"H/O diabetic ketoacidosis"
6951081000006112,"Ketoacidosis in type I diabetes mellitus"
6977421000006110,"Ketoacidosis in type II diabetes mellitus"
14083991000006116,"Ketoacidosis due to type 2 diabetes mellitus"
928511000006116,"Type I diabetes mellitus with ketoacidosis"
14083991000006115,"Ketoacidosis due to type 2 diabetes mellitus"
616651000006112,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
6979251000006110,"Diabetes mellitus type 2 with ketoacidotic coma"
616381000006111,"Diabetes mellitus with ketoacidotic coma"
928581000006111,"Type 2 diabetes mellitus with ketoacidosis"
6953871000006115,"Ketoacidosis in diabetes mellitus"
928531000006110,"Type I diabetes mellitus with ketoacidotic coma"
14083881000006113,"Ketoacidotic coma due to type 1 diabetes mellitus"
928591000006114,"Type II diabetes mellitus with ketoacidosis"
6965561000006116,"Ketoacidotic coma in type I diabetes mellitus"
616531000006116,"Diabetes mellitus, adult onset, with ketoacidosis"
6977431000006113,"Diabetes type 2 with ketoacidosis"
928521000006112,"Type 1 diabetes mellitus with ketoacidotic coma"
6951091000006110,"Diabetes type 1 with ketoacidosis"
928601000006118,"Type 2 diabetes mellitus with ketoacidotic coma"
2920961000006110,"Diabetic coma with ketoacidosis"
12704991000006114,"Ketoacidotic coma in type 2 diabetes mellitus"
14056961000006112,"Ketoacidotic coma due to diabetes mellitus"
616641000006110,"Diabetes mellitus, juvenile type, with ketoacidosis"
14083741000006114,"Ketoacidosis due to type 1 diabetes mellitus"
6953861000006110,"Diabetic ketoacidosis"
881461000006110,"Diabetes+ketoacidosis -no coma"
6953901000006115,"DKA - diabetic ketoacidosis"
928501000006119,"Type 1 diabetes mellitus with ketoacidosis"
928611000006115,"Type II diabetes mellitus with ketoacidotic coma"
857111000006115,"Number of admissions for ketoacidosis"
616541000006114,"Diabetes mellitus, adult onset, with ketoacidotic coma"
