Code,Description
30043012,"Mechanical complication of dialysis catheter"
118218017,"Peritoneal dialysis"
251956015,"H/O: kidney dialysis"
251957012,"H/O: renal dialysis"
261136015,"Peritoneal dialysis sample"
278832011,"Haemodialysis NEC"
278844014,"Insertion of temporary peritoneal dialysis catheter"
282526013,"Intestinal dialysis"
290737016,"Dependence on renal dialysis"
329081019,"Foreign object left in body during kidney dialysis"
329116017,"Failure of sterile precautions during kidney dialysis"
349998013,"Haemofiltration"
354591016,"Bloodstained peritoneal dialysis effluent"
357219012,"Continuous ambulatory peritoneal dialysis"
394640016,"Renal dialysis"
453312018,"[X] Peritoneal dialysis associated peritonitis"
460680012,"[V]Renal dialysis status"
460910019,"[V]Aftercare involving intermittent dialysis"
460911015,"[V]Aftercare involving extracorporeal dialysis"
460912010,"[V]Preparatory care for dialysis"
460913017,"[V]Other specified aftercare involving intermittent dialysis"
460914011,"[V]Unspecified aftercare involving intermittent dialysis"
461420012,"[X]Other dialysis"
507483018,"Dialysis disequilibrium"
507993019,"Acute hypercalcaemia of dialysis"
1227722017,"[V]Aftercare involving renal dialysis NOS"
1227723010,"[V]Aftercare involving peritoneal dialysis"
2474415018,"Dialysis fluid examination"
2474453011,"Peritoneal dialysis fluid cell count"
2478488018,"Dialysis fluid urea level"
2478490017,"Dialysis fluid creatinine level"
2478492013,"Dialysis fluid glucose level"
2478640010,"Dialysis fluid potassium level"
2478641014,"Dialysis fluid sodium level"
2645965011,"Stenosis of arteriovenous dialysis fistula"
2674486017,"Extracorporeal albumin haemodialysis"
2675886019,"Creation of graft fistula for dialysis"
2692168016,"Automated peritoneal dialysis"
2237901000000119,"Haemorrhage of dialysis vascular access"
7118431000006118,"Infection of arteriovenous graft for haemodialysis"
7367701000006114,"Infection of arteriovenous fistula for hemodialysis"
2253631000000110,"Stenosis of arterial side of dialysis arteriovenous shunt"
766101000006114,"Foreign object left in body during renal dialysis"
5120141000006114,"Flushing of chronic ambulatory peritoneal dialysis catheter"
5488801000006112,"Kidney dialysis"
7367691000006114,"Infection of haemodialysis arteriovenous fistula"
5592051000006113,"Peritonitis secondary to peritoneal dialysis"
2240951000000115,"Rupture of dialysis arteriovenous graft"
12456611000006118,"[V]Aftercare involving intermittent dialysis"
2210341000000113,"Stenosis of dialysis vascular access"
2240741000000115,"Infection of dialysis arteriovenous shunt"
5095591000006119,"First use syndrome of dialysis"
1927751000006113,"Disorder associated with dialysis"
2237981000000112,"Stenosis of dialysis arteriovenous graft"
637771000000113,"Ligation of arteriovenous dialysis fistula"
