Code,Description
11300012,"Juvenile myoclonic epilepsy"
12602012,"Petit mal status"
23819016,"Grand mal status"
23820010,"Status epilepticus"
46968015,"West syndrome"
46969011,"Infantile spasms"
46971011,"Salaam attacks"
46972016,"Lightning spasms"
73622018,"Benign Rolandic epilepsy"
148427014,"Gelastic epilepsy"
178739011,"Epilepsy"
251644018,"H/O: epilepsy"
264629018,"Epilepsy monitoring"
264634019,"Epilepsy associated problems"
264638016,"Epilepsy treatment changed"
264639012,"Epilepsy treatment started"
264640014,"Epilepsy treatment stopped"
264645016,"Epilepsy monitoring NOS"
297266016,"Epileptic seizures - atonic"
297267013,"Epileptic seizures - akinetic"
297281010,"Neonatal myoclonic epilepsy"
297282015,"Epileptic seizures - clonic"
297283013,"Epileptic seizures - myoclonic"
297284019,"Epileptic seizures - tonic"
297289012,"Other specified generalised convulsive epilepsy"
297290015,"Generalised convulsive epilepsy NOS"
297295013,"Partial epilepsy with impairment of consciousness"
297296014,"Temporal lobe epilepsy"
297300010,"Psychosensory epilepsy"
297302019,"Epileptic automatism"
297303012,"Partial epilepsy with impairment of consciousness NOS"
297311019,"Somatosensory epilepsy"
297312014,"Partial epilepsy with autonomic symptoms"
297313016,"Visceral reflex epilepsy"
297314010,"Visual reflex epilepsy"
297315011,"Unilateral epilepsy"
297320011,"Infantile spasms NOS"
297321010,"Kojevnikov's epilepsy"
297324019,"Other forms of epilepsy"
297325018,"Cursive (running) epilepsy"
297330019,"Other forms of epilepsy NOS"
299334015,"[X]Other generalized epilepsy and epileptic syndromes"
299336018,"[X]Other epilepsy"
299337010,"[X]Other status epilepticus"
299345017,"[X]Status epilepticus, unspecified"
345225017,"Focal epilepsy"
345275015,"Juvenile absence epilepsy"
345281011,"Lennox-Gastaut syndrome"
345302015,"Ohtahara syndrome"
345311015,"Severe myoclonic epilepsy in infancy"
345318014,"Drug-induced epilepsy"
345321011,"Menstrual epilepsy"
345323014,"Nocturnal epilepsy"
345345010,"Complex partial status epilepticus"
399395015,"Progressive myoclonic epilepsy"
399408014,"Epilepsy NOS"
450602015,"Motor epilepsy"
450603013,"Jacksonian, focal or motor epilepsy"
453344019,"Fit (in known epileptic) NOS"
459233015,"Epilepsy control good"
459234014,"Epilepsy control poor"
472410017,"Tonic-clonic epilepsy"
472411018,"Grand mal epilepsy"
477355017,"Psychomotor epilepsy"
478024019,"Alcohol-induced epilepsy"
495804010,"Pykno-epilepsy"
500033015,"Generalised convulsive epilepsy"
504161016,"Absence seizure"
512000013,"Photosensitive epilepsy"
1489345013,"Transient epileptic amnesia"
2159223018,"Emergency epilepsy treatment since last appointment"
2159227017,"Epilepsy confirmed"
2159274014,"Complex partial epileptic seizure"
2474650018,"Stress-induced epilepsy"
2478828012,"Traumatic epilepsy"
2550890017,"Generalised nonconvulsive epilepsy"
245361000006118,"Partial epilepsy without impairment of consciousness OS"
2950411000006116,"West's syndrome"
2502381000006118,"Kojewnikov's epilepsy"
4052941000006113,"Photic epilepsy"
3796901000006118,"Sensory-induced epilepsy"
395221000006119,"[X]Limbic epilepsy personality"
736371000006112,"Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset"
141991000000116,"Epilepsy prevents employment"
8191681000006117,"Petit-mal epilepsy"
5007071000006118,"Local epilepsy"
4052931000006115,"Television epilepsy"
4769611000006117,"TLE - Temporal lobe epilepsy"
3796911000006115,"Epilepsy associated with specific stimuli"
137801000000112,"Epilepsy limits activities"
2598891000006110,"Impulsive petit-mal epilepsy"
2502401000006118,"Kojevnikov epilepsy"
4769541000006119,"Benign myoclonic epilepsy in infancy"
6028641000006114,"Epileptic fit"
10791000006116,"Other specified generalised nonconvulsive epilepsy"
