Code,Description
272294012,"Revascularisation for impotence"
272299019,"Ligation of penile veins for impotence"
273365014,"Penile injection to produce erection"
304501018,"Impotence of organic origin"
371290017,"Cannot get an erection"
371298012,"Cannot sustain an erection"
1777409015,"Impotence"
1786154013,"Erectile dysfunction"
1809351000006118,"Problem getting an erection"
4790831000006116,"Organic erectile dysfunction"
4668871000006114,"Revascularization for impotence"
882471000006114,"Frigidity and impotence"
7486631000006115,"Complaining of impotence"
6592981000006116,"Failure of erection"
302271000000119,"Referral to erectile dysfunction clinic"
6592991000006118,"Sexual impotence"
396141000006114,"[X]Male erectile disorder"
369101000000114,"Treatment of erectile dysfunction NEC"
1768751000006113,"Erect dysf unresponsiv to phosphodiesterase-5 inhibitor"
5261781000006117,"Unable to achieve erection"
991801000006118,"Psychogenic impotence"
489201000000110,"Operations on penis for erectile dysfunction NEC"
424011000006115,"[X]Psychogenic impotence"
932201000006116,"Erectile dysfunction organic"
1119471000006114,"Adverse reaction to Vacuum pumps for erectile dysfunction"
7486621000006118,"Complaining of erectile dysfunction"
1736291000000114,"Referral to erectile dysfunction clinic declined"
850021000033113,"Vacuum pumps for erectile dysfunction"
1734321000000113,"C/O erectile dysfunction"
2243331000000115,"Erectile dysfunction due to diabetes mellitus"
