Code,Description
290524016,"Uterine leiomyoma NOS"
291651018,"[M]Leiomyoma NOS"
305716013,"Antepartum haemorrhage with uterine leiomyoma"
305717016,"Antepartum haemorrhage with fibroid"
305718014,"Antepartum haemorrhage with uterine fibroid"
305719018,"Antepartum haemorrhage with uterine leiomyoma unspecified"
305722016,"Antepartum haemorrhage with uterine leiomyoma - delivered"
305726018,"Antepartum haemorrhage with uterine leiomyoma NOS"
355075019,"Hysteroscopic myomectomy"
355076018,"Endoscopic myomectomy"
355077010,"Vaginal myomectomy"
355535015,"Uterine fibroid - baby delivered"
355536019,"Uterine fibroid affecting obstetric care"
355537011,"Uterine fibroids in pregnancy, childbirth and the puerperium"
393628014,"Open myomectomy"
397861017,"H/O: myomectomy/hysterotomy"
411570011,"H/O: myomectomy"
493183018,"Excision fibroid"
493184012,"Myomectomy"
510400013,"Intramural uterine leiomyoma"
512055011,"Uterine fibroids"
512056012,"Uterine leiomyoma - fibroids"
512057015,"Fibroids"
1235896013,"Submucous uterine leiomyoma"
1235899018,"Subserous uterine leiomyoma"
4794881000006110,"Antepartum hemorrhage with uterine leiomyoma - not delivered"
4794811000006115,"Antepartum hemorrhage with fibroid"
3218861000006119,"Fibroid uterus"
4054481000006115,"Leiomyoma of uterus"
5102971000006112,"True broad ligament fibroid"
7091631000006116,"Transcervical resection of leiomyoma"
71351000006110,"Uterine fibroid complicating a/n care, baby not delivered"
308611000006116,"[M]Fibromyoma"
543391000000111,"Transcervical resection of fibroid"
4053901000006119,"Submucous uterine fibroid"
4023841000006114,"Intramural leiomyoma of uterus"
308231000006113,"[M]Epithelioid leiomyoma"
3177081000006111,"Uterine myomectomy"
4054421000006119,"Uterine fibroid"
1714901000006116,"Perc embolisation of uterine fibroid using fluoroscopic guid"
682571000006117,"Myomectomy"
4794821000006111,"Antepartum hemorrhage with uterine fibroid"
3218931000006118,"Leiomyoma, no International Classification of Diseases for Oncology subtype"
310901000006111,"[M]Leiomyofibroma"
12704761000006116,"Hysteroscopic myomectomy"
906471000006118,"[RFC] Myomectomy"
5497491000006119,"History of - myomectomy/hysterotomy"
694711000006110,"Mural fibroids"
4053881000006116,"Submucous leiomyoma of uterus"
313431000006115,"[M]Myofibroma"
7171531000006116,"Embolisation of uterine fibroid using fluoroscopic guidance"
3177091000006114,"Uterine fibroidectomy"
5574941000006113,"History of myomectomy"
7277891000006114,"Fluoroscopy guided percutaneous embolisation of uterine fibroid"
71371000006117,"Uterine fibroid in pregnancy/childbirth/puerperium NOS"
3218911000006112,"Lipoleiomyoma"
4054461000006113,"Leiomyoma of body of uterus"
3218881000006112,"Fibroleiomyoma"
4794861000006117,"Antepartum hemorrhage with uterine leiomyoma - delivered"
1699581000006114,"Embolisation of uterine fibroid using fluoroscopic guidance"
5352381000006112,"Cervical fibroid"
4053921000006112,"Subserous uterine fibroid"
306521000006112,"[M]Cellular leiomyoma"
5352231000006115,"Uterine fibroid polyp"
71331000006115,"Uterine fibroid - baby delivered + postpartum complication"
4023851000006111,"Interstitial uterine fibroid"
7091641000006114,"Transcervical resection of leiomyoma of uterus"
308531000006111,"[M]Fibroid uterus"
3218851000006116,"Leiomyoma"
485941000006114,"Antepartum haemorrhage with uterine leiomyoma - not deliv"
3177101000006115,"Hysteromyomectomy"
71361000006112,"Uterine fibroid complicating p/n care - baby delivered prev"
5352391000006110,"Fibroid polyp of cervix"
3218921000006116,"Leiomyoma, no ICD-O subtype"
5497501000006110,"History of myomectomy or hysterotomy"
3978011000006119,"Cellular leiomyoma"
4794801000006118,"Antepartum hemorrhage with uterine leiomyoma"
4053911000006116,"Subserous leiomyoma of uterus"
7380461000006119,"Laparoscopic myomectomy"
7277881000006111,"Percutaneous embolization of fibroid of uterus using fluoroscopic guidance"
3218891000006110,"Uterine fibroids"
