Code,Description
40268016,"Glaucoma"
84105018,"Low tension glaucoma"
140102012,"Open-angle glaucoma"
298024011,"Borderline glaucoma"
298033013,"Borderline glaucoma NOS"
298034019,"Unspecified open-angle glaucoma"
298042018,"Open-angle glaucoma NOS"
298047012,"Unspecified primary angle-closure glaucoma"
298048019,"Primary angle-closure glaucoma residual stage"
298049010,"Primary angle-closure glaucoma NOS"
298053012,"Glaucoma due to disease EC"
298058015,"Glaucoma in endocrine, nutritional and metabolic diseases"
298059011,"Glaucoma due to disease NOS"
298072012,"Other specified forms of glaucoma"
298074013,"Other specified glaucoma NOS"
298075014,"Glaucoma NOS"
299482013,"[X]Other glaucoma"
299484014,"[X]Glaucoma in other diseases classified elsewhere"
495680018,"Normal pressure glaucoma"
503452018,"Primary open-angle glaucoma"
1220514012,"Optic disc glaucomatous atrophy"
1226368013,"Glaucomatocyclitic crises"
1232965011,"Glaucomatous subcapsular flecks"
1233026017,"Glaucoma due to ocular trauma"
1486268015,"Primary angle-closure glaucoma"
2676361011,"Removal of releasable suture following glaucoma surgery"
3041331000006112,"Narrow cleft glaucoma"
3753221000006115,"Chronic simple glaucoma"
3098461000006112,"Glaucoma with ocular inflammation"
2517661000006115,"Glaucomatous optic atrophy"
378701000000110,"Laser suture lysis following glaucoma surgery"
5484721000006119,"Glaucoma implant surgery"
3317631000006118,"Normal tension glaucoma"
734071000006115,"Low tension glaucoma"
3874591000006117,"Wide-angle glaucoma"
856591000006115,"Glaucoma right eye"
856601000006111,"Glaucoma left eye"
3564451000006117,"Intermittent angle-closure glaucoma"
6532941000006119,"Lens induced angle closure glaucoma"
3041321000006114,"Anatomical narrow angle glaucoma"
3753211000006111,"Primary open angle glaucoma"
141721000006112,"Simple chronic glaucoma"
521031000006117,"Borderline glaucoma with anatomical narrow angle"
3098451000006110,"Glaucoma associated with ocular inflammation"
2983571000006113,"Acute angle-closure glaucoma"
5484711000006110,"Glaucoma tube shunt"
3874581000006115,"Open cleft glaucoma"
3872071000006115,"Glaucoma with lens disorder"
383381000000118,"Injection of bleb following glaucoma surgery"
47081000006113,"Open-angle glaucoma residual stage"
6532931000006112,"Lens swelling glaucoma"
4196731000006115,"Glaucoma capsulare"
388101000006114,"[X]Glaucoma in endocrine,nutritional+metabolic diseases CE"
7089401000006110,"Injection of filtering bleb following glaucoma surgery"
3041351000006117,"Chronic narrow angle glaucoma"
802901000006112,"Glaucoma - absolute"
459721000006110,"Acute primary angle-closure glaucoma"
3874611000006111,"OAG - Open-angle glaucoma"
883291000006119,"Primary closed-angle glaucoma"
3601481000006119,"Subcapsular glaucomatous flecks"
264071000006115,"Open angle glaucoma with borderline intraocular pressure"
6532921000006114,"Phacomorphic glaucoma"
770481000006118,"Intermittent primary angle-closure glaucoma"
3872061000006110,"Glaucoma associated with lens disorder"
3610261000006118,"Traumatic glaucoma"
3564481000006113,"Subacute closed-angle glaucoma"
383421000000110,"Needling of bleb following glaucoma surgery"
3753261000006114,"COAG - Chronic open-angle glaucoma"
3041361000006115,"CNAG - Chronic narrow angle glaucoma"
560611000006117,"Closed angle glaucoma"
3564471000006110,"Subacute angle-closure glaucoma"
3656821000006115,"Juvenile glaucoma"
378061000000112,"Revision of bleb NEC following glaucoma surgery"
249331000006112,"Pan retinal photocoagulation for glaucoma"
378721000000118,"Other specified operations following glaucoma surgery"
4772241000006119,"Borderline angle closure glaucoma"
3753241000006110,"POAG - Primary open-angle glaucoma"
3057441000006118,"Glaucoma due to raised episcleral venous pressure"
3564501000006115,"Prodromal angle closure glaucoma"
3564461000006115,"Interval angle-closure glaucoma"
383401000000118,"Operations following glaucoma surgery NOS"
4061451000006115,"Glaucoma due to ocular disease"
2974881000006116,"Glaucomatocyclitic crisis"
3564491000006111,"Intermittent closed-angle glaucoma"
6353481000006112,"Glaucoma drainage surgery"
3041311000006118,"Chronic angle-closure glaucoma"
3610251000006115,"Glaucoma associated with ocular trauma"
5501461000006111,"Glaucoma due to ocular tumor or cyst"
361511000000118,"Operations following glaucoma surgery"
12731151000006110,"Other specified forms of glaucoma"
3872051000006113,"Phacogenic glaucoma"
3874601000006113,"Open angle glaucoma"
907841000006110,"[RFC] Glaucoma"
7089411000006113,"Needling of bleb following glaucoma surgery"
556201000006114,"Chronic primary angle-closure glaucoma"
3057431000006111,"Glaucoma with increased episcleral venous pressure"
3753251000006112,"CSG - Chronic simple glaucoma"
3317621000006116,"LTG - Low tension glaucoma"
388091000006115,"[X]Glaucoma"
2983591000006114,"AACG - Acute angle closure glaucoma"
2517641000006119,"Glaucomatous atrophy of optic disc"
