Code,Description
16455010,"Gouty neuritis"
25080011,"Gouty tophi of ear"
45604013,"Gouty tophi of heart"
72069017,"Gouty iritis"
80709010,"Gouty arthritis"
150085018,"Gout"
251601017,"H/O: gout"
255612014,"O/E - auricle of ear - tophi"
264664010,"Gout monitoring"
264665011,"Initial gout assessment"
264666012,"Follow-up gout assessment"
264667015,"Joints gout affected"
264669017,"Date gout treatment started"
264670016,"Date of last gout attack"
264671017,"Gout associated problems"
264672012,"Gout drug side effects"
264673019,"Gout treatment changed"
264674013,"Date gout treatment stopped"
264675014,"Gout monitoring NOS"
293392012,"Gouty arthropathy"
293394013,"Gouty nephropathy"
293396010,"Gouty nephropathy unspecified"
293400010,"Gouty nephropathy NOS"
293405017,"Other specified gouty manifestation"
293407013,"Gouty tophi of other sites"
293410018,"Gouty tophi of hand"
293411019,"Other specified gouty manifestation NOS"
293412014,"Gout NOS"
309673013,"Gouty arthritis of unspecified site"
309674019,"Gouty arthritis of the shoulder region"
309675018,"Gouty arthritis of the upper arm"
309676017,"Gouty arthritis of the forearm"
309677014,"Gouty arthritis of the hand"
309678016,"Gouty arthritis of the pelvic region and thigh"
309679012,"Gouty arthritis of the lower leg"
309680010,"Gouty arthritis of the ankle and foot"
309681014,"Gouty arthritis of multiple sites"
309682019,"Gouty arthritis of other specified site"
309683012,"Gouty arthritis NOS"
312525018,"[X]Other secondary gout"
359372019,"Gout due to impairment of renal function"
359373012,"Drug-induced gout"
359376016,"Lead-induced gout"
481958014,"Idiopathic gout"
2695828012,"Gouty arthritis of toe"
388241000006119,"[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE"
4760071000006110,"Chronic gouty nephropathy"
21811000033118,"Drugs Used In Gout"
5140141000006112,"Gout caused by lead"
3636531000006119,"Rheumatic gout"
2937061000006110,"Gouty tophus of heart"
2560761000006112,"Gouty tophus"
6665841000006119,"Tophus co-occurrent and due to gout"
12488971000006113,"Gout drug side effects"
5140061000006112,"Gout secondary to drug"
12347141000006117,"Arthritis of toe due to gout"
2370851000000119,"Acute exacerbation of gout"
1877501000006110,"Keele CONTACT (treatment for acute gout) study"
4808821000006116,"Gouty arthritis of the ankle and/or foot"
4576741000006112,"On examination - auricle of ear - tophi"
4760121000006110,"Tophus of hand co-occurrent and due to gout"
2560771000006117,"Urate tophus"
5785691000006119,"Drug for the treatment of gout adverse reaction"
5140131000006119,"Gout due to lead poisoning"
806061000006113,"Gouty tophi of heart"
12729281000006113,"Gout NOS"
2610481000000112,"Gouty tophi of toe"
4539631000006118,"History of gout"
2937081000006117,"Tophus of heart co-occurrent and due to gout"
881751000006117,"Gout Uncomplicated"
850991000006110,"Gouty tophi + gout NOS"
4636311000006117,"Gout associated problem"
5140121000006117,"Lead gout"
2892621000006111,"Acute gouty arthropathy"
2892591000006114,"Primary gout"
5140091000006116,"Gout secondary to lead"
5140041000006113,"Gout secondary to renal impairment"
2733961000006114,"Tophus of ear co-occurrent and due to gout"
4636331000006111,"Gout drug side effect"
2892601000006118,"Acute gouty arthritis"
12488961000006118,"Gout associated problems"
1010591000006110,"Adverse reaction to Drugs Used In Gout"
12184951000006114,"Arthritis due to gout"
5140111000006113,"Saturnine gout"
5140081000006119,"Gout caused by drug"
4760101000006117,"Gouty tophus of hand"
