Code,Description
18472010,"Acute congestive heart failure"
60444016,"Benign hypertensive heart disease"
70653017,"Congestive heart failure"
72934016,"Rheumatic left ventricular failure"
82584011,"Acute cor pulmonale"
90135019,"Malignant hypertensive heart disease"
94251011,"Acute heart failure"
107545013,"Hypertensive heart disease"
109700019,"Benign hypertensive heart AND renal disease"
110659019,"Malignant hypertensive heart AND renal disease"
112265015,"Pulmonary congestion"
132655012,"Chronic cor pulmonale"
139475013,"Heart failure"
139481017,"Weak heart"
139482012,"Cardiac failure"
141306010,"Left ventricular failure"
143003017,"Hypertensive heart AND renal disease"
147247018,"Chronic congestive heart failure"
206703015,"Right heart failure"
216207010,"Left ventricular systolic dysfunction"
216246012,"Referral to heart failure clinic"
251680018,"H/O: heart failure"
251924010,"H/O: heart recipient"
251940013,"H/O: artificial heart"
253994013,"O/E - pulmonary oedema"
270766014,"Revision of transplantation of heart and lung"
270767017,"Other specified transplantation of heart and lung"
270768010,"Transplantation of heart and lung NOS"
270769019,"Other transplantation of heart"
270770018,"Allotransplantation of heart NEC"
270776012,"Revision of transplantation of heart NEC"
270777015,"Other specified other transplantation of heart"
270778013,"Other transplantation of heart NOS"
299650019,"Malignant hypertensive heart disease NOS"
299654011,"Benign hypertensive heart disease NOS"
299655012,"Hypertensive heart disease NOS"
299673010,"Hypertensive heart and renal disease with renal failure"
299675015,"Hypertensive heart and renal disease NOS"
300179017,"Decompensated cardiac failure"
300180019,"Compensated cardiac failure"
300190010,"Acute left ventricular failure"
300217019,"Post cardiac operation heart failure NOS"
300910013,"[X]Other hypertrophic cardiomyopathy"
301689014,"Pulmonary congestion and hypostasis"
301694014,"Pulmonary oedema NOS"
301695010,"Pulmonary congestion and hypostasis NOS"
301741013,"Acute pulmonary oedema unspecified"
301743011,"Acute pulmonary oedema NOS"
305601017,"Cardiac failure following abortive pregnancy"
316833010,"Congenital cardiac failure"
317955011,"[D]Cardiorespiratory failure"
350413012,"Congestive obstructive cardiomyopathy"
350484012,"Heart failure as a complication of care"
395772015,"Heart failure NOS"
403107019,"Cardiac insufficiency as a complication of care"
411506018,"Impaired left ventricular function"
412678013,"Neonatal cardiac failure"
451426015,"Cardiac failure therapy"
453099015,"H/O: Heart failure in last year"
460645013,"[V]Heart transplanted"
460657016,"[V]Has artificial heart"
490972013,"Right ventricular failure"
493287011,"Congestive cardiac failure"
494669012,"Chronic pulmonary oedema"
498953012,"Beriberi heart disease"
510016018,"Biventricular failure"
1484917012,"Heart failure follow-up"
1484918019,"Heart failure annual review"
1488804017,"Heart failure confirmed"
1489358014,"Left ventricular diastolic dysfunction"
1490256017,"Pulmonary oedema - acute"
1495417010,"Asthma - cardiac"
1778488011,"Congestive cardiomyopathy"
2159197017,"Echocardiogram shows left ventricular systolic dysfunction"
2159198010,"Echocardiogram shows left ventricular diastolic dysfunction"
2548316014,"Seen by community heart failure nurse"
2549208013,"Admit heart failure emergency"
2549243014,"Seen in heart failure clinic"
2549697018,"Referral to heart failure nurse"
2616470012,"New York Heart Association Classification - Class I"
2616471011,"New York Heart Association Classification - Class II"
2616472016,"New York Heart Association Classification - Class III"
2616473014,"New York Heart Association Classification - Class IV"
2675255018,"Congestive heart failure due to valvular disease"
2694523019,"Left ventricular cardiac dysfunction"
3855401000006112,"Cor pulmonale"
818821000006110,"Heart transplant with complication, without blame"
3022141000006112,"HtTx - Heart transplant"
6914191000006115,"Systolic heart failure"
8030311000006111,"Exacerbation of congestive heart failure"
6919191000006119,"Diastolic heart failure"
3886041000006118,"Left heart failure"
