Code,Description
1409014,"Benign hypertensive renal disease"
3135013,"Benign essential hypertension"
12496011,"Hypertensive retinopathy"
47076011,"Renal hypertension"
53452019,"Secondary hypertension"
60444016,"Benign hypertensive heart disease"
64168014,"Hypertensive disease"
64282015,"Hypertensive renal disease"
80224019,"Diastolic hypertension"
84111015,"Hypertensive encephalopathy"
84112010,"Hypertensive crisis"
90135019,"Malignant hypertensive heart disease"
93494011,"Systolic hypertension"
99042012,"Essential hypertension"
99047018,"Primary hypertension"
107545013,"Hypertensive heart disease"
108730018,"Malignant hypertensive renal disease"
109700019,"Benign hypertensive heart AND renal disease"
110659019,"Malignant hypertensive heart AND renal disease"
131046010,"Malignant essential hypertension"
143003017,"Hypertensive heart AND renal disease"
262960017,"Hypertension induced by oral contraceptive pill"
264471012,"Good hypertension control"
264472017,"Poor hypertension control"
264473010,"Hypertension:follow-up default"
264485019,"Hypertension treatm. started"
264486018,"Hypertensive treatm.changed"
264487010,"Hypertension treatm.stopped"
285265015,"Seen in hypertension clinic"
299650019,"Malignant hypertensive heart disease NOS"
299654011,"Benign hypertensive heart disease NOS"
299655012,"Hypertensive heart disease NOS"
299665018,"Hypertensive renal disease with renal failure"
299673010,"Hypertensive heart and renal disease with renal failure"
299675015,"Hypertensive heart and renal disease NOS"
299676019,"Secondary malignant renovascular hypertension"
299677011,"Secondary malignant hypertension NOS"
299678018,"Secondary benign hypertension"
299680012,"Secondary benign hypertension NOS"
299681011,"Hypertension secondary to endocrine disorders"
299682016,"Secondary hypertension NOS"
299683014,"Secondary renovascular hypertension NOS"
299684015,"Hypertension secondary to drug"
299686018,"Other specified hypertensive disease"
299687010,"Hypertensive disease NOS"
300869017,"[X]Hypertensive diseases"
300870016,"[X]Other secondary hypertension"
300871017,"[X]Hypertension secondary to other renal disorders"
324338010,"Other hypertensive agent poisoning"
395751018,"Essential hypertension NOS"
395753015,"Hypertensive renal disease NOS"
411508017,"Cardiomegaly - hypertensive"
443764015,"On treatment for hypertension"
1780252014,"Hypertension treatment refused"
1780253016,"Hypertension six month review"
1780318013,"Moderate hypertension control"
1780319017,"Hypertension annual review"
2478822013,"Secondary benign renovascular hypertension"
790121000006116,"Hypertension NOS"
2670511000006119,"Benign hypertension"
1806141000006113,"Severe hypertension"
2813981000006110,"High-renin essential hypertension"
4361251000006117,"Hypertensive congenital adrenal hyperplasia"
19431000006116,"Other pre-existing hypertension in preg/childb/puerp - deliv"
3117491000006111,"High blood pressure disorder"
3552531000006110,"HHD - Hypertensive heart disease"
151161000006115,"Secondary malignant hypertension"
3565371000006115,"Labile diastolic hypertension"
1706551000000114,"Hypertension 9 month review"
741661000006118,"Hypertensive heart disease NOS"
3117501000006115,"BP+ - Hypertension"
19421000006119,"Other pre-exist hypertension in preg/childb/puerp-not deliv"
2193971000000110,"Hypertension resistant to drug therapy"
1908711000006115,"Stage 1 hyperten (NICE 2011) without evidnce end organ damge"
8087661000006111,"Malignant hypertensive chronic kidney disease stage 1"
504911000006115,"Benign hypertensive heart disease without CCF"
158241000006117,"Secondary hypertension NOS"
213111000006112,"Pre-exist hypertension compl preg childbirth and puerperium"
728681000006116,"Malignant hypertensive heart disease without CCF"
7103581000006114,"Systolic essential hypertension"
7502041000006112,"Intermittent hypertension"
8286581000006114,"Stage 2 hypertension"
3296351000006114,"Hypertensive renal failure"
2193021000000110,"Severe hypertension"
4775861000006110,"Hypertension caused by drug"
213091000006115,"Pre-exist hyperten heart dis compl preg childbth+puerperium"
1908721000006111,"Stage 1 hyperten (NICE 2011) with evidnce end organ damge"
3119661000006114,"Hypertensive nephropathy"
1806081000006115,"Stage 2 hypertension"
153941000006118,"Seen in hypertension clinic"
19451000006111,"Other pre-existing hypertension in preg/childb/puerp unspec"
8087641000006112,"Malignant hypertensive chronic kidney disease"
3117421000006114,"Hypertensive vascular disease"
8030421000006114,"Hypertensive heart AND chronic kidney disease stage 4"
12487991000006113,"Hypertensive treatm.changed"
7278171000006116,"Hypertensive urgency"
3642801000006112,"Malignant hypertension"
3117481000006113,"HT - Hypertension"
12488221000006116,"Hypertension treatm.stopped"
3250801000006112,"Low-renin essential hypertension"
8030451000006117,"Hypertensive heart AND chronic kidney disease stage 1"
7609711000006110,"Hypertensive crisis"
12488211000006112,"Hypertension treatm. started"
3552501000006119,"Hypertensive cardiopathy"
1823901000006112,"Hypertension confirmed"
887811000006117,"Preg.+ pre-existing hypertensn"
1846941000006119,"Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)"
884131000006114,"Hypertensive renal + heart dis"
4356081000006115,"Hypertension due to renovascular disease"
8030431000006112,"Hypertensive heart AND chronic kidney disease stage 3"
3117521000006113,"Hypertensive disorder, systemic arterial"
3950631000006119,"Accelerated secondary hypertension"
1858771000006114,"AURAS-AF - consider the patient to have hypertension"
2193031000000112,"Stage 1 hypertension"
3552511000006116,"Hypertensive cardiomegaly"
741691000006114,"Hypertensive heart disease NOS without CCF"
728671000006119,"Malignant hypertensive heart disease with CCF"
3117461000006115,"Systemic arterial hypertension"
9897511000006110,"Labile systemic arterial hypertension"
8286321000006117,"Resistant hypertension"
6349461000006119,"Labile essential hypertension"
940001000006110,"Hypertension medication review"
2581861000006110,"Hypertensive heart disease with congestive heart failure"
1846991000006111,"Stage 2 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)"
741681000006111,"Hypertensive heart disease NOS with CCF"
3117511000006117,"HTN - Hypertension"
3117431000006112,"Hypertensive vascular degeneration"
3552521000006112,"Hypertensive cardiovascular disease"
3784371000006115,"Accelerated essential hypertension"
7696031000006114,"Supine hypertension"
789941000006117,"Hyperten heart&renal dis+both(congestv)heart and renal fail"
3489281000006119,"Hypertensive heart disease without congestive heart failure"
8030441000006119,"Hypertensive heart AND chronic kidney disease stage 2"
3468501000006117,"Systemic primary arterial hypertension"
1846961000006115,"Severe hypertension (Nat Inst for Health Clinical Ex 2011)"
909441000006118,"[RFC] Hypertension"
3768511000006114,"Benign hypertensive heart disease without congestive heart failure"
3468491000006113,"Idiopathic hypertension"
5730901000006115,"Maternal hypertension"
504901000006118,"Benign hypertensive heart disease with CCF"
212961000006118,"Pre-eclampsia or eclampsia + pre-existing hypertension NOS"
790031000006119,"Hypertension annual review"
19441000006114,"Other pre-existing hypertension in preg/childb/puerp NOS"
523801000006119,"BP - hypertensive disease"
741701000006114,"Hypertensive heart&renal dis wth (congestive) heart failure"
884121000006111,"Malignant hypertension"
1806071000006118,"Stage 1 hypertension"
19411000006110,"Other pre-exist hypertension in preg/childb/puerp + p/n comp"
8041701000006119,"Hypertensive emergency"
4634871000006112,"Hypertensive treatment changed"
3852501000006115,"Malignant hypertensive heart disease with congestive heart failure"
