Code,Description
33469013,"Thyrotoxic exophthalmos"
57561015,"Hyperthyroidism"
100438013,"Thyrotoxic heart disease"
150375010,"Thyrotoxicosis"
196525014,"Toxic multinodular goitre"
200396013,"Toxic uninodular goitre"
251587014,"H/O: hyperthyroidism"
292327018,"Toxic diffuse goitre with no crisis"
292330013,"Toxic diffuse goitre with crisis"
292331012,"Toxic diffuse goitre NOS"
292334016,"Toxic uninodular goitre with no crisis"
292335015,"Toxic uninodular goitre with crisis"
292338018,"Toxic uninodular goitre NOS"
292339014,"Toxic multinodular goitre with no crisis"
292342015,"Toxic multinodular goitre with crisis"
292343013,"Toxic multinodular goitre NOS"
292346017,"Toxic nodular goitre unspecified"
292347014,"Toxic nodular goitre unspecified with no crisis"
292350012,"Toxic nodular goitre unspecified with crisis"
292354015,"Toxic nodular goitre NOS"
292355019,"Thyrotoxicosis from ectopic thyroid nodule with no crisis"
292356018,"Thyrotoxicosis from ectopic thyroid nodule with crisis"
292357010,"Thyrotoxicosis from ectopic thyroid nodule NOS"
292361016,"Thyrotoxicosis of other specified origin with no crisis"
292362011,"Thyrotoxicosis of other specified origin with crisis"
292365013,"Thyrotoxicosis of other specified origin NOS"
292366014,"Thyrotoxicosis without mention of goitre or other cause"
292372014,"Thyrotoxicosis NOS"
355932011,"Toxic goitre"
398780011,"Toxic diffuse goitre"
398782015,"Thyrotoxicosis of other specified origin"
472452010,"Graves' disease"
507481016,"Thyrotoxicosis from ectopic thyroid nodule"
2548990010,"Hyperthyroidism resolved"
3700991000006113,"Toxic uninodular thyroid goitre"
5500071000006116,"Thyrotoxicosis with diffuse goiter"
3627511000006113,"Toxic uninodular goitre with thyrotoxic storm"
2922461000006118,"Toxic multinodular goiter"
3511871000006114,"Toxic multinodular goitre with thyrotoxic crisis"
3700961000006117,"Thyrotoxicosis with toxic single thyroid nodule"
2966801000006110,"Thyrotoxic crisis"
4539511000006111,"History of hyperthyroidism"
2922511000006115,"Thyrotoxicosis with toxic multinodular goitre"
5720991000006112,"Thyrotoxicosis with or without goitre"
3700981000006110,"Thyrotoxicosis due to uninodular goiter"
3918281000006110,"Thyrotoxicosis from ectopic thyroid tissue"
2922531000006114,"Toxic multinodular thyroid goitre"
5500041000006112,"Thyrotoxicosis with diffuse goitre"
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis"
5500101000006114,"Toxic diffuse thyroid goitre"
5581801000006112,"Graves' ophthalmopathy"
101891000006113,"Thyrotoxicosis without mention of goitre or cause no crisis"
4757781000006116,"Hyperthyroidism due to ectopic thyroid tissue"
2922501000006118,"Thyrotoxicosis due to multinodular goitre"
881371000006111,"Thyrotoxicosis +/- goitre"
3511891000006110,"Toxic multinodular goiter with thyrotoxic storm"
5721001000006113,"Thyrotoxicosis with or without goiter"
3700971000006112,"Thyrotoxicosis due to uninodular goitre"
5581851000006111,"Graves' eye disease"
905741000006112,"[RFC] Hyperthyroidism"
2922481000006111,"Thyrotoxicosis due to multinodular goiter"
3438831000006118,"Toxic adenomatous goitre"
3613541000006112,"Thyrotoxic myopathy"
3438791000006113,"Toxic nodular goiter"
4757741000006110,"Toxic multinodular goiter with no crisis"
2922491000006114,"Thyrotoxicosis with toxic multinodular goiter"
3511881000006112,"Toxic multinodular goiter with thyrotoxic crisis"
5112881000006118,"Graves' dermopathy"
3627481000006117,"Toxic uninodular goitre with thyrotoxic crisis"
3918261000006117,"Hyperthyroidism due to ectopic thyroid nodule"
3511901000006114,"Toxic multinodular goitre with thyrotoxic storm"
2922521000006111,"Toxic multinodular thyroid goiter"
5500051000006114,"Diffuse toxic goitre"
