Code,Description
35727012,"Myxoedema coma"
40996015,"Total thyroidectomy"
40998019,"Complete thyroidectomy"
68268011,"Hypothyroidism"
178809013,"Acquired hypothyroidism"
251589012,"H/O: hypothyroidism"
292373016,"Congenital hypothyroidism"
292376012,"Other specified congenital hypothyroidism"
292394018,"Other postablative hypothyroidism"
292395017,"Irradiation hypothyroidism"
292396016,"Postablative hypothyroidism NOS"
292397013,"Iodine hypothyroidism"
292400016,"Other iatrogenic hypothyroidism"
292401017,"Hypothyroidism resulting from para-aminosalicylic acid"
292402012,"Hypothyroidism resulting from phenylbutazone"
292403019,"Hypothyroidism resulting from resorcinol"
292404013,"Iatrogenic hypothyroidism NOS"
292408011,"Other acquired hypothyroidism"
292417011,"Premature puberty due to hypothyroidism"
292448015,"Thyroid atrophy"
297588017,"Myasthenic syndrome due to hypothyroidism"
316625012,"Neonatal jaundice with congenital hypothyroidism"
329968011,"Cretinism"
355957018,"Congenital hypothyroidism without goitre"
355964016,"Autoimmune myxoedema"
356012016,"Acquired atrophy of thyroid"
398783013,"Congenital hypothyroidism NOS"
398784019,"Hypothyroidism NOS"
415431010,"Goitrous cretin"
415432015,"Congenital hypothyroidism with diffuse goitre"
493538010,"Myxoedema"
2474336017,"Hypothyroidism clinical management plan"
2533420013,"Hypothyroidism monitoring third letter"
2533422017,"Hypothyroidism monitoring first letter"
2533534011,"Hypothyroidism monitoring second letter"
2536050019,"Postsurgical hypothyroidism"
2548835019,"Hypothyroidism monitoring verbal invite"
4012861000006111,"Aplasia of thyroid with myxoedema"
4904391000006111,"Congenital hypothyroidism not due to iodine deficiency"
5614081000006117,"Congenital hypothyroidism with diffuse goiter"
940121000006116,"Hypothyroidism monitoring invite 3"
3862381000006114,"Primary hypothyroidism AND adrenocortical insufficiency"
881391000006112,"Acquired hypothyroidism NOS"
208391000006113,"Pretibial myxoedema - hypothyroid"
12729831000006113,"Other acquired hypothyroidism"
542301000006117,"Cerebellar ataxia due to myxoedema"
5108961000006115,"Endemic cretinism - neurological type"
1874471000006114,"Newborn blood spot outcome status (congenital hypothyroidism)"
988831000006119,"Acquired hypothyroidism NOS"
3720391000006119,"Endemic cretinism - hypothyroid"
5108811000006113,"Atrophy of thyroid - acquired"
216181000006112,"Post ablative hypothyroidism"
600791000006112,"Cretinism"
5108941000006119,"Endemic cretinism - mixed type"
3927661000006113,"Myxoedema myopathy"
637341000000118,"Hypothyroidism annual review"
583291000006115,"Congenital iodine-deficiency syndrome, myxoedematous type"
4539531000006117,"History of hypothyroidism"
3843711000006117,"Hypothyrotropic hypothyroidism"
542671000006117,"Cerebral degeneration due to myxoedema"
2933341000006117,"Postsurgical hypothyroidism"
4904411000006111,"Infantile hypothyroidism"
12727341000006116,"Hypothyroidism NOS"
1877411000006112,"Hypothyroidism clinical management plan no longer in place"
858351000006117,"Total substernal thyroidectomy"
939981000006114,"Hypothyroidism medication review"
5108491000006117,"Post-infectious hypothyroidism"
2933351000006115,"Hypothyroidism after surgery"
5108381000006112,"Hypothyroidism with positive thyroid antibodies"
588661000006115,"Congenital thyroid insufficiency"
413721000006119,"[X]Other sp cified hypothyroidism"
406721000000115,"Hypothyroidism monitoring telephone invitation"
682701000006117,"Myopathy due to myxoedema"
4197341000006114,"Primary hypothyroidism"
940101000006114,"Hypothyroidism monitoring invite 1"
5108301000006115,"Congenital hypothyroidism without goiter"
2933321000006112,"Postoperative hypothyroidism"
940091000006115,"Hypothyroidism monitoring administration"
5108351000006116,"Autoimmune hypothyroidism"
1823931000006116,"Hypothyroidism confirmed"
3644031000006116,"Hypothyroidism with sensorineural deafness"
4768951000006118,"Myxoedema encephalopathy"
5108831000006119,"Acquired thyroid atrophy"
101171000006116,"Thyroid deficiency"
4769091000006117,"Myxoedema cerebellar degeneration"
12704331000006114,"Endemic cretinism"
211321000006115,"Postinfectious hypothyroidism"
3862341000006115,"Diabetes mellitus, Addison's disease and myxoedema"
101581000006112,"Thyroid insufficiency"
428591000006112,"[X]Systemic atrophy affecting the CNS in myxoedema"
2696261000006111,"Complete parathyroidectomy"
881381000006114,"Hypothyroidism-congen.+ acqui."
940111000006112,"Hypothyroidism monitoring invite 2"
225971000000116,"Hypothyroidism monitoring administration"
