Code,Description
7844010,"Preinfarction syndrome"
7845011,"Unstable angina"
7847015,"Crescendo angina"
32122016,"Status anginosus"
36036010,"Syncope anginosa"
39773018,"Coronary artery spasm"
59952018,"Nocturnal angina"
84241012,"Aneurysm of coronary vessels"
89332015,"Atherosclerotic heart disease"
98087016,"Angina decubitus"
144819018,"Variant angina pectoris"
216244010,"Canadian Cardiovascular Society classification of angina"
251679016,"H/O: angina pectoris"
251691013,"H/O: heart disease NOS"
256747018,"Exercise tolerance test abnormal"
258968018,"Cardiac enzymes abnormal"
258969014,"Cardiac enzymes abnormal - first set"
262243016,"Angiocardiography abnormal"
262247015,"Coronary arteriograph.abnormal"
264492012,"Angina control"
264493019,"Angina control - good"
264494013,"Angina control - poor"
264495014,"Angina control - improving"
264496010,"Angina control - worsening"
264497018,"Angina control NOS"
283514010,"Admit to cardiac ITU"
299723016,"Other acute and subacute ischaemic heart disease"
299741012,"Preinfarction syndrome NOS"
299742017,"Coronary thrombosis not resulting in myocardial infarction"
299745015,"Acute coronary insufficiency"
299750014,"Other acute and subacute ischaemic heart disease NOS"
299757012,"Angina pectoris"
299758019,"Stenocardia"
299763015,"Angina decubitus NOS"
299765010,"Angina pectoris NOS"
299776014,"Other chronic ischaemic heart disease"
299782012,"Single coronary vessel disease"
299783019,"Double coronary vessel disease"
299790012,"Aneurysm of heart NOS"
299796018,"Ischaemic cardiomyopathy"
299800012,"Other specified chronic ischaemic heart disease"
299804015,"Other specified chronic ischaemic heart disease NOS"
299805019,"Other chronic ischaemic heart disease NOS"
299834013,"Other specified ischaemic heart disease"
299835014,"Ischaemic heart disease NOS"
300874013,"[X]Other forms of angina pectoris"
300876010,"[X]Other forms of acute ischaemic heart disease"
300879015,"[X]Other forms of chronic ischaemic heart disease"
338974012,"Ischaemic chest pain"
350346019,"Triple vessel disease of the heart"
350348018,"Stable angina"
350350014,"New onset angina"
350354017,"Silent myocardial ischaemia"
350379019,"Cardiac syndrome X"
350608017,"Coronary artery dissection"
395755010,"Other cardiac wall aneurysm"
397829016,"H/O: cardiovascular disease"
411503014,"Mural cardiac aneurysm"
