Code,Description
18666015,"Irritable bowel syndrome"
303172010,"Irritable bowel syndrome with diarrhoea"
2791650019,"Irritable bowel syndrome characterised by constipation"
886361000006114,"Irritable bowel - IBS"
2670951000006113,"IC - Irritable colon"
742351000006119,"Irritable colon - Irritable bowel syndrome"
2670911000006112,"IBS - Irritable bowel syndrome"
7240101000006111,"Constipation predominant irritable bowel syndrome"
2129721000000119,"Management of irritable bowel syndrome"
7238961000006111,"Irritable bowel syndrome characterized by alternating bowel habit"
2670921000006116,"Irritable bowel"
7240111000006114,"Irritable bowel syndrome characterized by constipation"
4786241000006112,"Irritable bowel syndrome with diarrhea"
