Code,Description
25897016,"Subclavian steal syndrome"
58046010,"Vertebral artery syndrome"
106392017,"Basilar artery syndrome"
106394016,"Vertebrobasilar insufficiency"
118689010,"Cerebral thrombosis"
125470015,"Cerebral embolism"
130375018,"Lateral medullary syndrome"
158118014,"Cerebellar infarction"
299342019,"[X]Other lacunar syndromes"
300303013,"Basilar artery occlusion"
300309012,"Vertebral artery occlusion"
300312010,"Cerebral infarct due to thrombosis of precerebral arteries"
300313017,"Cerebral infarction due to embolism of precerebral arteries"
300321011,"Cerebral infarction due to thrombosis of cerebral arteries"
300322016,"Cerebral infarction due to embolism of cerebral arteries"
300344014,"Carotid artery syndrome hemispheric"
300345010,"Multiple and bilateral precerebral artery syndromes"
300362017,"Middle cerebral artery syndrome"
300363010,"Anterior cerebral artery syndrome"
300364016,"Posterior cerebral artery syndrome"
300366019,"Cerebellar stroke syndrome"
300370010,"Left sided CVA"
300371014,"Right sided CVA"
300379011,"Generalised ischaemic cerebrovascular disease NOS"
300396012,"Occlusion and stenosis of anterior cerebral artery"
300398013,"Occlusion and stenosis of posterior cerebral artery"
300941014,"[X]Other cerebral infarction"
300942019,"[X]Occlusion and stenosis of other precerebral arteries"
300943012,"[X]Occlusion and stenosis of other cerebral arteries"
345650013,"Brainstem infarction NOS"
345655015,"Pure motor lacunar syndrome"
345658018,"Pure sensory lacunar syndrome"
395778016,"Carotid artery occlusion"
395780010,"Cerebral infarction NOS"
451133011,"Left sided cerebral infarction"
451134017,"Right sided cerebral infarction"
499739014,"Insufficiency - basilar artery"
1222398015,"Cerebral arterial occlusion"
2474651019,"Infarction of basal ganglia"
2436731000000112,"Old cerebral infarction on imaging"
542831000006116,"Cerebral embolus"
6990991000006112,"Ischemic stroke"
800691000006113,"Generalised ischaemic cerebrovascular disease NOS"
218511000000117,"Infarction - cerebral"
542261000006114,"Cereb infarct due unsp occlus/stenos precerebr arteries"
3644591000006111,"Structure of posterior cerebral artery"
542251000006112,"Cereb infarct due cerebral venous thrombosis, nonpyogenic"
370701000006118,"[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"
605461000006117,"CVA - cerebral artery occlusion"
524511000006116,"Brain stem stroke syndrome"
1900651000006110,"SCPE class predom patt C.3 infarct of middle cerebral artery"
12727431000006119,"Cerebral infarction NOS"
524541000006117,"Brainstem infarction"
57341000006119,"Wallenberg syndrome"
370661000006114,"[X]Cereb infarct due unsp occlus/stenos precerebr arteries"
8328591000006112,"SCPE (Surveillance of Cerebral Palsy in Europe) predominant pattern classification C.3 - infarct of the middle cerebral artery"
4057041000006110,"Brain stem stroke"
67501000006115,"Vertebro-basilar artery syndrome"
122361000006113,"Stroke due to cerebral arterial occlusion"
543141000006110,"Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"
2773351000006111,"Middle cerebral artery"
1573101000006112,"Cerebral infarction with haemorrhagic transformation"
267311000006118,"Occlusion+stenosis of multiple and bilat cerebral arteries"
1576261000006112,"Cause of Death- Cerebral Infarct"
884501000006113,"Cerebral A. occlusion NOS"
