Code,Description
4031011,"Old myocardial infarction"
4032016,"Healed myocardial infarction"
37443015,"Heart attack"
94884017,"Acute myocardial infarction"
109915012,"Postmyocardial infarction syndrome"
109916013,"Dressler's syndrome"
116992017,"Acute subendocardial infarction"
208365015,"Postoperative myocardial infarction"
256452010,"ECG: myocardial infarction"
256454011,"ECG: old myocardial infarction"
256455012,"ECG: antero-septal infarct."
256457016,"ECG:posterior/inferior infarct"
256458014,"ECG: subendocardial infarct"
256459018,"ECG: lateral infarction"
256460011,"ECG: myocardial infarct NOS"
299707016,"Other specified anterior myocardial infarction"
299708014,"Acute anteroapical infarction"
299709018,"Anterior myocardial infarction NOS"
299710011,"Posterior myocardial infarction NOS"
299711010,"Lateral myocardial infarction NOS"
299712015,"True posterior myocardial infarction"
299714019,"Inferior myocardial infarction NOS"
299718016,"Other acute myocardial infarction"
299719012,"Acute atrial infarction"
299720018,"Other acute myocardial infarction NOS"
299721019,"Acute myocardial infarction NOS"
299808017,"Subsequent myocardial infarction"
299811016,"Subsequent myocardial infarction of anterior wall"
299812011,"Subsequent myocardial infarction of inferior wall"
299813018,"Subsequent myocardial infarction of other sites"
300881018,"[X]Subsequent myocardial infarction of other sites"
300882013,"[X]Subsequent myocardial infarction of unspecified site"
350376014,"Silent myocardial infarction"
447324018,"Acute Q-wave infarct"
450322013,"Acute non-Q wave infarction"
451369010,"H/O: Myocardial infarction in last year"
455422014,"Postoperative subendocardial myocardial infarction"
455423016,"Postoperative myocardial infarction, unspecified"
461192018,"[V]Observation for suspected myocardial infarction"
1218860015,"Acute papillary muscle infarction"
1229885017,"Microinfarction of heart"
1234005010,"Acute inferoposterior infarction"
1234306015,"Acute septal infarction"
1235655012,"Mural thrombosis"
1780491019,"Acute ST segment elevation myocardial infarction"
1780501013,"Acute non-ST segment elevation myocardial infarction"
1786197015,"Coronary thrombosis"
1786198013,"Thrombosis - coronary"
4586201000006111,"EKG: subendocardial infarct"
2436731000000112,"Old cerebral infarction on imaging"
2855301000006112,"Myocardial infarction"
1576301000006115,"Cause of Death- Acute Myocardial Infarction"
3784921000006115,"Acute myocardial infarction of septum alone"
4586051000006118,"EKG: myocardial infarction"
6043771000006118,"Non-Q wave myocardial infarction"
12220761000006110,"Haemopericardium due to and following acute myocardial infarction"
6601131000006115,"CT - Coronary thrombosis"
3784911000006111,"Acute myocardial infarction of septum"
905351000006113,"[RFC] Myocardial infarction (MI)"
543291000006110,"Certain current complication follow acute myocardial infarct"
5056421000006119,"Old inferior myocardial infarction"
7662871000006115,"Inducible ischaemia manifest on stress test post myocardial infarction"
6601121000006118,"Coronary artery thrombosis"
813961000006116,"Haemopericardium/current comp folow acut myocard infarct"
12220771000006115,"Atrial septal defect due to and following acute myocardial infarction"
6651391000006114,"NSTEMI - Non-ST segment elevation MI"
460681000006116,"Acute transmural myocardial infarction of unspecif site"
498031000006112,"Atrial septal defect/curr comp folow acut myocardal infarct"
455641000006112,"Acute anterolateral infarction"
616081000006113,"Diab mellit insulin-glucose infus acute myocardial infarct"
3202711000006110,"Anterolateral infarction by EKG"
219531000000117,"MI - acute myocardial infarction"
4776221000006110,"Hemopericardium as current complication following acute myocardial infarction"
212061000006119,"Postoperative transmural myocardial infarction anterior wall"
932081000006118,"First myocardial infarction"
967931000006114,"Acute posterolateral myocardial infarction"
537751000006115,"Cardiac rupture following myocardial infarction (MI)"
455651000006114,"Acute anteroseptal infarction"
6348651000006112,"Myocardial infarction with complication"
12220781000006117,"Rupture of chordae tendinae due to and following acute myocardial infarction"
4540481000006111,"History of myocardial infarct at age greater than sixty"
5056521000006115,"Defect of ventricular septum following myocardial infarction"
884141000006116,"Coronary thrombosis"
212091000006110,"Postoperative transmural myocardial infarction unspec site"
4586151000006119,"ECG: antero-septal infarct"
4586101000006118,"Electrocardiographic old myocardial infarction"
5056411000006110,"Old anterior myocardial infarction"
810811000006116,"H/O: myocardial infarct <60"
2663441000006117,"Acute infarction of papillary muscle"
3699921000006110,"Acute inferior myocardial infarction"
100681000006116,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
4776251000006118,"Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction"
5056951000006117,"Pericarditis following myocardial infarction"
159001000006119,"Rupture papillary muscle/curr comp fol acute myocard infarct"
3576391000006116,"Postmyocardial infarction pericarditis"
4775891000006119,"Acute myocardial infarction of atrium"
12220751000006113,"Hemopericardium due to and following acute myocardial infarction"
6056601000006112,"DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction"
7571581000006113,"Acute anterior ST segment elevation myocardial infarction"
7572321000006112,"Acute ST segment elevation myocardial infarction of inferior wall"
158611000006118,"Ruptur chordae tendinae/curr comp fol acute myocard infarct"
2729671000000118,"Acute transmural myocardial infarction"
3343471000006116,"Acute anteroapical myocardial infarction"
8308931000006114,"Thrombolysis In Myocardial Infarction risk score for unstable angina or non-ST-segment-elevation myocardial infarction"
4586181000006110,"Electrocardiographic posterior/inferior infarct"
7571601000006115,"Acute STEMI (ST elevation myocardial infarction) of anterior wall"
3452181000006112,"Acute myocardial infarction of lateral wall"
5935321000006111,"Acute Q wave myocardial infarction"
2515471000006117,"Septal infarction by electrocardiogram"
2855341000006114,"MI - Myocardial infarction"
6651221000006117,"STEMI - ST elevation myocardial infarction"
12220791000006119,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction"
212071000006114,"Postoperative transmural myocardial infarction inferior wall"
1738171000006114,"History of myocardial infarction"
4776171000006116,"Reinfarction of myocardium"
3185771000006112,"Microinfarct of heart"
4586091000006112,"EKG: old myocardial infarction"
5056461000006113,"MI - Silent myocardial infarction"
5974481000006116,"History of myocardial infarction in last year"
362461000006119,"[X]Acute transmural myocardial infarction of unspecif site"
1576271000006117,"Cause of Death- Myocardial Infarction"
3745741000006117,"Acute myocardial infarction of inferoposterior wall"
7572331000006110,"Acute STEMI (ST elevation myocardial infarction) of inferior wall"
2855351000006111,"Myocardial infarct"
67081000006119,"Ventric septal defect/curr comp fol acut myocardal infarctn"
3699911000006119,"Acute myocardial infarction of diaphragmatic wall"
212081000006112,"Postoperative transmural myocardial infarction other sites"
4586221000006118,"Lateral infarction on electrocardiogram"
2855321000006119,"Cardiac infarction"
3427201000006111,"AMI - Acute myocardial infarction"
6619201000006117,"Previous myocardial infarction"
7574491000006114,"Subsequent NSTEMI (non-ST segment elevation myocardial infarction)"
6619191000006115,"Past history of myocardial infarction"
457531000006110,"Acute inferolateral infarction"
3565871000006113,"Acute myocardial infarction of inferolateral wall"
230021000006115,"Personal history of myocardial infarction"
5056941000006119,"Post-infarction pericarditis"
3641641000006116,"Acute myocardial infarction of anterolateral wall"
158601000006116,"Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI"
3576371000006117,"Postmyocardial infarction syndrome"
7572341000006117,"Acute inferior ST segment elevation myocardial infarction"
4586211000006114,"Electrocardiographic subendocardial infarct"
118831000006118,"Subsequent myocardial infarction of unspecified site"
216351000006118,"Post infarction pericarditis"
2855311000006110,"Infarction of heart"
4586171000006112,"EKG:posterior/inferior infarct"
4586041000006115,"Electrocardiographic myocardial infarction"
219521000000119,"Attack - heart"
5056501000006113,"Post-infarction ventricular septal defect"
6546751000006118,"First myocardial infarction"
4586111000006115,"Anteroseptal infarction on electrocardiogram"
4586241000006113,"Electrocardiogram: lateral infarction"
3381601000006117,"Acute myocardial infarction of anterior wall"
12221301000006119,"Cardiac rupture due to and following acute myocardial infarction"
884151000006119,"Myocardial Infarction"
