Code,Description
200354014,"Sleep apnoea"
317034011,"[D]Insomnia with sleep apnoea"
405691012,"[D]Hypersomnia with sleep apnoea"
457106016,"[D]Sleep apnoea syndrome"
1772611000006114,"Sleep hypoventilation"
3693981000006111,"Sleep hypopnea"
303181000006112,"[D]Syndrome sleep apnoea"
267911000006119,"Obstructive sleep apnoea"
3789311000006111,"Hypersomnia with sleep apnea"
981761000006114,"Sleep apnea"
11989401000006115,"Sleep apnoea syndrome"
3694001000006117,"SAS - Sleep apnoea syndrome"
12702791000006116,"Sleep apnoea syndrome"
3773251000006110,"Obstructive sleep apnoea syndrome"
7282631000006117,"Sleep related hypoventilation"
3773281000006119,"OSA - Obstructive sleep apnea"
3693961000006118,"Sleep apnea"
3694011000006119,"Sleep hypopnoea"
3693991000006114,"Sleep apnea syndrome"
3693971000006113,"SAS - Sleep apnea syndrome"
3773261000006112,"Obstructive sleep apnea syndrome"
3773271000006117,"OSA - Obstructive sleep apnoea"
3176551000006111,"Insomnia with sleep apnea"
136581000006114,"Sleep apnoea"
3773291000006116,"Obstructive sleep apnea"
219501000000111,"Obstructive sleep apnoea"
