Code,Description
19006012,"Thoracic spondylosis with myelopathy"
80324016,"Lumbosacral spondylosis without myelopathy"
91728013,"Coxae malum senilis"
108431018,"Cervical spondylosis with myelopathy"
251795011,"H/O: osteoarthritis"
297150011,"Myelopathy due to spondylosis"
297465015,"Nerve root and plexus compressions in spondylosis"
309862016,"Generalised osteoarthritis of unspecified site"
309876015,"Secondary multiple arthrosis"
309877012,"Erosive osteoarthrosis"
309878019,"Heberden's nodes with arthropathy"
309880013,"Generalised osteoarthritis NOS"
309881012,"Localised, primary osteoarthritis"
309884016,"Localised, primary osteoarthritis of unspecified site"
309885015,"Localised, primary osteoarthritis of the shoulder region"
309888018,"Localised, primary osteoarthritis of the upper arm"
309889014,"Localised, primary osteoarthritis of the forearm"
309892013,"Localised, primary osteoarthritis of the hand"
309896011,"Localised, primary osteoarthritis of the lower leg"
309898012,"Localised, primary osteoarthritis of the ankle and foot"
309899016,"Localised, primary osteoarthritis of other specified site"
309901013,"Primary coxarthrosis, bilateral"
309903011,"Primary gonarthrosis, bilateral"
309904017,"Primary arthrosis of first carpometacarpal joints, bilateral"
309911018,"Localised, primary osteoarthritis NOS"
309914014,"Localised, secondary osteoarthritis"
309915010,"Localised, secondary osteoarthritis of unspecified site"
309918012,"Localised, secondary osteoarthritis of the shoulder region"
309919016,"Localised, secondary osteoarthritis of the upper arm"
309922019,"Localised, secondary osteoarthritis of the forearm"
309923012,"Localised, secondary osteoarthritis of the hand"
309930018,"Localised, secondary osteoarthritis of the lower leg"
309933016,"Localised, secondary osteoarthritis of the ankle and foot"
309934010,"Localised, secondary osteoarthritis of other specified site"
309936012,"Post-traumatic coxarthrosis, bilateral"
309937015,"Post-traumatic gonarthrosis, bilateral"
309941016,"Localised, secondary osteoarthritis NOS"
309942011,"Localised osteoarthritis, unspecified"
309945013,"Localised osteoarthritis, unspecified, of unspecified site"
309949019,"Localised osteoarthritis, unspecified, of the upper arm"
309950019,"Localised osteoarthritis, unspecified, of the forearm"
309953017,"Localised osteoarthritis, unspecified, of the hand"
309965018,"Localised osteoarthritis, unspecified, of the ankle and foot"
309969012,"Arthrosis of first carpometacarpal joint, unspecified"
309971012,"Localised osteoarthritis, unspecified, NOS"
309972017,"Oligoarticular osteoarthritis, unspecified"
309975015,"Oligoarticular osteoarthritis, unspecified, of upper arm"
309976019,"Oligoarticular osteoarthritis, unspecified, of forearm"
309977011,"Oligoarticular osteoarthritis, unspecified, of hand"
309979014,"Oligoarticular osteoarthritis, unspecified, of lower leg"
