Code,Description
24883018,"Drug-induced osteoporosis"
30475015,"Senile osteoporosis"
54058015,"Postmenopausal osteoporosis"
107806013,"Osteoporosis"
216206018,"Fragility fracture due to unspecified osteoporosis"
312124013,"Osteoporosis, unspecified"
312133010,"Postoophorectomy osteoporosis"
312136019,"Localized osteoporosis - Lequesne"
312137011,"Osteoporosis in multiple myelomatosis"
312138018,"Osteoporosis in endocrine disorders"
312139014,"Vertebral osteoporosis"
312142015,"Osteoporosis NOS"
312156018,"Postoophorectomy osteoporosis with pathological fracture"
312157010,"Osteoporosis of disuse with pathological fracture"
312159013,"Drug-induced osteoporosis with pathological fracture"
312160015,"Idiopathic osteoporosis with pathological fracture"
312165013,"Postmenopausal osteoporosis with pathological fracture"
312441019,"Osteoporotic kyphosis"
312681016,"[X]Other osteoporosis with pathological fracture"
312682011,"[X]Other osteoporosis"
312683018,"[X]Osteoporosis in other disorders classified elsewhere"
312689019,"[X]Unspecified osteoporosis with pathological fracture"
359833013,"Osteoporotic vertebral collapse"
453226012,"Osteoporosis localized to spine"
455433012,"Collapse of cervical vertebra due to osteoporosis"
455534015,"Collapse of lumbar vertebra due to osteoporosis"
455535019,"Collapse of thoracic vertebra due to osteoporosis"
455536018,"Collapse of vertebra due to osteoporosis NOS"
496578010,"Disuse atrophy of bone"
1484866013,"Osteoporosis due to corticosteroids"
1485049016,"Osteoporosis treatment started"
1485050016,"Osteoporosis treatment stopped"
1485051017,"Osteoporosis treatment changed"
1485052012,"Osteoporosis - no treatment"
1485057018,"Osteoporosis - treatment response"
1485059015,"Osteoporosis - no treatment response"
1485088019,"Forearm DXA scan result osteoporotic"
1485093016,"Heel DXA scan result osteoporotic"
1485098013,"Hip DXA scan result osteoporotic"
1485103010,"Lumbar DXA scan result osteoporotic"
1485109014,"Quantitative ultrasound scan of heel - result osteoporotic"
1485119015,"H/O: fragility fracture"
3535828010,"Osteoporosis co-occurrent and due to multiple myeloma"
1715131000006113,"Bone sparing drug treatment offered for osteoporosis - ESA"
6518371000006116,"Hip dual X-ray absorptiometry scan result osteoporotic"
1137811000000114,"History of osteoporosis"
5992471000006115,"Osteoporosis localized to spine"
6518521000006110,"Lumbar dual energy X-ray photon absorptiometry scan result osteoporotic"
2786181000006116,"Involutional osteoporosis"
1122231000000117,"Osteoporosis - enhanced services administration"
4820851000006115,"Localized osteoporosis - Lequesne"
557111000000111,"Minimal trauma fracture"
1823981000006115,"Osteoporosis confirmed"
6518061000006114,"Forearm dual energy X-ray photon absorptiometry scan result osteoporotic"
7573051000006110,"Secondary osteoporosis"
1932111000006112,"3D study - problems with osteoporosis management"
5588801000006119,"Primary osteoporosis"
2460011000000114,"Osteoporosis medication compliance review"
3555091000006111,"OP - Osteoporosis"
212431000006119,"Postsurgical malabsorption osteoporosis"
40891000006118,"Osteoporosis + pathological fracture thoracic vertebrae"
2786171000006119,"Type II osteoporosis"
1573631000006112,"H/O: osteoporosis"
6515161000006117,"Osteoporosis caused by corticosteroid"
2749641000006119,"Posttraumatic osteoporosis"
6518811000006117,"History of fragility fracture"
6518051000006112,"Forearm DEXA scan result osteoporotic"
5588811000006116,"Age-related osteoporosis"
625381000006110,"Dissuse osteoporosis"
3253881000006112,"Osteoporotic fracture"
1853181000006117,"Osteoporosis treatment restart date"
2552271000006117,"Idiopathic osteoporosis"
5144201000006113,"Secondary generalised osteoporosis"
6518511000006119,"Lumbar DEXA scan result osteoporotic"
2786191000006118,"Age related osteoporosis"
7232181000006119,"Femoral neck dual energy X-ray absorptiometry (DEXA) scan result osteoporotic"
6518211000006116,"Heel dual energy X-ray photon absorptiometry scan result osteoporotic"
3362291000006115,"Disuse osteoporosis"
4820801000006119,"Idiopathic generalized osteoporosis"
212441000006112,"Postsurgical malabsorption osteoporosis with path fracture"
40881000006116,"Osteoporosis + pathological fracture lumbar vertebrae"
5144231000006117,"Transient osteoporosis of hip"
668551000000116,"Femoral neck DEXA scan result osteoporotic"
556881000000111,"Minimal trauma fracture due to unspecified osteoporosis"
6518361000006111,"Hip DEXA scan result osteoporotic"
7232171000006117,"Femoral neck dual energy X-ray photon absorptiometry scan result osteoporotic"
6518201000006119,"Heel DEXA scan result osteoporotic"
545121000000114,"Fragility fracture"
4820831000006110,"Post-surgical malabsorption osteoporosis"
6515141000006116,"Osteoporosis due to corticosteroid"
5144181000006112,"Juvenile idiopathic generalised osteoporosis"
786501000006117,"Idiopathic osteoporosis"
2749661000006115,"Posttraumatic atrophy of bone"
40871000006119,"Osteoporosis + pathological fracture cervical vertebrae"
