Code,Description
6528016,"Stomatocytosis"
93126010,"Hereditary spherocytosis"
100638016,"Subacute combined degeneration of spinal cord"
149842011,"Chronic acquired pure red cell aplasia"
251614016,"H/O: Anaemia vit.B12 deficient"
251615015,"H/O: haemolytic anaemia"
251617011,"H/O: anaemia NOS"
255515017,"O/E - anaemia"
255526011,"O/E - anaemia NOS"
264780013,"B12 deficiency monitoring"
264783010,"B12 injections started"
264784016,"B12 injections - at home"
264786019,"Reticulcytosis after B12"
264788018,"B12 injections stopped"
291252015,"Refractory anaemia without sideroblasts, so stated"
292273018,"[X]Refractory anaemia, unspecified"
293006011,"Folic acid deficiency"
293884012,"Chlorotic anaemia"
293885013,"Idiopathic hypochromic anaemia"
293924010,"Other vitamin B12 deficiency anaemia NOS"
293925011,"Congenital folate malabsorption anaemia"
293946019,"Other specified megaloblastic anaemia NEC"
293948018,"Combined B12 and folate deficiency anaemia"
293949014,"Other specified megaloblastic anaemia NEC NOS"
293952018,"Protein-deficiency anaemia"
293956015,"Protein-deficiency anaemia NOS"
293959010,"Other specified nutritional deficiency anaemia"
293960017,"Anaemia due to scurvy"
293961018,"Vitamin C deficiency anaemia"
293965010,"Vitamin E deficiency anaemia"
293966011,"Other specified other nutritional deficiency anaemia"
293969016,"Other specified nutritional deficiency anaemia NOS"
293977017,"[X]Megaloblastic anaemia NOS"
293978010,"Other specified deficiency anaemias"
293981017,"Deficiency anaemias NOS"
293984013,"Hereditary elliptocytosis"
293986010,"Haemolytic anaemia due to glutathione metabolism disorder"
293989015,"Favism"
293996018,"Other enzyme deficiency haemolytic anaemia"
293999013,"Haemolytic anaemia due to hexokinase deficiency"
294000010,"Haemolytic anaemia due to pyruvate kinase deficiency"
294004018,"Anaemia due to disorders of nucleotide metabolism"
294007013,"Enzyme deficiency haemolytic anaemia NOS"
294066018,"Other haemoglobinopathies"
294068017,"Hb F disease"
294074017,"Haemoglobin Zurich disease"
294075016,"Other specified other haemoglobinopathy"
294078019,"Other haemoglobinopathy NOS"
294079010,"Other specified hereditary haemolytic anaemias"
294082017,"Other specified hereditary haemolytic anaemia NOS"
294085015,"Hereditary haemolytic anaemia NOS"
294093015,"Primary cold-type haemolytic anaemia"
294094014,"Primary warm-type haemolytic anaemia"
294097019,"Secondary cold-type haemolytic anaemia"
294098012,"Secondary warm-type haemolytic anaemia"
294102016,"Autoimmune haemolytic anaemia NOS"
294105019,"Non-autoimmune haemolytic anaemia"
294106018,"Mechanical haemolytic anaemia"
294109013,"Toxic haemolytic anaemia"
294111016,"Infective haemolytic anaemia"
294112011,"Other specified non-autoimmune haemolytic anaemia"
294115013,"Non-autoimmune haemolytic anaemia NOS"
294116014,"Haemoglobinuria due to haemolysis from external causes"
294139015,"Acquired haemolytic anaemia NOS"
294141019,"Acquired spherocytosis"
294142014,"Pyknocytosis, infantile"
294144010,"Other specified haemolytic anaemias"
294145011,"Haemolytic anaemias NOS"
294148013,"Aplastic and other anaemias"
294178016,"Erythrogenesis imperfecta"
294179012,"Other specified constitutional aplastic anaemia"
294182019,"Constitutional aplastic anaemia NOS"
294190019,"Aplastic anaemia due to chronic disease"
294198014,"Aplastic anaemia due to infection"
294201016,"Radiation aplastic anaemia"
294202011,"Aplastic anaemia due to radiation"
294203018,"Aplastic anaemia due to toxic cause"
294211011,"Transient hypoplastic anaemia"
294222010,"Transient acquired pure red cell aplasia"
294223017,"Idiopathic aplastic anaemia"
294227016,"Aplastic anaemia NOS"
294231010,"Pyridoxine-responsive sideroblastic anaemia"
294232015,"Secondary sideroblastic anaemia due to disease"
294235018,"Secondary sideroblastic anaemia due to drugs and toxins"
294236017,"Sideroblastic anaemia NOS"
294245016,"Anaemia in neoplastic disease"
294251014,"Chronic anaemia"
294275014,"Other specified other anaemia"
294278011,"Other specified anaemia NOS"
294290013,"Other specified anaemias"
294291012,"Other anaemias NOS"
294564014,"[X]Nutritional anaemias"
294568012,"[X]Other dietary vitamin B12 deficiency anaemia"
294571016,"[X]Other vitamin B12 deficiency anaemias"
294572011,"[X]Other folate deficiency anaemias"
294575013,"[X]Other megaloblastic anaemias, not elsewhere classified"
294579019,"[X]Vitamin B12 deficiency anaemia, unspecified"
294582012,"[X]Haemolytic anaemias"
294583019,"[X]Other anaemias due to enzyme disorders"
294589015,"[X]Other haemoglobinopathies"
294590012,"[X]Other specified hereditary haemolytic anaemias"
