Code,Description
302011,"Diabetic peripheral angiopathy"
14121019,"Necrosis of artery"
87210015,"Buerger's disease"
105536013,"Intermittent claudication"
113137016,"Stricture of artery"
256133012,"O/E - gangrene"
300433019,"Extremity artery atheroma"
300434013,"Extremity artery atheroma NOS"
300502019,"Presenile gangrene"
300504018,"Peripheral gangrene"
300505017,"Gangrene of toe"
300506016,"Gangrene of foot"
300510018,"Other specified peripheral vascular disease"
300511019,"Peripheral angiopathic disease EC NOS"
300514010,"Other specified peripheral vascular disease NOS"
300515011,"Peripheral vascular disease NOS"
300534011,"Embolism and thrombosis of an arm or leg artery"
300535012,"Embolism and thrombosis of the brachial artery"
300536013,"Embolism and thrombosis of the radial artery"
300537016,"Embolism and thrombosis of the ulnar artery"
300538014,"Embolism and thrombosis of an arm artery NOS"
300539018,"Embolism and thrombosis of the femoral artery"
300540016,"Embolism and thrombosis of the popliteal artery"
300541017,"Embolism and thrombosis of the anterior tibial artery"
300542012,"Embolism and thrombosis of the dorsalis pedis artery"
300543019,"Embolism and thrombosis of the posterior tibial artery"
300547018,"Embolism and thrombosis of a leg artery NOS"
300550015,"Peripheral arterial embolism and thrombosis NOS"
300553018,"Embolism and/or thrombosis of the common iliac artery"
300554012,"Embolism and/or thrombosis of the internal iliac artery"
300555013,"Embolism and/or thrombosis of the external iliac artery"
300556014,"Embolism and thrombosis of the iliac artery unspecified"
300564015,"Arterial embolism and thrombosis NOS"
300605011,"Other disorders of arteries and arterioles NOS"
300607015,"Arterial insufficiency"
300609017,"Disorders of arteries and arterioles NOS"
300646018,"Other specified arterial, arteriole or capillary disease"
300647010,"Arterial, arteriole and capillary diseases NOS"
300963017,"[X]Other specified peripheral vascular diseases"
317343014,"[D]Gangrene"
317344015,"[D]Gangrene, spreading cutaneous"
317347010,"[D]Gangrene of toe in diabetic"
317348017,"[D]Widespread diabetic foot gangrene"
317349013,"[D]Gangrene NOS"
350533013,"Peripheral ischaemia"
350535018,"Peripheral ischaemic vascular disease"
350564010,"Aortoiliac obstruction"
395791015,"Other peripheral vascular disease"
395794011,"Arterial embolic and thrombotic occlusion"
395795012,"Arterial embolus and thrombosis"
411512011,"Claudication"
443199013,"Ischaemic foot"
451198016,"Leriche's syndrome"
451376017,"H/O: Peripheral vascular disease procedure"
458505013,"Iliac artery occlusion"
458506014,"Femoral artery occlusion"
458507017,"Popliteal artery occlusion"
235911000006116,"Peripheral vascular disease NOS"
4392201000006111,"Diabetic peripheral vascular disease"
1176621000000116,"Referred for peripheral artery disease assessment"
8279141000006112,"H/O intermittent claudication"
9874011000006115,"Gangrene of toe of right foot"
12126541000006118,"Bilateral gangrene of toe"
6632261000006118,"PVD - Peripheral vascular disease"
8014491000006111,"Peripheral vascular disease due to type I diabetes"
3387371000006112,"Arterial embolism"
218541000000116,"Thrombosis - arterial"
3532661000006118,"IC - Intermittent claudication"
7482951000006115,"History of peripheral vascular disease"
905541000006119,"[RFC] Arterial embolism of limbs"
1699111000006110,"Ischaemic foot"
12733161000006111,"Arterial embolism and thrombosis NOS"
12224291000006118,"Intermittent spinal claudication"
223991000000116,"Aorto-iliac disease"
12729241000006119,"Peripheral vascular disease NOS"
1847121000006114,"Peripheral arterial disease"
12733151000006114,"Peripheral arterial embolism and thrombosis NOS"
2377911000000114,"Ischaemic foot pain when walking"
216701000006116,"Post radiological embolism of lower limb artery"
1696201000006114,"Peripheral vascular disease annual review"
2377871000000112,"Ischaemic foot pain at rest"
5126491000006110,"Neuroischaemic foot ulcer"
5974641000006112,"History of peripheral vascular disease procedure"
491241000006118,"Arterial embolism and thrombosis"
906771000006113,"[RFC] Peripheral vascular disease"
4741891000006116,"Gas gangrene of foot"
5126451000006116,"Ischaemic foot ulcer"
884631000006118,"Arterial embolism/thrombosis"
742481000006118,"Ischaemia of legs"
884661000006110,"Peripheral arterial embolism"
132581000006113,"Spasm of peripheral artery"
6633851000006110,"PVD-peripheral vascular disease"
1715241000006112,"Vascular claudication"
1823971000006118,"Peripheral arterial disease confirmed"
8044221000006116,"Ischaemic foot ulcer due to type 2 diabetes mellitus"
12733201000006117,"Arterial, arteriole and capillary diseases NOS"
