Code,Description
81717011,"Parkinson's disease"
81719014,"Paralysis agitans"
295688010,"[X]Dementia in Parkinson's disease"
297037012,"Parkinson's disease NOS"
909021000006117,"[RFC] Parkinson's disease"
1148731000000112,"History of Parkinson's disease"
636681000000117,"Cerebral degeneration in Parkinson's disease"
3293631000006118,"Idiopathic Parkinson's disease"
8193781000006112,"History of Parkinson disease"
3293641000006111,"Parkinson disease"
3293651000006113,"PD - Parkinson's disease"
3293671000006115,"Primary Parkinsonism"
905821000006112,"[RFC] Parkinson's disease"
3293661000006110,"Parkinsons disease"
7043651000006119,"Dementia associated with Parkinson's Disease"
3293611000006112,"Paralysis agitans"
7043661000006117,"Dementia associated with Parkinson Disease"
