Code,Description
5742016,"Chronic gastrojejunal ulcer with perforation"
6875014,"Chronic peptic ulcer with perforation"
27285014,"Stomal ulcer"
27286010,"Marginal ulcer"
33419017,"Acute gastric ulcer with perforation"
37964010,"Prepyloric ulcer"
40392014,"Gastrocolic ulcer"
52347016,"Chronic gastric ulcer with perforation"
65759011,"Pyloric ulcer"
83140013,"Chronic duodenal ulcer with perforation"
86362013,"Duodenal ulcer disease"
91115011,"Jejunal ulcer"
101926016,"Acute duodenal ulcer with perforation"
110704012,"Acute gastrojejunal ulcer with perforation"
131281018,"Acute peptic ulcer with perforation"
158227015,"Acute gastric ulcer"
158231014,"Chronic gastric ulcer"
196816014,"Ulcer of oesophagus"
201417012,"Fungal ulcer of oesophagus"
206556016,"Chronic duodenal ulcer"
206557013,"Chronic peptic ulcer"
206558015,"Chronic gastrojejunal ulcer"
252563014,"Peptic ulcer symptoms"
269116019,"Resection of gastric ulcer by cautery"
269308015,"Stomach ulcer operations"
269309011,"Operations on gastric ulcer"
269310018,"Closure of perforated gastric ulcer"
269314010,"Other specified operation on gastric ulcer"
269315011,"Operation on gastric ulcer NOS"
269371013,"Operations on duodenal ulcer"
269374017,"Closure of perforated duodenal ulcer"
269376015,"Other specified operation on duodenal ulcer"
269377012,"Operation on duodenal ulcer NOS"
302384014,"Oesophageal ulcer due to aspirin"
302387019,"Barrett's ulcer of oesophagus"
302393010,"Ulcer of oesophagus NOS"
302463015,"Acute gastric ulcer without mention of complication"
302470015,"Acute gastric ulcer with obstruction"
302471016,"Acute gastric ulcer unspecified"
302472011,"Acute gastric ulcer NOS"
302473018,"Chronic gastric ulcer without mention of complication"
302481017,"Chronic gastric ulcer with obstruction"
302482012,"Chronic gastric ulcer unspecified"
302483019,"Chronic gastric ulcer NOS"
302485014,"Unspecified gastric ulcer"
302486010,"Unspecified gastric ulcer without mention of complication"
302487018,"Unspecified gastric ulcer with haemorrhage"
302489015,"Unspecified gastric ulcer with perforation"
302490012,"Unspecified gastric ulcer with haemorrhage and perforation"
302492016,"Unspecified gastric ulcer with obstruction"
302495019,"Unspecified gastric ulcer NOS"
302502012,"Acute duodenal ulcer"
302504013,"Acute duodenal ulcer without mention of complication"
302511012,"Acute duodenal ulcer with obstruction"
302512017,"Acute duodenal ulcer unspecified"
