Code,Description
156607018,"Secondary malignant neoplasm of prostate"
262915018,"Microwave therapy to prostate"
272970016,"Ultrasound ablation of prostate"
272992017,"Cryotherapy to prostate via perineal probe"
445774019,"Endoscopic destruction of lesion of prostate NEC"
1227569012,"[V]Personal history of malignant neoplasm of prostate"
1488634012,"Gleason prostate grade 5-7 (medium)"
1490807013,"Gleason prostate grade 8-10 (high)"
2676221013,"Endoscopic radiofrequency ablation of lesion of prostate"
722361000006115,"Malignant neoplasm of prostate"
1842181000006111,"Prostate cancer follow up - enhanced services administration"
2460981000000118,"Active surveillance of prostate cancer"
3915011000006118,"Endoscopic transurethral fulguration of prostate"
643221000006118,"Endoscopic cryotherapy of prostate"
7085791000006110,"History of malignant neoplasm of prostate"
6616751000006116,"CA - Cancer of prostate"
6616721000006113,"Malignant tumor of prostate"
5487301000006116,"Transurethral cryotherapy of prostate"
491791000000112,"High intensity focused ultrasound of prostate"
906971000006110,"[RFC] Cancer of the prostate"
1717461000000112,"H/O: prostate cancer"
11911951000006111,"[V]Personal history of malignant neoplasm of prostate"
643231000006115,"Endoscopic cryotherapy to lesion of prostate"
3915021000006114,"Transurethral fulguration of prostate"
6616731000006111,"Malignant prostatic tumour"
6616741000006118,"Malignant prostatic tumor"
2453201000000117,"Prostate cancer care review"
6616761000006119,"Cancer of prostate"
