Code,Description
155287019,"Malignant neoplasm of hilus of lung"
155361017,"Malignant neoplasm of main bronchus"
288808013,"Malignant neoplasm of trachea, bronchus and lung"
288809017,"Malignant neoplasm of cartilage of trachea"
288810010,"Malignant neoplasm of mucosa of trachea"
288811014,"Malignant neoplasm of trachea NOS"
288813012,"Malignant neoplasm of carina of bronchus"
288815017,"Malignant neoplasm of main bronchus NOS"
288819011,"Malignant neoplasm of upper lobe bronchus"
288820017,"Malignant neoplasm of upper lobe of lung"
288821018,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
288822013,"Malignant neoplasm of middle lobe, bronchus or lung"
288823015,"Malignant neoplasm of middle lobe bronchus"
288824014,"Malignant neoplasm of middle lobe of lung"
288825010,"Malignant neoplasm of middle lobe, bronchus or lung NOS"
288826011,"Malignant neoplasm of lower lobe, bronchus or lung"
288827019,"Malignant neoplasm of lower lobe bronchus"
288828012,"Malignant neoplasm of lower lobe of lung"
288829016,"Malignant neoplasm of lower lobe, bronchus or lung NOS"
288832018,"Malignant neoplasm of other sites of bronchus or lung"
292105018,"[X]Malignant neoplasm of bronchus or lung, unspecified"
403688010,"Malignant neoplasm of upper lobe, bronchus or lung"
403689019,"Malignant neoplasm of bronchus or lung NOS"
414849013,"Pancoast's syndrome"
1219789016,"[M]Bronchiolo-alveolar adenocarcinoma"
1227559018,"[V]Personal history of malignant neoplasm of bronchus"
1227560011,"[V]Personal history of malignant neoplasm of lung"
1227561010,"[V]Personal history of malignant neoplasm of trachea"
880071000006115,"Ca lower lobe bronchus/lung"
808161000006113,"H/O: * bronchus"
723301000006110,"Malignant neoplasm of overlapping lesion of bronchus & lung"
808291000006114,"H/O: * trachea/lung"
880031000006118,"Ca trachea/bronchus/lung NOS"
880051000006113,"Ca upper lobe bronchus/lung"
721391000006116,"Malignant neoplasm of trachea"
733371000006119,"Lung cancer"
305201000006114,"[M]Alveolar cell carcinoma"
880061000006110,"Ca middle lobe bronchus/lung"
396381000006118,"[X]Malignant neoplasm of respiratory and intrathoracic orga"
808281000006111,"H/O: * trachea"
880041000006111,"Ca trachea/bronchus/lung"
344781000006115,"[V]Personal history of malig neop of trachea/bronchus/lung"
306131000006118,"[M]Bronchiolar carcinoma"
305181000006113,"[M]Alveolar adenocarcinoma"
