Code,Description
43850011,"Primary pulmonary hypertension"
146259010,"Secondary pulmonary hypertension"
350517010,"Thromboembolic pulmonary hypertension"
7501621000006118,"Idiopathic pulmonary arterial hypertension"
5057801000006113,"Chronic thromboembolic pulmonary hypertension"
3654641000006115,"PHT - Pulmonary hypertension"
2598561000006116,"Cirrhosis-familial with pulmonary hypertension"
2297911000000113,"Pulmonary arterial hypertension drugs Band 2"
2681651000006116,"Pulmonary hypertensive arterial disease"
2297991000000116,"Pulmonary arterial hypertension drugs Band 4"
7052811000006113,"Right heart failure due to pulmonary hypertension"
2297951000000112,"Pulmonary arterial hypertension drugs Band 3"
905451000006118,"[RFC] Pulmonary embolism/pulmonary hypertension"
3654631000006113,"Pulmonary hypertension"
351421000000117,"Primary pulmonary hypertension drugs Band 3"
2297871000000111,"Pulmonary arterial hypertension drugs Band 1"
351401000000114,"Primary pulmonary hypertension drugs Band 2"
351441000000112,"Primary pulmonary hypertension drugs Band 4"
5590581000006114,"Pulmonary hypertension with occult mitral stenosis"
1749291000006113,"Thromboembolic pulmonary hypertension"
351381000000114,"Primary pulmonary hypertension drugs Band 1"
2681661000006119,"Hypertensive pulmonary arterial disease"
