Code,Description
105227013,"Chronic pyelonephritis"
251766019,"H/O: recurrent cystitis"
304060010,"Chronic pyelonephritis without medullary necrosis"
304061014,"Chronic pyelonephritis with medullary necrosis"
304067013,"Chronic pyelonephritis NOS"
304184016,"Other chronic cystitis"
304186019,"Chronic cystitis unspecified"
304187011,"Other chronic cystitis NOS"
304205011,"Recurrent cystitis"
304319014,"Recurrent urinary tract infection"
304321016,"Chronic urinary tract infection"
305202016,"[X]Other chronic cystitis"
183161000006111,"Recurrent urinary tract infections"
7083311000006117,"Chronic lower urinary tract infection"
886751000006113,"Chronic cystitis"
5097691000006113,"Recurrent infective cystitis"
183141000006112,"Recurrent urinary tract infection"
4541071000006113,"History of recurrent cystitis"
5096731000006115,"Chronic infective cystitis"
7251601000006112,"History of chronic urinary tract infection"
3612491000006114,"Common bile duct stone with chronic cholecystitis"
7005451000006113,"Recurrent obstructive pyelonephritis"
4789231000006111,"Non-obstructive reflux-associated chronic pyelonephritis"
3529461000006113,"CPN - Chronic pyelonephritis"
4790241000006110,"Recurrent UTI - urinary tract infection"
12729331000006116,"Chronic cystitis unspecified"
5560201000006117,"Acute recurrent cystitis"
5096761000006112,"Recurrent cystitis - culture-negative"
585761000006118,"Nonobstructive reflux-associated chronic pyelonephritis"
1142671000000115,"History of recurrent urinary tract infection"
7083321000006113,"Chronic lower UTI (urinary tract infection)"
183171000006116,"Recurrent UTI"
