Code,Description
95067016,"Felty's syndrome"
116082011,"Rheumatoid arthritis"
251794010,"H/O: rheumatoid arthritis"
297544012,"Polyneuropathy in rheumatoid arthritis"
297641010,"Myopathy due to rheumatoid arthritis"
309787016,"Rheumatoid arthritis of cervical spine"
309788014,"Other rheumatoid arthritis of spine"
309789018,"Rheumatoid arthritis of shoulder"
309790010,"Rheumatoid arthritis of sternoclavicular joint"
309791014,"Rheumatoid arthritis of acromioclavicular joint"
309792019,"Rheumatoid arthritis of elbow"
309794018,"Rheumatoid arthritis of wrist"
309798015,"Rheumatoid arthritis of hip"
309800010,"Rheumatoid arthritis of knee"
309802019,"Rheumatoid arthritis of ankle"
309803012,"Rheumatoid arthritis of subtalar joint"
309804018,"Rheumatoid arthritis of talonavicular joint"
309805017,"Rheumatoid arthritis of other tarsal joint"
309812014,"Rheumatoid bursitis"
309816012,"Flare of rheumatoid arthritis"
311496011,"Fibrosing alveolitis associated with rheumatoid arthritis"
312518013,"[X]Other seropositive rheumatoid arthritis"
312520011,"[X]Other specified rheumatoid arthritis"
312534011,"[X]Seropositive rheumatoid arthritis, unspecified"
359292012,"Seronegative rheumatoid arthritis"
426510015,"Rheumatoid arthritis - multiple joint"
451461014,"Seropositive errosive rheumatoid arthritis"
485614018,"Rheumatoid nodule"
1778239014,"Rheumatoid lung disease"
1779323014,"Rheumatoid vasculitis"
1786505011,"Caplan's syndrome"
1786545019,"Rheumatoid lung"
2839291014,"Disease activity score 28 joint in rheumatoid arthritis"
2842168015,"Disease activity score in rheumatoid arthritis"
1932121000006116,"3D study - problems with rheumatoid arthritis management"
162141000006118,"Rheumatoid arthritis of sacro-iliac joint"
424981000006114,"[X]Rheumatoid arthritis+involvement/other organs or systems"
11903911000006111,"Seropositive errosive rheumatoid arthritis"
909191000006119,"[RFC] Rheumatoid arthritis"
162301000006117,"Rheumatoid lung"
889761000006119,"Rheum. arth. - knee joint"
1875611000006116,"Rheumatoid arthritis monitoring invitation third letter"
4809221000006114,"Rheumatoid arthritis of first metatarsophalangeal joint"
3636521000006117,"Chronic rheumatic arthritis"
168751000006115,"Rheumatoid arthritis and other inflammatory polyarthropathy"
2275831000000110,"Rheumatoid arthritis monitoring telephone invitation"
6608791000006111,"Caplans syndrome"
2275671000000111,"Rheumatoid arthritis monitoring invitation first letter"
2670341000006112,"Diffuse interstitial rheumatoid disease of lung"
889771000006114,"Rheum. arth. - hip joint"
4541331000006113,"History of rheumatoid arthritis"
7099641000006113,"Rheumatoid arthritis of foot"
889821000006118,"Rheum. arth. - multiple joint"
989321000006115,"Rheum. arth. - knee joint"
168761000006118,"Rheumatoid arthritis of 1st MTP joint"
371261000000111,"Delivery of rehabilitation for rheumatoid arthritis"
1785221000006119,"Exception reporting: rheumatoid arthritis quality indicators"
889781000006112,"Rheum. arth. - hand joint"
8425381000006118,"Rheumatoid Arthritis Impact of Disease questionnaire score"
3636541000006112,"RA - Rheumatoid arthritis"
889751000006116,"Rheum. arth. - ankle/foot"
162041000006117,"Rheumatoid arthritis of DIP joint of finger"
1785231000006116,"Except rheumatoid arthritis quality indicator: pt unsuitable"
2275711000000112,"Rheumatoid arthritis monitoring invitation second letter"
2196791000000119,"Rheumatoid arthritis annual review"
3428901000006117,"Rheumatoid arthritis, leucopenia AND splenomegaly"
12626381000006115,"QOF (Quality and Outcomes Framework) rheumatoid arthritis quality indicator-related care invitation"
1875581000006112,"Rheumatoid arthritis monitoring verbal invitation"
889811000006114,"Rheum. arth. - shoulder joint"
5721431000006114,"Rheumatoid arthritis of multiple joints"
2640821000000117,"Rheumatoid Arthritis Impact of Disease questionnaire"
889731000006111,"Rheumatoid arthritis NOS"
2275791000000115,"Rheumatoid arthritis monitoring verbal invitation"
4809101000006114,"Rheumatoid arthritis of distal radioulnar joint"
3428911000006119,"Felty syndrome"
162111000006117,"Rheumatoid arthritis of MCP joint"
3042581000006110,"Chronic rheumatoid nodular fibrosis"
162341000006115,"Rheumatoid nodule"
989291000006112,"Rheum. arth. - wrist joint"
1875571000006114,"Rheumatoid arthritis monitoring telephone invitation"
889741000006118,"Rheum. arth. - other joint"
989311000006111,"Rheum. arth. - hip joint"
889801000006111,"Rheum. arth. - elbow joint"
2275501000000119,"Rheumatoid arthritis monitoring invitation"
149911000006117,"Seropositive rheumatoid arthritis, unspecified"
162191000006110,"Rheumatoid arthritis of tibio-fibular joint"
3428891000006116,"Rheumatoid arthritis, leukopenia AND splenomegaly"
1875601000006119,"Rheumatoid arthritis monitoring invitation second letter"
3636561000006111,"RhA - Rheumatoid arthritis"
162051000006115,"Rheumatoid arthritis of distal radio-ulnar joint"
1875561000006119,"Rheumatoid arthritis monitoring invitation"
8425391000006115,"RAID (Rheumatoid Arthritis Impact of Disease) questionnaire score"
162081000006111,"Rheumatoid arthritis of IP joint of toe"
6608781000006113,"Caplan's syndrome"
162131000006111,"Rheumatoid arthritis of PIP joint of finger"
3042571000006112,"Subcutaneous rheumatoid nodule"
4809181000006117,"Rheumatoid arthritis of tibiofibular joint"
162101000006115,"Rheumatoid arthritis of lesser MTP joint"
1785241000006114,"Except rheumatoid arthritis qual indicator: informed dissent"
889791000006110,"Rheum. arth. - wrist joint"
989301000006113,"Rheum. arth. - hand joint"
2275751000000111,"Rheumatoid arthritis monitoring invitation third letter"
1875591000006110,"Rheumatoid arthritis monitoring invitation first letter"
989331000006117,"Rheum. arth. - ankle/foot"
