Code,Description
300366019,"Cerebellar stroke syndrome"
405339016,"Stroke and cerebrovascular accident unspecified"
449935012,"Admission to stroke unit"
451371010,"H/O: Stroke in last year"
1227591017,"[V]Personal history of stroke"
1227592012,"[V]Personal history of cerebrovascular accident (CVA)"
2476091017,"H/O: stroke"
605501000006117,"CVA unspecified"
6837051000006119,"Basal ganglion stroke"
4778181000006119,"Left sided cerebral hemisphere cerebrovascular accident"
524511000006116,"Brain stem stroke syndrome"
8195421000006116,"Cerebrovascular accident (CVA) 6 month review"
5010981000006119,"Stroke"
306621000000116,"Seen in stroke clinic"
968341000006116,"Annual Stroke/CVA blood test"
2126181000000114,"Stroke annual review"
884521000006115,"Stroke/CVA - undefined"
12727691000006117,"Stroke and cerebrovascular accident unspecified"
605491000006113,"CVA - Cerebrovascular accident unspecified"
809421000006116,"H/O: CVA/stroke"
5011161000006115,"Lacunar stroke"
907591000006116,"[RFC] Stroke"
7519441000006112,"Cerebrovascular accident annual review"
4057041000006110,"Brain stem stroke"
9912271000006112,"Cerebellar stroke"
122401000006115,"Stroke unspecified"
8195431000006118,"Stroke/cerebrovascular accident 6 month review"
8265471000006116,"Acute stroke care"
5960971000006110,"Seen by stroke service"
908801000006114,"[RFC] Stroke"
4778201000006118,"Right sided cerebral hemisphere cerebrovascular accident"
884531000006117,"Stroke"
907581000006119,"[RFC] Stroke/CVA"
1160471000000111,"Stroke 6 month review"
8221321000006118,"Stroke and TIA"
