Code,Description
265689012,"Evacuation of haematoma from temporal lobe of brain"
265690015,"Evacuation of haematoma from cerebellum"
265692011,"Evacuation of intracerebral haematoma NEC"
300242011,"Ruptured berry aneurysm"
300244012,"Subarachnoid haemorrhage from carotid siphon and bifurcation"
300253017,"Subarachnoid haemorrhage from vertebral artery"
300257016,"Subarachnoid haemorrhage NOS"
300276019,"External capsule haemorrhage"
300277011,"Intracerebral haemorrhage, intraventricular"
300287010,"Intracerebral haemorrhage NOS"
300406018,"Sequelae of subarachnoid haemorrhage"
300407010,"Sequelae of intracerebral haemorrhage"
300935019,"[X]Subarachnoid haemorrhage from other intracranial arteries"
300936018,"[X]Other subarachnoid haemorrhage"
300939013,"[X]Other intracerebral haemorrhage"
300956017,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
345675012,"Lobar cerebral haemorrhage"
359985011,"Intracerebral haemorrhage in fetus or newborn"
481028017,"Subarachnoid haemorrhage"
483988011,"Bulbar haemorrhage"
495394013,"Cortical haemorrhage"
496232015,"Internal capsule haemorrhage"
502878012,"Cerebellar haemorrhage"
503469016,"Pontine haemorrhage"
2841171000006115,"Subarachnoid intracranial hemorrhage"
122371000006118,"Stroke due to intracerebral haemorrhage"
3687811000006118,"Cerebral hemisphere haemorrhage"
123441000006112,"Subarachnoid haemorrh from intracranial artery, unspecif"
7134241000006113,"Intraparenchymal haematoma of brain"
4837751000006110,"Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn"
123521000006118,"Subarachnoid haemorrhage from posterior communicating artery"
605471000006112,"CVA - cerebrovascular accid due to intracerebral haemorrhage"
2871271000006114,"Intraventricular haemorrhage"
11919571000006110,"[X]Other intracerebral haemorrhage"
11926191000006117,"Intracerebral (nontraumatic) haemorrhage of fet and newborn"
744901000006114,"Intracerebral haemorrhage"
2841161000006110,"Subarachnoid intracranial haemorrhage"
5597491000006112,"Ruptured aneurysm of middle cerebral artery"
4056931000006116,"Brain stem haemorrhage"
4777721000006118,"Subarachnoid hemorrhage from carotid siphon and bifurcation"
5011291000006119,"Haemorrhagic cerebral infarction"
2871261000006119,"Intraventricular hemorrhage"
5898461000006119,"Cerebellar haematoma"
5011581000006119,"Subarachnoid haemorrhage due to ruptured aneurysm"
4777881000006112,"Intracerebral haemorrhage, multiple localised"
4837741000006113,"Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn"
989211000006119,"Cerebral haemorrhage NOS"
5058411000006114,"Ruptured cerebral aneurysm"
6593131000006114,"Nontraumatic epidural hemorrhage"
4644331000006116,"Aspiration of brain hematoma"
12762021000006116,"Cerebral hemorrhage"
5597601000006115,"Ruptured aneurysm of basilar artery"
4777891000006110,"Intracerebral hemorrhage, multiple localized"
5583061000006119,"Subarachnoid haemorrhage from anterior communicating artery aneurysm"
13031191000006112,"Cerebral hemorrhage"
5560161000006111,"Intracerebral hemorrhage (ICH)"
2841141000006111,"SAH - Subarachnoid haemorrhage"
12223111000006115,"Intracerebral hemorrhage"
746571000006116,"Intracerebral haemorrhage, multiple localized"
4777831000006111,"External capsule hemorrhage"
5898441000006118,"Haematoma of brain"
4777861000006119,"Intracerebral haemorrhage with intraventricular haemorrhage"
744921000006116,"Intracerebral haemorrhage in hemisphere, unspecified"
4644231000006112,"Evacuation of hematoma from temporal lobe of brain"
4777701000006111,"Ruptured saccular aneurysm"
3719851000006116,"Cerebellar hemorrhage"
2666411000006111,"Evacuation of intracerebral hematoma"
123481000006118,"Subarachnoid haemorrhage from anterior communicating artery"
2837001000006117,"Subarachnoid haemorrhage from any perinatal cause"
4540691000006112,"History of subarachnoid haemorrhage"
2622641000006116,"Intrapontine hemorrhage"
163261000006119,"Right sided intracerebral haemorrhage, unspecified"
5583111000006118,"Subarachnoid hemorrhage from basilar artery aneurysm"
2836981000006110,"Perinatal subarachnoid hemorrhage"
2622631000006114,"Intrapontine haemorrhage"
4777761000006112,"Intracranial subarachnoid haemorrhage from vertebral artery"
428181000006115,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
495061000006113,"Aspiration of haematoma of brain tissue"
4540681000006114,"History of subarachnoid hemorrhage"
5011331000006114,"Anterior cerebral circulation haemorrhagic infarction"
2622651000006119,"Pontine hemorrhage"
8089851000006116,"Nontraumatic intracerebral haemorrhage"
4777851000006116,"Intracerebral hemorrhage, intraventricular"
12223121000006111,"ICH - intracerebral haemorrhage"
5597611000006117,"Ruptured aneurysm of posterior inferior cerebellar artery"
12722481000006116,"Right sided intracerebral haemorrhage, unspecified"
4778331000006118,"Sequelae of subarachnoid hemorrhage"
7951271000006116,"Haemorrhage of medulla oblongata"
7378401000006111,"Traumatic intracerebral hemorrhage"
5583101000006116,"Subarachnoid haemorrhage from basilar artery aneurysm"
503791000006114,"Basal nucleus haemorrhage"
4777751000006110,"Intracranial subarachnoid hemorrhage from vertebral artery"
884421000006119,"Cerebral haemorrhage"
12223101000006118,"Intracerebral haemorrhage"
5111331000006119,"Pituitary haemorrhage"
2841151000006113,"SAH - Subarachnoid hemorrhage"
4644251000006117,"Evacuation of hematoma from cerebellum"
4540671000006111,"H/O subarachnoid hemorrhage"
7951281000006118,"Hemorrhage of medulla oblongata"
884451000006111,"Cerebral haemorrhage NOS"
12223131000006114,"ICH - intracerebral hemorrhage"
12761901000006117,"Subarachnoid hemorrhage"
748941000006115,"Left sided intracerebral haemorrhage, unspecified"
5583081000006112,"Subarachnoid haemorrhage from posterior communicating artery aneurysm"
4777741000006113,"Subarachnoid hemorrhage from vertebral artery"
5146111000006110,"Intracerebral haemorrhage in fetus or newborn"
4777871000006114,"Intracerebral hemorrhage with intraventricular hemorrhage"
11903571000006110,"Stroke due to intracerebral haemorrhage"
2871241000006118,"Ventricular haemorrhage"
3346051000006110,"Internal capsule hemorrhage"
5518041000006112,"Spontaneous subarachnoid haemorrhage"
123491000006115,"Subarachnoid haemorrhage from basilar artery"
4644321000006119,"Aspiration of brain haematoma"
123511000006114,"Subarachnoid haemorrhage from middle cerebral artery"
894091000006111,"Cerebral haemorrhage - birth"
5011401000006110,"Lobar cerebral hemorrhage"
989201000006117,"Cerebral haemorrhage"
2837011000006119,"Perinatal intracranial subarachnoid haemorrhage"
5583021000006113,"Subarachnoid haemorrhage from middle cerebral artery aneurysm"
3850501000006119,"Epidural hemorrhage"
