Code,Description
102489017,"Drop attack"
145925010,"Amaurosis fugax"
251692018,"H/O: TIA"
300348012,"Other transient cerebral ischaemia"
300349016,"Transient cerebral ischaemia NOS"
300352012,"Impending cerebral ischaemia"
300353019,"Intermittent cerebral ischaemia"
345684012,"Carotid territory transient ischaemic attack"
395783012,"Transient ischaemic attack"
395788015,"Transient cerebral ischaemia"
8196661000006116,"Transient ischaemic attack monthly review"
3645721000006118,"Amaurosis"
3930471000006118,"AF - Amaurosis fugax"
988951000006117,"Transient Ischaemic Attacks"
5011511000006114,"Carotid territory transient ischemic attack"
5492201000006111,"TIA - Transient ischaemic attack"
2171081000000116,"H/O amaurosis fugax"
884511000006111,"Transient Ischaemic Attacks"
3930501000006113,"Amaurosis fugax (one sided temporary vision loss)"
1539341000006111,"No H/O: TIA"
3502131000006111,"Drop attacks"
5011521000006118,"Vertebrobasilar territory transient ischaemic attack"
9478331000006110,"Amaurosis fugax of right eye"
1667741000000110,"[V]Personal history of transient ischaemic attack"
3930481000006115,"AFx - Amaurosis fugax"
5011491000006115,"Anterior circulation transient ischaemic attack"
12733221000006110,"Transient cerebral ischaemia NOS"
8231151000006110,"Personal history of transient ischaemic attack"
1148331000000111,"Transient ischaemic attack clinical management plan"
416991000006112,"[X]Other transnt cerebral ischaemic attacks+related syndroms"
95931000006111,"Transient cerebral ischaemia NOS"
622321000000113,"[D]Drop attack"
9577291000006114,"History of amaurosis fugax"
