Code,Description
153380017,"Carcinoma in situ of thyroid gland"
288802014,"Malignant neoplasm of thyroid cartilage"
290777012,"Carcinoma in situ of thyroid cartilage"
291018014,"Neoplasm of uncertain behaviour of thyroid cartilage"
291451012,"[M]Thyroid adenoma and adenocarcinoma"
291454016,"[M]Thyroid adenoma or adenocarcinoma NOS"
292154013,"[X]Malignant neoplasm of thyroid and other endocrine glands"
511931018,"Neoplasm of uncertain behaviour of thyroid gland"
1227582016,"[V]Personal history of malignant neoplasm of thyroid"
3435771000006116,"Hurthle cell carcinoma"
12762121000006115,"Malignant tumor of thyroid gland"
4041281000006118,"Cancer metastatic to thyroid"
5354781000006116,"Papillary thyroid carcinoma, follicular variant"
7761601000006113,"Papillary thyroid carcinoma with renal papillary neoplasia"
3953661000006119,"Hurthle cell tumour"
5354791000006118,"Follicular variant of papillary thyroid carcinoma"
7642331000006116,"Diffuse sclerosing papillary thyroid carcinoma"
308761000006110,"[M]Follicular adenocarcinoma, trabecular type"
6052791000006113,"Metastasis from malignant tumour of thyroid"
4008961000006115,"Cancer in situ of thyroid"
6051881000006111,"Local recurrence of malignant tumour of thyroid gland"
4392241000006113,"Neoplasm of thyroid gland"
6246951000006113,"Thyroid cancer"
7645511000006110,"Metastatic papillary thyroid carcinoma"
4041261000006111,"Metastatic malignant neoplasm to thyroid gland"
5354751000006112,"Papillary thyroid carcinoma"
7344891000006114,"Follicular neoplasm of thyroid"
5354811000006119,"Medullary thyroid carcinoma"
5354731000006117,"Follicular thyroid carcinoma"
6249091000006110,"Hurthle cell neoplasm"
6246931000006118,"Malignant tumour of thyroid gland"
7034801000006116,"Thyroid cancer metastatic to bone"
5608041000006119,"Malignant lymphoma of thyroid gland"
15002601000006116,"Metastatic papillary adenocarcinoma to thyroid"
6051891000006114,"Local recurrence of malignant tumor of thyroid gland"
3953641000006118,"Hurthle cell tumor"
13518981000006110,"Primary differentiated carcinoma of thyroid gland"
4029031000006113,"Primary malignant neoplasm of thyroid gland"
7351581000006113,"Carcinoma of thyroid"
4008941000006119,"Carcinoma in situ of thyroid gland"
7002661000006115,"Hurthle cell carcinoma of thyroid"
310161000006110,"[M]Hurthle cell adenocarcinoma"
5354761000006114,"PTC - Papillary thyroid carcinoma"
721291000006110,"Malignant neoplasm of thyroid gland"
4051571000006116,"Neoplasm of uncertain behavior of thyroid gland"
907351000006119,"[RFC] Cancer of the thyroid"
4041251000006114,"Secondary malignant neoplasm of thyroid gland"
7100571000006116,"History of papillary thyroid carcinoma"
15086931000006118,"Metastatic malignant neoplasm to lymph nodes of neck from primary malignant neoplasm of thyroid"
5354801000006117,"Anaplastic thyroid carcinoma"
7857741000006115,"Primary poorly differentiated carcinoma of thyroid gland"
5354741000006110,"FTC - Follicular thyroid carcinoma"
13031451000006110,"Malignant tumor of thyroid gland"
5354771000006119,"Mixed follicular and papillary thyroid carcinoma"
4756541000006115,"Neoplasm of uncertain behavior of thyroid cartilage"
