Code,Description
73466011,"Non-insulin dependent diabetes mellitus"
197761014,"Type 2 diabetes mellitus"
264679015,"Diabetic on diet only"
264681018,"Diabetic on oral treatment"
292576013,"Type II diabetes mellitus with multiple complications"
292577016,"Type 2 diabetes mellitus with multiple complications"
292579018,"Type 2 diabetes mellitus with ulcer"
292581016,"Type II diabetes mellitus with ulcer"
292582011,"Type II diabetes mellitus with gangrene"
292583018,"Type 2 diabetes mellitus with gangrene"
292589019,"Type II diabetes mellitus - poor control"
292590011,"Type 2 diabetes mellitus - poor control"
306113018,"Pre-existing diabetes mellitus, non-insulin-dependent"
457328010,"Non-insulin-dependent diabetes mellitus without complication"
457329019,"Type 2 diabetes mellitus without complication"
457330012,"Type II diabetes mellitus without complication"
459167016,"Type 2 diabetes mellitus with hypoglycaemic coma"
459169018,"Type II diabetes mellitus with hypoglycaemic coma"
459306016,"Type II diabetes mellitus with peripheral angiopathy"
459308015,"Type 2 diabetes mellitus with peripheral angiopathy"
459309011,"Non-insulin dependent diabetes mellitus with arthropathy"
459310018,"Type 2 diabetes mellitus with arthropathy"
459311019,"Type II diabetes mellitus with arthropathy"
459312014,"Type II diabetes mellitus with neuropathic arthropathy"
459313016,"Type 2 diabetes mellitus with neuropathic arthropathy"
493773010,"NIDDM - Non-insulin dependent diabetes mellitus"
493774016,"Type II diabetes mellitus"
1223147012,"Insulin treated Type II diabetes mellitus"
1223148019,"Insulin treated non-insulin dependent diabetes mellitus"
1488898011,"Hyperosmolar non-ketotic state in type 2 diabetes mellitus"
12336541000006114,"Retinopathy co-occurrent and due to type 2 diabetes mellitus"
84601000006110,"Type 2 diabetes mellitus with polyneuropathy"
280521000006117,"Non-insulin dependent diabetes mellitus with mononeuropathy"
12702421000006111,"Type II diabetes mellitus with ophthalmic complications"
12489851000006117,"Type II diabetes mellitus with exudative maculopathy"
914031000006118,"Type 2 diabetes mellitus with renal complications"
84521000006116,"Type 2 diabetes mellitus with hypoglycaemic coma"
280591000006115,"Non-insulin-dependent diabetes mellitus with neuro comps"
928541000006117,"Type 2 diabetes mellitus with persistent proteinuria"
84591000006119,"Type 2 diabetes mellitus with peripheral angiopathy"
85011000006119,"Type II diabetes mellitus without complication"
928601000006118,"Type 2 diabetes mellitus with ketoacidotic coma"
5110001000006118,"Pregnancy and type 2 diabetes mellitus"
12702411000006115,"Type II diabetes mellitus with neurological complications"
914161000006114,"Type II diabetes mellitus with retinopathy"
84891000006116,"Type II diabetes mellitus with hypoglycaemic coma"
7966941000006116,"Angina associated with type II diabetes mellitus"
