Code,Description
107644019,"Ulcerative colitis"
302956014,"Ulcerative proctocolitis NOS"
303762015,"[X]Other ulcerative colitis"
309743013,"Arthropathy in ulcerative colitis"
309836013,"Juvenile arthritis in ulcerative colitis"
411543016,"H/O: ulcerative colitis"
435370011,"Ulcerative proctocolitis"
496249010,"Ulcerative proctitis"
496332018,"Ulcerative rectosigmoiditis"
2532953017,"Exacerbation of ulcerative colitis"
2872721013,"Ulcerative pancolitis"
5574431000006111,"History of ulcerative colitis"
3346671000006113,"Chronic ulcerative proctitis"
3351311000006117,"Chronic ulcerative rectosigmoiditis"
3346691000006114,"Ulcerative colitis confined to rectum"
85891000006115,"Ulcerative (chronic) enterocolitis"
906191000006113,"[RFC] Ulcerative colitis"
3351351000006116,"Ulcerative proctosigmoiditis"
3351321000006113,"Chronic ulcerative proctosigmoiditis"
3351341000006118,"Ulcerative colitis confined to rectum and sigmoid colon"
3346681000006111,"UC - Ulcerative colitis confined to rectum"
3553391000006113,"UC - Ulcerative colitis"
85931000006112,"Ulcerative colitis and/or proctitis"
