Code,Description
30273012,"Portal vein thrombosis"
64466019,"Hepatic vein thrombosis"
216205019,"Deep vein thrombosis of leg related to air travel"
296931015,"Phlebitis and thrombophlebitis of intracranial sinuses"
296932010,"Embolism cavernous sinus"
296933017,"Embolism superior longitudinal sinus"
296934011,"Embolism lateral sinus"
296935012,"Embolism transverse sinus"
296936013,"Embolism central nervous system venous sinus NOS"
296938014,"Thrombosis of superior longitudinal sinus"
296939018,"Thrombosis transverse sinus"
296940016,"Thrombosis of central nervous system venous sinus NOS"
296947018,"Thrombophlebitis of central nervous system venous sinuses"
296948011,"Thrombophlebitis of cavernous sinus"
296949015,"Thrombophlebitis of superior longitudinal venous sinus"
296950015,"Thrombophlebitis lateral venous sinus"
296951016,"Thrombophlebitis of central nervous system venous sinus NOS"
300672010,"Thrombophlebitis of the femoral vein"
300673017,"Thrombophlebitis of the popliteal vein"
300674011,"Thrombophlebitis of the anterior tibial vein"
300675012,"Thrombophlebitis of the dorsalis pedis vein"
300676013,"Thrombophlebitis of the posterior tibial vein"
300677016,"Deep vein thrombophlebitis of the leg unspecified"
300681016,"Deep vein phlebitis and thrombophlebitis of the leg NOS"
300682011,"Phlebitis and thrombophlebitis of the leg NOS"
300691010,"Thrombophlebitis of the common iliac vein"
300692015,"Thrombophlebitis of the internal iliac vein"
300695018,"Thrombophlebitis of the external iliac vein"
300696017,"Thrombophlebitis of the iliac vein unspecified"
300697014,"Phlebitis and thrombophlebitis of the iliac vein NOS"
300704016,"Other venous embolism and thrombosis"
300710016,"Embolism and thrombosis of the vena cava"
300711017,"Embolism and thrombosis of the renal vein"
300714013,"Embolus of vein NOS"
300975010,"[X]Embolism and thrombosis of other specified veins"
395801015,"Deep vein phlebitis and thrombophlebitis of the leg"
395803017,"Thrombosis of vein NOS"
412645018,"Phlebitis and/or thrombophlebitis of iliac vein"
419640012,"Thrombosis of inferior vena cava"
437622013,"Axillary vein thrombosis"
453210011,"Thrombosis of vein of leg"
1221072019,"Embolism of central nervous system venous sinus"
1222321017,"Embolism of vein NOS"
1235913017,"Cerebral vein thrombosis"
2162148012,"DVT - Deep vein thrombosis"
2162149016,"Deep vein thrombosis"
2162422011,"Deep vein thrombosis of lower limb"
2534187010,"Deep vein thrombosis of leg related to intravenous drug use"
2795114019,"Thrombosis of subclavian vein"
3636257010,"Iliac vein thrombosis"
3636258017,"Thrombosis of iliac vein"
905491000006112,"[RFC] Venous thrombosis"
218551000000118,"Deep vein thrombosis, leg"
7966351000006118,"Acute deep vein thrombosis of lower limb"
4768601000006110,"Thrombophlebitis of cavernous venous sinus"
14194871000006116,"Acute DVT (deep vein thrombosis) of right peroneal vein"
4056781000006117,"Thrombosis of pelvic vein"
5059271000006110,"Thrombosis of vein of lower leg"
7098321000006117,"Venous thromboembolic disease"
2234371000000119,"Thrombosis of internal jugular vein"
7078581000006116,"Deep venous thrombosis of deep femoral vein"
8041601000006114,"Acute deep venous thrombosis of ileofemoral vein"
2488341000000112,"Unprovoked deep vein thrombosis"
7273741000006119,"Deep venous thrombosis of peroneal vein"
5011651000006111,"Cerebral venous thrombosis of sigmoid sinus"
100721000006111,"Thrombosis of central nervous system venous sinuses"
12127261000006118,"Thrombophlebitis of right jugular vein"
8361031000006115,"Provoked DVT (deep vein thrombosis)"
14194181000006112,"Acute DVT (deep vein thrombosis) of left peroneal vein"
7078591000006118,"Thrombosis of the popliteal vein"
6018511000006117,"Intracranial thrombophlebitis"
6694771000006115,"Deep venous thrombosis of lower limb"
884751000006115,"Venous thrombosis NOS"
4403261000006113,"DVT - Deep vein thrombosis"
5992311000006119,"Thrombosis of vein of lower limb"
100701000006118,"Thrombosis lateral sinus"
8041571000006119,"Acute deep venous thrombosis"
1729331000006116,"Cerebral venous thrombosis"
3648381000006112,"Thrombosis of superior sagittal sinus"
6018501000006115,"Venous thrombosis, phlebitis and thrombophlebitis"
2725621000006114,"Embolism of intracranial venous sinus"
12126881000006110,"Right lower limb vein thrombophlebitis"
2784341000006116,"Deep vein thrombosis of portal vein"
13949481000006112,"Deep vein thrombosis of lower extremity due to intravenous drug use"
216571000006116,"Post operative deep vein thrombosis"
5836951000006117,"Intracranial venous thrombosis"
2488381000000116,"Provoked deep vein thrombosis"
8042511000006119,"Acute deep venous thrombosis of internal jugular vein"
884731000006110,"Deep venous thrombosis - leg"
1119161000000115,"Deep vein thrombosis of peroneal vein"
7665071000006116,"Recurrent DVT (deep vein thrombosis)"
2234411000000115,"Thrombosis of external jugular vein"
6694751000006113,"DVT - Deep vein thrombosis of lower limb"
122561000006118,"Stuart-Brass syndrome"
8361011000006114,"Unprovoked DVT (deep vein thrombosis)"
12728641000006110,"Thrombosis of vein NOS"
5059321000006119,"Ileofemoral deep vein thrombosis"
4056971000006118,"Thrombosis of cerebral veins"
4785671000006113,"Deep venous thrombosis of the superior mesenteric vein"
3648391000006110,"Sagittal sinus thrombosis"
5912511000006114,"Septic thrombophlebitis of sagittal sinus"
639231000006117,"Embolus of central nervous system venous sinus"
2837981000006113,"Thrombosis of lateral venous sinus"
6018491000006111,"Thrombosis of vein of trunk"
527221000006115,"Budd - Chiari syndrome (hepatic vein thrombosis)"
2838001000006118,"Cerebral venous thrombosis of lateral sinus"
12719591000006119,"Embolus of vein NOS"
2765831000006118,"Deep thrombophlebitis"
5059251000006117,"Inferior mesenteric vein thrombosis"
5059381000006115,"Embolus of vein"
989221000006110,"Deep venous thrombosis - leg"
6694741000006111,"Deep venous thrombosis of lower extremity"
2144741000000111,"Recurrent deep vein thrombosis"
4768491000006118,"Thrombosis of intracranial venous sinus"
100821000006116,"Thrombus of the superior mesenteric veins"
12759341000006113,"Embolism of vein NOS"
542251000006112,"Cereb infarct due cerebral venous thrombosis, nonpyogenic"
231561000006110,"Phlebitis or thrombophlebitis of CNS venous sinus NOS"
3840171000006117,"Budd Chiari syndrome"
