Code,Description
1705016,"Valvular heart disease"
20721017,"Rheumatic aortic valve disease"
23410014,"Operation on chordae tendineae"
30011012,"Rheumatic aortic stenosis with insufficiency"
31287015,"Congenital aortic stenosis"
31507017,"Rheumatic pulmonary valve disease"
42309019,"Replacement of tricuspid valve"
43909016,"Replacement of aortic valve"
50085019,"Congenital mitral insufficiency"
52032016,"Rheumatic mitral insufficiency"
81186016,"Mitral valve regurgitation"
81191015,"Mitral valve incompetence"
81192010,"Mitral valve insufficiency"
81193017,"Mitral regurgitation"
88255012,"Replacement of mitral valve"
112523010,"Aortic valve sclerosis"
119660019,"Rheumatic aortic stenosis"
120221015,"Bicuspid aortic valve"
129504017,"Rheumatic aortic insufficiency"
136773016,"Congenital mitral stenosis"
143386015,"Rheumatic mitral stenosis"
145956019,"Replacement of pulmonary valve"
188662011,"Aortic valvuloplasty"
249643019,"Valveman"
251925011,"H/O: heart valve recipient"
251936016,"H/O: artificial heart valve"
265753010,"Renewal of valve of cerebroventricular shunt"
270869013,"Creation of valved cardiac conduit"
270874017,"Revision of valved cardiac conduit"
270876015,"Other specified creation of valved cardiac conduit"
270877012,"Creation of valved cardiac conduit NOS"
270917019,"Valves of heart and adjacent structures operations"
270932014,"Replacement of mitral valve NEC"
270933016,"Mitral valvuloplasty NEC"
270934010,"Other specified plastic repair of mitral valve"
270935011,"Plastic repair of mitral valve NOS"
270944012,"Allograft replacement of aortic valve"
270949019,"Replacement of aortic valve NEC"
270950019,"Aortic valvuloplasty NEC"
270951015,"Other specified plastic repair of aortic valve"
270952010,"Plastic repair of aortic valve NOS"
270963013,"Replacement of tricuspid valve NEC"
270965018,"Repositioning of tricuspid valve"
270966017,"Tricuspid valvuloplasty NEC"
270967014,"Other specified plastic repair of tricuspid valve"
270968016,"Plastic repair of tricuspid valve NOS"
270980012,"Replacement of pulmonary valve NEC"
270981011,"Pulmonary valvuloplasty NEC"
270982016,"Other specified plastic repair of pulmonary valve"
270983014,"Plastic repair of pulmonary valve NOS"
270987010,"Allograft replacement of valve of heart NEC"
270988017,"Xenograft replacement of valve of heart NEC"
270993019,"Replacement of valve of heart NEC"
270994013,"Valvuloplasty of heart NEC"
270995014,"Other specified plastic repair of unspecified valve of heart"
270996010,"Plastic repair of unspecified valve of heart NOS"
270997018,"Revision of plastic repair of valve of heart"
270998011,"Revision of plastic repair of mitral valve"
270999015,"Revision of plastic repair of aortic valve"
271000016,"Revision of plastic repair of tricuspid valve"
271001017,"Revision of plastic repair of pulmonary valve"
271002012,"Other specified revision of plastic repair of valve of heart"
271003019,"Revision of plastic repair of valve of heart NOS"
271005014,"Open heart valvotomy"
271006010,"Open incision of heart valve"
271010013,"Open mitral valvotomy"
271011012,"Open aortic valvotomy"
