Code,Description
2386018,"Jakob-Creutzfeldt disease"
21256010,"Presenile dementia"
22408016,"Pick's disease"
26545010,"Senile dementia"
45046017,"Alzheimer's disease"
51470011,"Normal pressure hydrocephalus"
149347010,"Binswanger's disease"
251625013,"H/O: dementia"
294635013,"Uncomplicated senile dementia"
294637017,"Uncomplicated presenile dementia"
294638010,"Presenile dementia with delirium"
294641018,"Presenile dementia with paranoia"
294642013,"Presenile dementia with depression"
294643015,"Presenile dementia NOS"
294644014,"Senile dementia with depressive or paranoid features"
294645010,"Senile dementia with paranoia"
294646011,"Senile dementia with depression"
294647019,"Senile dementia with depressive or paranoid features NOS"
294648012,"Senile dementia with delirium"
294652012,"Uncomplicated arteriosclerotic dementia"
294653019,"Arteriosclerotic dementia with delirium"
294654013,"Arteriosclerotic dementia with paranoia"
294655014,"Arteriosclerotic dementia with depression"
294656010,"Arteriosclerotic dementia NOS"
294660013,"Senile or presenile psychoses NOS"
294688019,"Drug-induced dementia"
294718018,"Dementia in conditions EC"
295668011,"[X]Dementia in Alzheimer's disease"
295671015,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
295672010,"[X]Dementia in Alzheimer's disease, unspecified"
295680015,"[X]Other vascular dementia"
295681016,"[X]Vascular dementia, unspecified"
295684012,"[X]Dementia in other diseases classified elsewhere"
295685013,"[X]Dementia in Pick's disease"
295686014,"[X]Dementia in Creutzfeldt-Jakob disease"
295687017,"[X]Dementia in Huntington's disease"
295688010,"[X]Dementia in Parkinson's disease"
295690011,"[X]Dementia in other specified diseases classif elsewhere"
295714013,"[X]Delirium superimposed on dementia"
299325013,"[X]Other Alzheimer's disease"
345092016,"Frontotemporal degeneration"
346929012,"Alcoholic dementia NOS"
401760017,"Other alcoholic dementia"
497559016,"Arteriosclerotic dementia"
499946014,"Alzheimer's disease with early onset"
500317011,"Alzheimer's disease with late onset"
1235534016,"Binswanger's encephalopathy"
1973271000006117,"Other vascular dementia, other symptoms, predominantly delusional"
423381000006111,"[X]Primary degen dementia of Alzheimer's type, senile onset"
1972501000006116,"Vascular dementia of acute onset, other symptoms, predominantly delusional"
2773841000006115,"Non-alcoholic Korsakoff psychosis"
1950461000006117,"Dementia PDS understanding illness - pillar not met (pt choice)"
1973501000006113,"Vascular dementia, unspecified, other symptoms, predominantly delusional"
1974271000006119,"Mental and behav dis mlti drg use/oth psych subs: resid/late psychot dis, dementia"
1950541000006115,"Dementia PDS planning future care - pillar not met (pt choice)"
1972421000006110,"Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly hallucinatory"
2748441000006111,"SD - Senile dementia"
2707661000006119,"Pick disease"
696161000006115,"Multi infarct dementia"
1950611000006118,"Dementia PDS (Scot) peer support - pillar not met (pt choice)"
1972871000006113,"Mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory"
6900221000006117,"SDAT - Senile dementia, Alzheimer's type"
1949711000006118,"Dementia support plan (Scot) absent at 12 months"
3341641000006113,"Dementia paralytica"
1972341000006111,"Dementia in Alzheimer's dis, atypical or mixed type, other mixed symptoms"
4768981000006114,"Cerebral degeneration due to Creutzfeldt-Jakob disease"
1805751000006115,"Variant Creutzfeldt-Jakob disease"
408481000000112,"Dementia monitoring verbal invite"
1950531000006113,"Dementia PDS planning future care-pillar not met(service reason)"
359141000006111,"[X] Senile dementia NOS"
7103601000006116,"Dementia due to Creutzfeldt-Jakob disease"
1949631000006115,"Dementia stage at diagnosis - early (mild)"
423391000006114,"[X]Primary degen dementia, Alzheimer's type, presenile onset"
1972791000006115,"Subcortical vascular dementia, other mixed symptoms"
1973341000006118,"Other vascular dementia, other symptoms, predominantly hallucinatory"
1774581000006113,"Refer to dementia care advisor"
1950701000006111,"Dementia PDS support comm. connectns - pillar status not known"
2707671000006114,"Picks disease"
2510981000006118,"CJD - Creutzfeldt-Jakob disease"
1950601000006116,"Dementia PDS (Scot) peer support-pillar not met (service reason)"
8009521000006114,"Dementia due to Picks disease"
1972191000006116,"Dementia in Alzheimer's disease with late onset, other symptoms, predominantly hallucinatory"
2510951000006114,"Creutzfeldt-Jakob disease"
7043651000006119,"Dementia associated with Parkinson's Disease"
1949621000006118,"Dementia stage at diagnosis"
2366181000000114,"Sporadic CJD (Creutzfeldt-Jakob disease)"
363041000006118,"[X]Alzheimer's disease type 2"
2502981000006117,"Alcohol-induced persisting dementia"
6900201000006110,"Dementia of the Alzheimers type, late onset"
294321000000111,"Excepted from dementia quality indicators: Informed dissent"
376541000006112,"[X]Dementia in Alzheimer's disease with late onset"
2366171000000112,"Sporadic Creutzfeldt-Jakob disease"
1949721000006114,"Dementia post diagnostic support (PDS) - transition arrangements"
1974931000006114,"Mental & behav dis due to tobacco: resid & late-onset psychot dis, dementia"
3414261000006114,"Multi infarct dementia"
1950481000006110,"Dementia PDS understanding illness - other pillar status"
408461000000115,"Dementia monitoring third letter"
1949611000006114,"Dementia post diagnostic support (Scotland)"
407461000000119,"Dementia monitoring"
1972371000006115,"Dementia in Alzheimer's disease, unspecified, without additional symptoms"
3964661000006114,"Subcortical atherosclerotic dementia"
1972931000006117,"Mixed cortical and subcortical vascular dementia, other mixed symptoms"
2502971000006115,"Dementia associated with alcoholism"
8009541000006119,"Dementia co-occurrent and due to Pick's disease"
148381000006115,"Senile/presenile dementia"
2510991000006115,"JCD - Jakob-Creutzfeldt disease"
2511011000006116,"Creutzfeldt Jakob disease"
2439671000000110,"Dementia care plan declined"
1972451000006118,"Dementia in Alzheimer's disease, unspecified, other symptoms, predominantly depressive"
6900241000006112,"Dementia in Alzheimer's disease - type 1"
1950451000006119,"Dementia PDS understanding illness-pillar not met(service reasn)"
7043661000006117,"Dementia associated with Parkinson Disease"
376571000006116,"[X]Dementia in human immunodef virus [HIV] disease"
1950551000006118,"Dementia PDS planning future care - other pillar status"
2931231000006118,"AD - Alzheimer's disease"
363021000006113,"[X]Alzheimer's dementia unspec"
1950621000006114,"Dementia PDS (Scot) peer support - other pillar status"
1973171000006112,"Mental and behav dis due to vol solvents: resid & late-onset psychotic dis, dementia"
1950521000006110,"Dementia PDS (Scot) planning future care - pillar partially met"
3964591000006117,"Subcortical leucoencephalopathy"
359241000006119,"[X] Unspecified dementia"
1949641000006113,"Dementia stage at diagnosis - mid (moderate)"
1972171000006117,"Dementia in Alzheimer's disease with late onset, without additional symptoms"
2620431000000115,"Shared care prescribing of drugs for dementia"
1972521000006114,"Vascular dementia of acute onset, other symptoms, predominantly hallucinatory"
408361000000111,"Dementia monitoring first letter"
1973461000006113,"Vascular dementia, unspecified, without additional symptoms"
2743011000000119,"Dementia advance care plan agreed"
2620471000000118,"Shared care prescribing of drugs for dementia declined"
1972311000006112,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive"
1949661000006112,"Dementia stage at diagnosis - undetermined"
1972081000006115,"Unspecified dementia, other mixed symptoms"
1972911000006111,"Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive"
1950871000006114,"Dementia link worker - other"
999961000006114,"Excepted from dementia quality indicators: Patient unsuitabl"
1950801000006115,"No longer has a dementia link worker"
1976831000006111,"Vascular dementia, unspecified, other mixed symptoms"
2773801000006117,"Non-alcoholic Korsakoff's psychosis"
6900181000006114,"Primary degenerative dementia of the Alzheimer type, senile onset"
1950581000006114,"Dementia PDS (Scot) peer support status - pillar met"
1972771000006116,"Subcortical vascular dementia, other symptoms, predominantly depressive"
12626321000006119,"QOF (Quality and Outcomes Framework) dementia quality indicator-related care invitation"
1950791000006116,"Dementia link worker - mental health CPN"
1950661000006115,"Dementia PDS support community connections -pillar partially met"
3964611000006111,"Binswanger's dementia"
7699251000006118,"Sporadic Jakob-Creutzfeldt disease"
1976091000006118,"Mental and behav dis due to other stimulants inc caffeine: resid/late-onset psycht dis, dementia"
1973531000006117,"Vascular dementia, unspecified, other symptoms, predominantly hallucinatory"
2345881000000115,"Dementia advance care plan agreed"
3630121000006110,"Korsakoff psychosis"
1972831000006110,"Mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional"
6897271000006114,"Dementia in Alzheimer's disease - type 2"
1972021000006119,"Unspecified dementia, without additional symptoms"
6897211000006117,"Primary degenerative dementia of the Alzheimer type, presenile onset"
6973431000006118,"Acquired immune deficiency syndrome-related dementia"
2931251000006113,"Alzheimer dementia"
1950731000006115,"Dementia PDS planning future decisn-making -pillar partially met"
882201000006116,"Senile dementia - simple type"
1950411000006115,"Dementia PDS(Scot)-understanding illness/managing symptms status"
1971541000006114,"Dementia in Alzheimer's disease with early onset, other symptoms, predominantly delusional"
2248021000000110,"Dementia care plan"
1973381000006112,"Other vascular dementia, other symptoms, predominantly depressive"
1856601000006111,"Dementia monitoring in primary care"
1950591000006112,"Dementia PDS (Scot) peer support status - pillar partially met"
1975591000006119,"Mental & behav dis due to use alcohol: resid & late-onset psychot dis, dementia"
7263011000006112,"Dementia due to Huntington disease"
2439711000000111,"Dementia care plan review declined"
1972291000006113,"Dementia in Alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory"
363031000006111,"[X]Alzheimer's disease type 1"
2931241000006111,"Alzheimer disease"
6973441000006111,"AIDS - Acquired immune deficiency syndrome dementia complex"
