Code,Description
3463017,"Anterior subcapsular polar cataract"
9918017,"Posterior subcapsular polar senile cataract"
15277015,"Total traumatic cataract"
21000016,"Coronary cataract"
36608018,"Cataract in degenerative disorder"
57359011,"Traumatic cataract"
57632013,"Posterior subcapsular polar cataract"
66160017,"Senile cataract"
67912012,"Punctate cataract"
73294018,"Diabetic cataract"
89579016,"Nuclear cataract"
107602013,"Myotonic cataract"
113312017,"Tetanic cataract"
126733015,"Cataract with neovascularization"
130863017,"Cortical senile cataract"
158572010,"Bilateral cataracts"
158573017,"Subcapsular cataract"
178759010,"Anterior subcapsular polar senile cataract"
253774010,"O/E - cataract present"
267088016,"Intracapsular extraction of cataract"
298076010,"Cataract"
298078011,"Infantile, juvenile and presenile cataracts"
298079015,"Unspecified infantile cataract"
298080017,"Unspecified juvenile cataract"
298081018,"Unspecified presenile cataract"
298083015,"Cortical cataract"
298084014,"Lamellar zonular cataract"
298086011,"Combined nonsenile cataract"
298087019,"Other nonsenile cataract"
298088012,"Nonsenile cataract NOS"
298090013,"Unspecified senile cataract"
298091012,"Incipient cataract NOS"
298092017,"Immature cataract NOS"
298096019,"Nuclear senile cataract"
298097011,"Total, mature senile cataract"
298102014,"Other senile cataract"
298103016,"Senile cataract NOS"
298104010,"Unspecified traumatic cataract"
298111014,"Partial resolved traumatic cataract"
298112019,"Traumatic cataract NOS"
298113012,"Cataract secondary to ocular disease"
298116016,"Unspecified cataracta complicata"
298117013,"Cataract in eye inflammatory disorder"
298125010,"Cataract secondary to ocular disorder NOS"
298126011,"Cataract due to other disorder"
298128012,"Cataract associated with other syndromes"
298130014,"Toxic cataract not due to drugs"
298131013,"Cataract due to other physical inflammation"
298132018,"Cataract due to other disorder NOS"
298133011,"Unspecified secondary cataract"
298134017,"Other after cataract with vision normal"
298135016,"After-cataract with vision obscured"
298137012,"After cataract NOS"
298142016,"Other cataract"
298144015,"Other cataract NOS"
298145019,"Cataract NOS"
299464010,"[X]Other senile cataract"
299465011,"[X]Other specified cataract"
299468013,"[X]Cataract in other diseases classified elsewhere"
313008016,"Congenital cataract, unspecified"
313009012,"Capsular and subcapsular cataract"
313010019,"Capsular cataract"
313011015,"Capsular or subcapsular cataract NOS"
313012010,"Cortical and zonular cataract"
313014011,"Zonular cataract"
313017016,"Cortical or zonular cataract NOS"
313018014,"Total and subtotal congenital cataract"
313019018,"Total or subtotal congenital cataract NOS"
313031016,"Other specified congenital cataract or lens anomaly"
313033018,"Congenital membranous cataract"
313034012,"Other congenital cataract or lens anomaly NOS"
313035013,"Congenital cataract or lens anomaly NOS"
399449014,"Hypermature cataract"
400779012,"Congenital cataract and lens anomalies"
410918012,"Other extraction of cataract"
451393017,"O/E - Right cataract present"
451394011,"O/E - Left cataract present"
455415018,"Immature cortical cataract"
495988011,"Needling of lens for cataract"
495989015,"Discission of cataract"
1232510017,"Subtotal congenital cataract"
1232801015,"Cortical cataract - congenital"
1479675015,"Cataract extraction and insertion of intraocular lens"
2159947017,"Referral for cataract extraction"
4772431000006111,"Cat. - Cataract"
4772511000006116,"Partially resolved traumatic cataract"
6980441000006114,"Diabetes type 1 with cataract"
5974961000006116,"On examination - right cataract present"
853291000006111,"Cataract extraction & lens repl"
3265281000006118,"Secondary cataract"
4823481000006116,"Congenital lamellar cataract"
3868901000006116,"Extraction of cataract by emulsification and aspiration"
3609801000006113,"Hypocalcemic cataract"
12183231000006113,"Cataract due to diabetes mellitus"
3655631000006114,"Cataract associated with radiation"
3655651000006119,"Radiation-induced cataract"
907861000006114,"[RFC] Cataract"
2674521000006119,"Calcified cataract"
6620611000006115,"Non age related cataract"
3539281000006116,"Congenital subtotal cataract"
914311000006114,"Type II diabetes mellitus with diabetic cataract"
4823551000006113,"Cerulean cataract"
6959801000006112,"Diabetic cataract associated with type II diabetes mellitus"
6980431000006116,"Diabetic cataract associated with type I diabetes mellitus"
913911000006110,"Type I diabetes mellitus with diabetic cataract"
3390651000006111,"Excision of cataract"
5974981000006114,"On examination - left cataract present"
6620601000006118,"Nonsenile cataract"
84691000006115,"Type I diabetes mellitus with diabetic cataract"
2718741000006113,"Extracapsular cataract extraction"
12702391000006115,"Diabetic cataract associated with type 2 diabetes mellitus"
3868891000006115,"Aspiration of cataract by phacoemulsification"
3609791000006112,"Hypocalcaemic cataract"
853701000006113,"Right cataract extraction and implant"
659551000006113,"Extracapsular extraction of cataract"
296821000006118,"Nuclear cataract - congenital"
6959811000006110,"Diabetes type 2 with cataract"
574651000006115,"Combined senile cataract"
7519971000006113,"Microphthalmia, cataract, radiculomegaly and septal heart defect"
539421000006110,"Cataract observation"
859791000006115,"Cataract extract +lens implant"
473371000006112,"After cataract"
914301000006111,"Type 2 diabetes mellitus with diabetic cataract"
2975871000006118,"Congenital total cataract"
6438471000006111,"IOL - Cataract extraction and insertion of intraocular lens"
12702361000006111,"Diabetic cataract associated with type 1 diabetes mellitus"
2585201000006112,"Embryonal nuclear cataract"
84871000006117,"Type II diabetes mellitus with diabetic cataract"
883311000006115,"Secondary cataract"
4649511000006115,"ICCE - Intracapsular cataract extraction"
12332101000006118,"Cataract due to diabetes mellitus type 2"
3655641000006116,"Radiation cataract"
2557801000006112,"Erysiphake extraction of cataract by intracapsular approach"
12719581000006117,"Cataract due to other disorder"
913891000006113,"Insulin dependent diabetes mellitus with diabetic cataract"
853711000006111,"Left cataract extraction and implant"
771341000006114,"Insulin dependent diabetes mellitus with diabetic cataract"
12336121000006110,"Cataract co-occurrent and due to diabetes mellitus type 1"
853641000006116,"Left cataract extraction"
189671000006110,"Radiation induced cataract"
4772541000006117,"Cataracta complicata"
84501000006114,"Type 2 diabetes mellitus with diabetic cataract"
12220731000006118,"Cat. - cataract"
12048781000006114,"Cataract co-occurrent with degenerative disorder of eye"
699721000006118,"Morgagni cataract"
859771000006116,"Cataract extraction unspec."
3390661000006113,"Cataract extraction"
3794721000006118,"Extracapsular extraction of cataract by curette evacuation"
3741271000006115,"Cataract with neovascularization"
4772531000006110,"Complicated cataract"
4772561000006118,"Drug-induced cataract"
991741000006111,"Secondary cataract"
567741000000116,"Cataract operation planned"
989061000006112,"Secondary cataract"
84321000006114,"Type 1 diabetes mellitus with diabetic cataract"
4552811000006117,"On examination - cataract present"
12336111000006119,"Cataract due to diabetes mellitus type 1"
2585211000006110,"Congenital nuclear cataract"
2975881000006115,"Congenital complete cataract"
12183221000006110,"Cataract co-occurrent and due to diabetes mellitus"
518941000006114,"Blue dot cataract"
281161000006114,"Non-insulin depend diabetes mellitus with diabetic cataract"
630441000006118,"Drug induced cataract"
853651000006119,"Right cataract extraction"
6438481000006114,"CEIOL - Cataract extraction and insertion of intraocular lens"
12332111000006115,"Cataract co-occurrent and due to diabetes mellitus type 2"
928811000006119,"Cataract extract + lens implant"
4061501000006118,"Cataracts"
913901000006112,"Type 1 diabetes mellitus with diabetic cataract"
2718751000006110,"ECCE - Extracapsular cataract extraction"
1771661000006117,"Cataract extraction and insertion of intraocular lens"
3581401000006116,"Congenital cortical cataract"
6620621000006111,"Non age-related cataract"
3390671000006118,"CE - Cataract extraction"
2581521000006119,"Extraction of primary membranous cataract by discission"
97131000006116,"Total congenital cataract"
4823501000006114,"Lamellar cataract"
