Code,Description
88121017,"Myelofibrosis"
133678011,"Acute panmyelosis"
157091019,"Myeloid sarcoma"
201612010,"Acute myeloid leukaemia"
201652012,"Chronic lymphoid leukaemia"
201656010,"Chronic myeloid leukaemia"
201658011,"Di Guglielmo's disease"
289875015,"Lymphatic leukaemia"
289876019,"Lymphoid leukaemia"
289880012,"Subacute lymphoid leukaemia"
289881011,"Other lymphoid leukaemia"
289884015,"Aleukaemic lymphoid leukaemia"
289885019,"Adult T-cell leukaemia"
289888017,"Other lymphoid leukaemia NOS"
289889013,"Lymphoid leukaemia NOS"
289892012,"Myeloid leukaemia"
289895014,"Chronic eosinophilic leukaemia"
289898011,"Chronic neutrophilic leukaemia"
289900013,"Chronic myeloid leukaemia NOS"
289901012,"Subacute myeloid leukaemia"
289903010,"Chloroma"
289904016,"Granulocytic sarcoma"
289905015,"Myeloid sarcoma NOS"
289907011,"Other myeloid leukaemia"
289908018,"Aleukaemic myeloid leukaemia"
289911017,"Other myeloid leukaemia NOS"
289912012,"Myeloid leukaemia NOS"
289917018,"Monocytic leukaemia"
289919015,"Monoblastic leukaemia"
289921013,"Histiocytic leukaemia"
289923011,"Chronic monocytic leukaemia"
289924017,"Subacute monocytic leukaemia"
289926015,"Other monocytic leukaemia"
289928019,"Aleukaemic monocytic leukaemia"
289930017,"Other monocytic leukaemia NOS"
289933015,"Monocytic leukaemia NOS"
289934014,"Other specified leukaemia"
289948014,"Thrombocytic leukaemia"
289949018,"Megakaryocytic leukaemia"
289955011,"Other and unspecified leukaemia"
289959017,"Other and unspecified leukaemia NOS"
289960010,"Other specified leukaemia NOS"
289963012,"Leukaemia of unspecified cell type"
289964018,"Acute leukaemia NOS"
289967013,"Chronic leukaemia NOS"
289968015,"Subacute leukaemia NOS"
289971011,"Other leukaemia of unspecified cell type"
289972016,"Leukaemia NOS"
289974015,"Myelomonocytic leukaemia"
289980011,"Subacute myelomonocytic leukaemia"
289987014,"Malignant neoplasm lymphatic or haematopoietic tissue NOS"
291984015,"[M]Leukaemias unspecified"
291985019,"[M]Leukaemia NOS"
291988017,"[M]Subacute leukaemia NOS"
291992012,"[M]Aleukaemic leukaemia NOS"
291995014,"[M]Leukaemia unspecified, NOS"
291997018,"[M]Mixed leukaemia"
292001013,"[M]Compound leukaemia"
292002018,"[M]Compound leukaemia NOS"
292005016,"[M]Lymphoid leukaemias"
292006015,"[M]Acute lymphoid leukaemia"
292009010,"[M]Subacute lymphoid leukaemia"
292010017,"[M]Aleukaemic lymphoid leukaemia"
292018012,"[M]Erythroleukaemias"
292024018,"[M]Erythroleukaemia NOS"
292028015,"[M]Lymphosarcoma cell leukaemia"
292031019,"[M]Lymphosarcoma cell leukaemia NOS"
292032014,"[M]Myeloid leukaemias"
292035011,"[M]Subacute myeloid leukaemia"
292036012,"[M]Aleukaemic myeloid leukaemia"
292039017,"[M]Neutrophilic leukaemia"
292041016,"[M]Other myeloid leukaemia NOS"
292042011,"[M]Basophilic leukaemias"
292045013,"[M]Basophilic leukaemia NOS"
292046014,"[M]Eosinophilic leukaemias"
292050019,"[M]Eosinophilic leukaemia NOS"
292053017,"[M]Monocytic leukaemias"
292062015,"[M]Other monocytic leukaemia NOS"
292065018,"[M]Miscellaneous leukaemias"
292073010,"[M]Acute megakaryoblastic leukaemia"
292075015,"[M]Acute myelofibrosis"
292077011,"[M]Miscellaneous leukaemia NOS"
292177013,"[X]Other lymphoid leukaemia"
292178015,"[X]Other myeloid leukaemia"
292181013,"[X]Other monocytic leukaemia"
292182018,"[X]Other specified leukaemias"
292185016,"[X]Other leukaemia of unspecified cell type"
344846014,"Acute myelofibrosis"
414008012,"B-cell chronic lymphocytic leukaemia"
414151014,"T-cell prolymphocytic leukaemia"
414160018,"B-cell acute lymphoblastic leukaemia"
414220013,"Acute monoblastic leukaemia"
414248013,"B-cell prolymphocytic leukaemia"
450987014,"Myelosclerosis with myeloid metaplasia"
450988016,"Megakaryocytic myelosclerosis"
474077018,"Chronic myelomonocytic leukaemia"
474604011,"Atypical chronic myeloid leukaemia, BCR/ABL negative"
476225016,"Acute erythroid leukaemia"
509741017,"Acute lymphoid leukaemia"
1216015014,"[M]Prolymphocytic leukaemia"
1216016010,"[M]Mast cell leukaemia"
1216029010,"[M]Erythroleukaemia"
1216160012,"[M]Acute leukaemia NOS"
1216284012,"[M]Acute promyelocytic leukaemia"
1216346016,"[M]Acute myelomonocytic leukaemia"
1216381019,"[V]Follow-up examination after chemotherapy for leukaemia"
1216396015,"[M]Lymphoid leukaemia NOS"
1216572014,"[M]Myeloid leukaemia NOS"
1216729017,"[M]Hairy cell leukaemia"
1216809013,"[M]Chronic myeloid leukaemia"
1216868019,"[M]Basophilic leukaemia"
1220821017,"[M]Myelosclerosis with myeloid metaplasia"
1228267010,"[M]Granulocytic sarcoma"
1228268017,"[M]Chloroma"
1228269013,"[M]Myeloid sarcoma"
2532080014,"Acute panmyelosis with myelofibrosis"
2534415018,"Acute monocytic leukaemia"
2870704010,"Osteomyelofibrosis"
2871720012,"Juvenile myelomonocytic leukaemia"
2872264019,"Acute myeloid leukaemia with multilineage dysplasia"
2872860018,"Mature B-cell leukaemia Burkitt-type"
3108811000006117,"Granulocytic leukemia"
4009651000006115,"Chronic leukaemia, disease"
3346491000006111,"Acute megakaryoblastic leukaemia, morphology"
4753391000006110,"Smouldering leukaemia"
306011000006113,"[M]Blastic leukaemia"
5599811000006113,"B-cell chronic lymphocytic leukemia"
3623391000006119,"Acute basophilic leukemia"
5601931000006119,"Naegeli-type monocytic leukemia"
4753461000006113,"Histiocytic leukemia"
4009721000006116,"Chronic lymphoid leukemia, disease"
3019991000006117,"Lymphatic leukaemia"
3020001000006110,"Subacute lymphatic leukaemia [obs]"
3109041000006117,"Myelocytic leukaemia"
3530511000006116,"Chronic myelocytic leukemia"
3327901000006111,"Chronic lymphocytic leukemia"
2168671000000111,"Prolymphocytic leukaemia of B-cell type"
2965601000006115,"Acute promyelocytic leukaemia, PML/RAR-alpha"
12724381000006116,"Leukaemia of unspecified cell type"
3377361000006112,"Hairy cell leukemia variant"
2782201000006119,"Acute myelogenous leukemia"
3109111000006117,"Eosinophilic leukaemia"
3346471000006110,"Megakaryoblastic leukaemia"
317011000006112,"[M]Stem cell leukaemia"
4753601000006114,"Thrombocytic leukemia"
2782311000006113,"Acute myeloid leukemia, no International Classification of Diseases for Oncology subtype"
12702811000006117,"Hairy cell leukaemia"
2782241000006117,"Acute granulocytic leukaemia"
311511000006114,"[M]Lymphosarcoma cell leukaemias"
5601341000006113,"Mature B-cell leukemia Burkitt type"
313621000006115,"[M]Naegeli-type monocytic leukaemia"
4009701000006114,"Chronic lymphoid leukemia"
3327921000006118,"Chronic lymphatic leukemia"
3019881000006110,"Lymphatic leukemia"
2855891000006112,"Acute monoblastic leukaemia"
4420351000006118,"Lymphoid leukaemia (category)"
3020021000006117,"Subacute lymphoid leukaemia [obs]"
3992781000006117,"AML - Acute myeloblastic leukemia"
3109061000006118,"Subacute myeloid leukaemia [obs]"
2965551000006117,"Acute promyelocytic leukemia, PML/RAR-alpha"
12720971000006112,"Leukaemia NOS"
5601881000006113,"Acute monocytoid leukaemia"
4753481000006115,"Monoblastic leukemia"
6841291000006112,"Acute monocytic leukemia, FAB M5b"
2233461000000116,"Clinical stage C chronic lymphocytic leukaemia"
2853531000006111,"Acute lymphoblastic leukemia, Burkitt's type"
3068711000006117,"Granulocytic sarcoma"
4173591000006114,"APL - Acute promyelocytic leukemia"
6841301000006113,"M5b - Acute monocytic leukemia"
3992621000006112,"Acute lymphoid leukemia"
3810361000006116,"Acute panmyelosis"
459741000006115,"Acute promyelocytic leukaemia"
4020881000006112,"M6 - Acute erythroleukaemia"
2884061000006117,"Stem cell leukemia"
4015741000006111,"Hairy cell leukaemia of spleen"
4309781000006118,"HCL - Hairy cell leukaemia"
5601291000006110,"B-cell acute lymphoblastic leukemia"
3530531000006110,"Chronic myelogenous leukaemia"
11906781000006110,"[M]Erythroleukaemia"
4753281000006119,"Adult T-cell leukemia"
2782261000006118,"Acute non-lymphocytic leukaemia"
